SF|LF|MetaMap CUI|CSI|Ratio in CSI|UMLS CUI|UMLS SOURCE|ADAM|Ratio in ADAM|Dictionary
BK|large conductance||||||1|0.0117|
BK|large-conductance Ca2+-activated K+||||||1|0.0122|
BK|large-conductance calcium-activated potassium||||||1|0.005|
BK|potassium channel|C0032824|||||1|0.0039|
BMI|BMI||||C0005893;C1305855;C1542867|AOD;CHV;CSP;LNC;NCI;OMIM|||
BMI|BMI - Body mass index;body mass index (BMI);BODY MASS INDEX;Body Mass Index;Body Mass Indices;Body mass index;Body mass index, NOS;Index, Body Mass;body mass index;Index, Quetelet;Quetelet Index;Quetelet index;Quetelet's Index;Quetelets Index;quetelet index|C0005893;C1305855|1|0.994|C0005893;C1305855;C2240399|AOD;CHV;CSP;ICD9CM;LNC;MSH;MTH;NCI;OMIM;SNOMEDCT|1|0.9842|1
BMI|Body mass index (BMI) [Ratio]||||C1542867|LNC|||
BMI|Body mass index (observable entity)||||C1305855|SNOMEDCT|||
BMI|Body mass index - observation||||C1305855|SNOMEDCT|||
BMI|Body mass index [dup] (observable entity)||||C1305855|SNOMEDCT|||
BMI|Body mass index procedure|C0005893|||C0005893|MTH|||
BMI|Body mass index:Ratio:Pt:^Patient:Qn||||C1542867|LNC|||
BMI|Body mass index:Relative Density:Point in time:^Patient:Quantitative||||C1542867|LNC;MTH|||
BMI|Bone marrow involvement|C1517677|||||1|0.0009|
BMI|Quetelet index (observable entity)||||C1305855|SNOMEDCT|||
BMI|bicuculline methiodide|C0053558|||||1|0.0133|1
BMI|biomedical informatics||||||||1
BMI|body weight|C0005910;C1305866|||||1|0.0006|
BMI|brain-machine interface||||||1|0.0009|
BMP|BCNU/MTX/PCB||||C0279266|NCI;PDQ|||
BMP|BMP;bmp|C0053932;C0279266|||C0053932;C0279266|CHV;CSP;NCI;PDQ|||
BMP|Bone Morphogenetic Protein;Bone Morphogenetic Proteins;Morphogenetic Protein, Bone;Morphogenetic Proteins, Bone;bone morphogenetic protein;bone morphogenetic proteins|C0053932|1|0.014|C0053932|CHV;CSP;MSH;MTH;NCI;NDFRT|1|1|1
BMP|Bone Morphogenetic Proteins [Chemical/Ingredient]||||C0053932|NDFRT|||
BMP|Carmustine/Methotrexate/Procarbazine;carmustine/methotrexate/procarbazine||||C0279266|NCI;PDQ|||
BMP|basic metabolic profile||1|0.912|||||1
BMP|behavior management plan||||||||1
BMP|bone marrow pressure||||||||1
BMP|carmustine/methotrexate/procarbazine protocol|C0279266|||C0279266|MTH|||
BM|BD||||C0005126|NCI|||
BM|BERMUDA;Bermuda;bermuda;BMU;Bermuda Islands;Bermudas|C0005126|||C0005126|AOD;CHV;MSH;MTH;NCI;SNOMEDCT|||
BM|BM||||C0005126;C0006416;C0011135;C1704651|MEDLINEPLUS;NCI|||
BM|Barrett's metaplasia|C1862318|||||1|0.0037|
BM|Bergersen medium||||||||1
BM|Bermuda (geographic location)||||C0005126|SNOMEDCT|||
BM|Birma;Burma;burma;MYANMAR;Myanma;Myanmar;myanmar;Union of Myanmar|C0006416|||C0006416|AOD;CHV;CSP;LCH;MSH;MTH;NCI;SNOMEDCT|||
BM|Bohr magneton||||||||1
BM|Bombyx mori|C0323309|||||1|0.0018|
BM|Bone Measurements;Bone Measurements Domain;Bone Mineral Density Data Domain|C1704651|||C1704651|MTH;NCI|||
BM|Bone marrow;bone marrow|C0005953|1|0.028|||1|0.7803|1
BM|Bowel Function;Bowel function;bowel function;bowel functioning;Bowel Movement;Bowel movements;bowel movement;bowel movements;bowels movement;bowels movements;Bowel action;bowel action;Bowel habit;Bowel habits;Bowel habits, NOS;bowel habit;bowel habits;Bowel motion - function;Defaecation;Defecation;Defecation, NOS;Defecations;defaecation;defecation;Normal defecation;stool passing|C0011135|1|0.918|C0011135|AOD;CHV;CSP;GO;LCH;MEDLINEPLUS;MSH;MTH;NCI;SNOMEDCT|||1
BM|Bowel action (observable entity)||||C0011135|SNOMEDCT|||
BM|Burma (geographic location)||||C0006416|SNOMEDCT|||
BM|Defecation (function)||||C0011135|SNOMEDCT|||
BM|Defecation (observable entity)||||C0011135|SNOMEDCT|||
BM|Defecation, function (observable entity)||||C0011135|SNOMEDCT|||
BM|MM|C0439190|||C0006416|NCI|||
BM|MMR||||C0006416|NCI|||
BM|Passes stool completely||||C0011135|SNOMEDCT|||
BM|Passes stool completely (finding)||||C0011135|SNOMEDCT|||
BM|bacterial meningitis|C0085437|||||1|0.0094|1
BM|basal medium||||||1|0.0018|1
BM|basal membrane||||||||1
BM|basal metabolism|C0678121|||||||1
BM|basement membrane|C0004799|||||1|0.1198|1
BM|basilar membrane|C0004816|||||1|0.024|1
BM|betamethasone|C0005308|||||1|0.0039|
BM|bicuculline methiodide|C0053558|||||1|0.0018|
BM|biological monitoring|C0005517|||||1|0.0022|
BM|biomedical|C1879848|||||||1
BM|bleomycin|C0005740|||||1|0.0057|
BM|blind matching||||||||1
BM|blood meal||||||1|0.0049|
BM|blood monitoring||||||||1
BM|blood monocyte|C0026473|||||||1
BM|body mass|C0518010|||||1|0.0199|1
BM|bone marrow cells|C0005955|||||1|0.0026|
BM|bone metastases;bone metastasis|C0153690|||||1|0.0053|1
BM|brain metastases|C0220650|||||1|0.0061|
BM|breast milk|C0026131;C0026140|1|0.050|||1|0.0018|1
BM|bronchial mucosa|C0225600|||||1|0.0012|
BM|buccal mass||||||||1
BM|buccal mucosa|C0026639;C1280540;C1578559|||||1|0.0016|
BM|buccomesial||||||||1
BM|bullous myringitis|C0155461|||||||1
BM|butadiene monoxide|C0047001|||||1|0.002|
BMT|BMT;bmt;BMT - Bone marrow transplant;bone marrow transplant (BMT);bone marrow transplant bmt;BONE MARROW TRANSPLANT;Bone Marrow Transplant;Bone marrow transplant;Bone marrow transplanted;bone marrow transplant;bone marrow transplants;Bone Marrow Grafting;Bone marrow graft;Graft of bone marrow NOS;Grafting of bone marrow NOS;Grafting, Bone Marrow;bone marrow graft;bone marrow grafting;Bone Marrow Transplantation;Transplantation of bone marrow;Transplantation of bone marrow, NOS;Transplantation, Bone Marrow;bone marrow transplantation;bone marrow transplantations;transplantation, bone marrow;Bone marrow transplant, not otherwise specified;Marrow Transplantation|C0005961|1|1|C0005961|CCS;CHV;COSTAR;CSP;DXP;ICD9CM;MEDLINEPLUS;MSH;MTH;NCI;PDQ;SNOMEDCT|1|0.9862|1
BMT|BONE MARROW TRANSPL;TRANSPL BONE MARROW||||C0005961|MSH|||
BMT|Basic Military Training||||||1|0.0031|
BMT|Bone marrow transplant (procedure)||||C0005961|SNOMEDCT|||
BMT|Bone marrow trnsplnt NOS||||C0005961|ICD9CM|||
BMT|Buschke Memory Test||||||||1
BMT|Graft of bone marrow NOS (procedure);Grafting of bone marrow NOS (procedure)||||C0005961|SNOMEDCT|||
BMT|Transplantation of bone marrow (procedure)||||C0005961|SNOMEDCT|||
BMT|basement membrane thickening|C0544995|||||||1
BMT|basement membrane thickness||||||1|0.0023|1
BMT|behavioral marital therapy||||||1|0.0038|1
BMT|benign mesenchymal tumor||||||||1
BMT|bilateral myringotomy tubes||||||||1
BMT|bone marrow|C0005953|||||1|0.0046|
BNP|B-Type Natriuretic Peptide;B-type natriuretic peptide|C0054015;C1095989|||C1095989|NCI|1|0.954|
BNP|BNP|C1095989;C1417808;C2982014|||C1095989;C1417808;C2982014|NCI;OMIM|||
BNP|Brain Natriuretic Peptide;brain natriuretic peptide;brain natriuretic peptides|C0054015|||C0054015;C1095989|CHV;MSH;NCI;NDFRT;SNOMEDCT|1|0.046|
BNP|Brain Natriuretic Peptide Measurement;Brain natriuretic peptide measurement;Brain natriuretic peptide level|C1095989|||C1095989|MTH;NCI;SNOMEDCT|||
BNP|Brain natriuretic peptide level (procedure)||||C1095989|SNOMEDCT|||
BNP|Brain natriuretic peptide measurement (procedure)||||C1095989|SNOMEDCT|||
BNP|NATRIURETIC PEPTIDE PRECURSOR B;NATRIURETIC PEPTIDE, BRAIN TYPE;NPPB Gene;NPPB gene;Natriuretic Peptide Precursor B Gene|C1417808|||C1417808|HUGO;MTH;NCI;OMIM|||
BNP|NPPB|C0049330;C1417808|||C1417808|HUGO;NCI;OMIM|||
BNP|NPPB wt Allele;Natriuretic Peptide Precursor B wt Allele|C2982014|||C2982014|MTH;NCI|||
BNP|beta-natriuretic peptide||1|0.964|||||1
BNP|brain natriuretic peptide (BNP) level test||||C1095989|CHV|||
BNP|natriuretic peptide B|C1317554;C1417808|||C1417808|HUGO|||
BOOP|BOOP;boop;Bronchiolitis Obliterans Organizing Pneumonia;Bronchiolitis obliterans organising pneumonia;Bronchiolitis obliterans organizing pneumonia;Bronchiolitis obliterans with organising pneumonia;Bronchiolitis obliterans with organizing pneumonia;bronchiolitis obliterans-organizing pneumonia;Cryptogenic Organizing Pneumonia;Cryptogenic Organizing Pneumonias;Cryptogenic organising pneumonia;Cryptogenic organizing pneumonia;Organizing Pneumonia, Cryptogenic;Organizing Pneumonias, Cryptogenic;Pneumonia, Cryptogenic Organizing;Pneumonias, Cryptogenic Organizing;cryptogenic organizing pneumonia;Cryptogenic organising pneumonitis;Cryptogenic organizing pneumonitis;bronchiolitis obliterans organizing pneumonia (BOOP)|C0242770|1|1|C0242770|CHV;ICD9CM;MSH;MTH;NCI;NDFRT;SNOMEDCT|1|1|1
BOOP|BOOP - Bronchiolitis obliterans and organising pneumonitis;BOOP - Bronchiolitis obliterans and organizing pneumonitis||||C0242770|SNOMEDCT|||
BOOP|Bronchiolitis obliterans and organising pneumonitis;Bronchiolitis obliterans and organizing pneumonitis||||C0242770|SNOMEDCT|||
BOOP|Bronchiolitis obliterans organizing pneumonia (disorder)||||C0242770|SNOMEDCT|||
BOOP|COP|C0086825|||C0242770|NCI|||
BOOP|COP - Cryptogenic organising pneumonitis;COP - Cryptogenic organizing pneumonitis||||C0242770|SNOMEDCT|||
BOOP|Cryptogenic Organizing Pneumonia [Disease/Finding]||||C0242770|NDFRT|||
BOOP|Cryptogenic organiz pneu||||C0242770|ICD9CM|||
BPH|BEP - Benign enlargement of prostate;BPH - Benign prostatic hypertrophy;BPH - benign prostatic hypertrophy;Benign Prostatic Hypertrophy;Benign prostatic hypertrophy;Hypertrophy, Benign Prostatic;Prostatic Hypertrophy, Benign;benign prostatic hypertrophy;Benign enlargement of prostate;Benign enlargement of prostate, NOS;benign prostate enlargement;Benign hypertrophy of prostate NOS;Hypertrophy (benign) of prostate;PROSTATE, HYPERTROPHY, BENIGN;benign prostate hypertrophy;Enlarged prostate - benign;benign enlarged prostate|C0005001|||C0005001|CHV;COSTAR;DXP;ICD9CM;ICPC;MEDLINEPLUS;MSH;MTH;MTHICD9;NCI;SNOMEDCT|1|0.1329|
BPH|BPH;Benign Hyperplasia of Prostate;Benign Hyperplasia of the Prostate;Benign Prostate Hyperplasia;benign hyperplasia of the prostate;benign prostate hyperplasia|C0005001;C1704272|||C0005001;C1704272|CHV;CSP;DXP;MEDLINEPLUS;NCI;OMIM;PDQ;SNOMEDCT|1|0.0061|
BPH|Benign Prostatic Hyperplasia;Benign prostatic hyperplasia;Benign prostatic hyperplasia, NOS;PROSTATIC HYPERPLASIA, BENIGN;Prostatic Hyperplasia, Benign;benign prostatic hyperplasia;Benign Prostatic Hyperplasia - BPH;benign prostatic hyperplasia (BPH)|C0005001;C1704272;C2937421|1|1|C0005001;C1704272|CHV;CSP;LNC;MSH;MTH;NCI;OMIM;PDQ;SNOMEDCT|1|0.8443|1
BPH|Benign prostatic hyper.;Prostatic hyper -benign||||C0005001|SNOMEDCT|||
BPH|Benign prostatic hyperplasia (disorder)||||C1704272|SNOMEDCT|||
BPH|Brown Planthopper||||||1|0.0034|
BPH|Hypertrophy-prost.ben.||||C0005001|SNOMEDCT|||
BPH|Nodular hyperplasia of prostate gland|C1704272;C2937421|||C1704272|SNOMEDCT|||
BPH|PROSTATIC HYPERPLASIA BENIGN <PROSTATISM>||||C1704272|QMR|||
BPH|bacteriopheophytin|C0052909|||||1|0.0038|1
BPH|benign hyperplastic||||||1|0.0041|
BPH|benzo[a]pyrene hydroxylase|C0005080|||||1|0.0034|
BPH|buccopharyngeal||||||||1
BPH|hyperplastic prostate tissue||||||1|0.002|
BPH|prostate hyperplasia;prostatic hyperplasia|C0005001;C2937421|||C0005001|CHV|||
BPH|prostate hypertrophy|C0005001;C1739363|||C0005001|CHV|||
BPH|prostatic hypertrophy|C0005001;C1739363;C2937421|||C0005001|CHV|||
BPP|BPP;CBPS;Congenital bilateral perisylvian syndrome;PERISYLVIAN SYNDROME, CONGENITAL BILATERAL;Perisylvian syndrome, congenital bilateral;PMGX;POLYMICROGYRIA, BILATERAL PERISYLVIAN;Polymicrogyria, bilateral perisylvian;Perisylvian syndrome|C1845668|||C1845668|MSH;OMIM;SNOMEDCT|||
BPP|Bloembergen, Purcell, Pound||||||||1
BPP|Congenital bilateral perisylvian syndrome (disorder)||||C1845668|SNOMEDCT|||
BPP|binding protein protease||||||||1
BPP|biophysical profile||1|1.000|||1|0.2754|1
BPP|bovine PP||||||1|0.1014|
BPP|bovine pancreatic polypeptide||||||1|0.6232|1
BPP|brachial plexus paralysis|C0541435|||||||1
BPP|bradykinin potentiating peptide||||||||1
BPP|breast parenchymal pattern||||||||1
BP|72-base-pair||||||1|0.0007|
BP|BLEO/CDDP||||C0057191|NCI;PDQ|||
BP|BLOOD PRESSURE;Blood Pressure;Blood pressure;Blood pressure, NOS;Pressure, Blood;blood pressure|C0005823;C1271104;C1272641|1|0.992|C0005823;C0005824|AOD;CHV;CSP;LCH;LNC;MEDLINEPLUS;MSH;MTH;NCI;SNOMEDCT|1|0.7029|1
BP|BP;Bp;Binding Potential;binding potential|C2986841|||C0005823;C0005824;C0037623;C0057191;C1841672;C2986841|CHV;MTH;NCI;OMIM;PDQ|1|0.0092|
BP|BP - Blood pressure|C0005823|||C0005823|SNOMEDCT|||
BP|Back-Propagation;backpropagation||||||1|0.0026|
BP|Bell palsy;Bell's palsy|C0015469;C0376175|||||1|0.0008|1
BP|Bereitschaftspotential;bereitschaftspotential|C1704305|||C1704305|MSH|1|0.0057|
BP|Bisphosphonates|C0012544|||||1|0.0019|
BP|Bleomycin/Cisplatin;bleomycin/cisplatin||||C0057191|NCI;PDQ|||
BP|Blood Pressure Determination;Blood Pressure Determinations;Blood pressure determination;Determination, Blood Pressure;Determinations, Blood Pressure;blood pressure determination;Blood pressure taking;Blood pressure taking, NOS;take blood pressure;taking blood pressure|C0005824|||C0005824|AOD;CHV;MSH;MTH;SNOMEDCT|||
BP|Blood pressure (observable entity)||||C0005823|SNOMEDCT|||
BP|Blood pressure taking (procedure)||||C0005824|SNOMEDCT|||
BP|Bolton point||||||||1
BP|Bordetella pertussis|C0006017|||||1|0.0022|
BP|Bp (binding peptide) haptoglobin beta polypeptide chain locus||||C1841672|MTH|||
BP|British Pharmacopoeia||||||1|0.0011|
BP|DDP-BLM protocol;bleomycin/cisplatin protocol|C0057191|||C0057191|MSH;MTH|||
BP|Pharmacopoeia Britannica||||||||1
BP|SB||||C0037623|NCI|||
BP|SLB|C0037623;C1825575|||C0037623|NCI|||
BP|SOLOMON ISLANDS;Solomon Islands;Solomon islands|C0037623|||C0037623|AOD;MSH;MTH;NCI;SNOMEDCT|||
BP|Solomon islands (geographic location)||||C0037623|SNOMEDCT|||
BP|Systolic and diastolic blood pressures||||||1|0.0014|
BP|[3H]benzo[a]pyrene||||||1|0.0011|
BP|bacillary peliosis|C0343770|||||||1
BP|back pressure||||||||1
BP|bacterial pneumonia|C0004626|||||1|0.0007|
BP|barometric pressure|C0237510|||||||1
BP|base pair;base pairs;basepairs|C0600436|||||1|0.1581|1
BP|basic protein||||||||1
BP|basilar papilla|C1136024|||||1|0.0013|
BP|bathroom privileges||||||||1
BP|bed pan|C0179263|||||||1
BP|beet pulp||||||1|0.0008|
BP|before polarization||||||||1
BP|before present||||||||1
BP|behavior pattern|C0018464|||||||1
BP|bench press|C0454326|||||1|0.0013|
BP|benz(a)pyrene||||||1|0.0027|
BP|benzo(a)pyrene|C0005052|||||1|0.0207|
BP|benzo[alpha]pyrene|C1507317|||||1|0.0028|
BP|benzophenone|C0053233|||||1|0.0014|
BP|benzoyl peroxide|C0005088|||||1|0.0023|1
BP|benzpyrene|C0005097|||||||1
BP|benzylpenicillin|C0030827|||||1|0.0021|
BP|beta-protein|C1750295;C2362547|||||||1
BP|biliopancreatic||1|0.006|||||
BP|binding protein|C0242210|||||1|0.0066|1
BP|bioequivalence problem||||||||1
BP|biotic potential||||||||1
BP|biparietal||||||||1
BP|biphenyl|C0058372|||||1|0.0014|1
BP|bipolar|C0443156|||||1|0.0043|1
BP|bipolar affective disorder;bipolar disorder|C0005586|||||1|0.0051|
BP|birthplace|C0805310;C3202966|||||||1
BP|bladder pressure||||||||1
BP|blastic phase||||||1|0.0022|
BP|blood plasma|C0032105|||||1|0.0012|
BP|bodily pain||||||1|0.0015|1
BP|body part|C0229962|||||||1
BP|body plethysmography|C0032224|||||||1
BP|boiling point|C1257887|||C1257887|AOD;CHV|||1
BP|borderline personality|C0006012|||||||1
BP|bovine pericardium||||||1|0.0015|
BP|bowenoid papulosis|C0334106|||||1|0.0016|1
BP|brachial plexus|C0006090;C1278841|||||1|0.0008|
BP|breech presentation|C0006157|||||||1
BP|brevipedicellus||||||1|0.0008|
BP|bronchopleural|C0450194;C0545668|||||||1
BP|bronchopulmonary|C0545675|||||||1
BP|buccopulpal||||||||1
BP|bullous pemphigoid|C0030805|||||1|0.0335|
BP|bullous pemphigus|C0262398|||||||1
BP|bypass|C0741847|||||||1
BP|metabolism of benzo[a]pyrene||||||1|0.0029|
BP|myelin basic protein|C0014063;C1417057|||||1|0.0113|
BP|point|C1552961;C2347617|||||1|0.0014|
BP|total biopterin||||||1|0.0004|
BSO|2-Amino-4-(S-butylsulfonimidoyl) Butanoic Acid;Butanoic Acid, 2-Amino-4-(S-butylsulfonimidoyl)-;Butanoic acid, 2-amino-4-(S-butylsulfonimidoyl)-||||C0054252|MSH;NCI;NDFRT;PDQ|||
BSO|BSO;Buthionine Sulfoximine;Buthionine Sulphoximine;Sulfoximine, Buthionine;buthionine sulfoximine;buthionine sulphoximine;L-Buthionine Sulfoximine;L-Buthionine sulfoximine|C0054252|||C0054252|CSP;MSH;NCI;NDFRT;PDQ|1|0.7259|
BSO|Buthionine Sulfoximine [Chemical/Ingredient]||||C0054252|NDFRT|||
BSO|D,L-buthionine-S,R-sulfoximine;DL-buthionine-S,R-sulfoximine;d,l-Buthionine-s,r-sulfoximine||||C0054252|NCI;PDQ|1|0.066|
BSO|L-buthionine-(S,R)-sulfoximine||||||1|0.1624|
BSO|L-buthionine-SR-sulfoximine||||||1|0.0165|
BSO|R-sulfoximine||||||1|0.0178|
BSO|S-(3-Amino-3-carboxypropyl)-S-butylsulfoximine||||C0054252|NCI;PDQ|||
BSO|S-(n-Butyl)homocysteine Sulfoximine||||C0054252|NCI;PDQ|||
BSO|behavior, speech, other syndromes||||||||1
BSO|bilateral sagittal osteotomy||||||||1
BSO|bilateral salpingo-oophorectomy|C0195495|1|1.000|C0195495|CHV;ICD9CM;NCI;SNOMEDCT|||1
BSO|bilateral serous otitis||||||||1
BSO|bile salt output||||||||1
BSO|buthionine sulfoximide||||||1|0.0114|
BUN|BUN||||C0005845;C0600137|AOD;MSH;MTH;NCI;SNOMEDCT|||
BUN|BUN measurement;bun measurement;Blood Urea Nitrogen Measurement;Blood urea nitrogen measurement;Blood urea measurement|C0005845|||C0005845|CHV;MTH;NCI;SNOMEDCT|||
BUN|Blood Urea;Blood urea;Urea - blood;blood urea;urea blood;Blood Urea Nitrogen;Blood urea nitrogen;Nitrogen, Blood Urea;Urea Nitrogen, Blood;blood urea nitrogen;blood urea nitrogen (BUN)|C0005845;C0600137|1|1|C0005845;C0600137|AOD;CHV;CSP;MSH;MTH;NCI;SNOMEDCT|1|0.9937|1
BUN|Blood urea (procedure)||||C0005845|SNOMEDCT|||
BUN|Blood urea measurement (procedure)||||C0005845|SNOMEDCT|||
BUN|Blood urea nitrogen (substance)||||C0600137|SNOMEDCT|||
BUN|Blood urea nitrogen concentration||||||1|0.0063|
BUN|Blood urea nitrogen measurement (procedure)||||C0005845|SNOMEDCT|||
BUN|blood urea nitrogen (BUN) level test||||C0005845|CHV|||
BUN|bunion|C0006386|||||||1
BUN|urea nitrogen|C0600137;C1291218|||C0600137|NCI|||
BUS|1, 4-Bis[methanesulfonoxy]butane;1,4-Bis(methanesulfonoxy)butane;BSF;bsf;BU;BUSULFAN;Busulfan;Busulphan;busulfan;busulphan;Bussulfam;Busulfanum;Methanesulfonic Acid Tetramethylene Ester;Methanesulfonic acid, tetramethylene ester;Myeleukon;Sulfabutin;Tetramethylene Bis(methanesulfonate);Tetramethylene bis[methanesulfonate]|C0006463|||C0006463|CHV;CSP;LNC;MSH;MTH;MTHSPL;NCI;NDFRT;PDQ;RXNORM;SNOMEDCT;USPMG;VANDF|||
BUS|1,4-Bitanediol Dimethanesulfonate Esters||||C0006463|NCI;PDQ|||
BUS|1,4-Butanediol Dimethylsulfonate||||C0006463|NCI;PDQ|||
BUS|1,4-Butanediol, dimethanesulfonate||||C0006463|MSH;NDFRT|||
BUS|1,4-Di(methanesulfonyloxy)butane||||C0006463|NCI;PDQ|||
BUS|1,4-Di(methylsulfonyloxy)butane||||C0006463|NCI;PDQ|||
BUS|BUS;Bus;Buses;bus;buses|C0336815;C1704736|||C0006463;C0336815;C1552509;C1704736|CHV;HL7V3.0;MSH;NCI;PDQ;SNOMEDCT|||
BUS|Bartholin, urethral, and Skene||1|1.000|||||1
BUS|Bus - Transportation Service|C1552509|||C1552509|MTH|||
BUS|Bus Device Component|C1704736|||C1704736|MTH;NCI|||
BUS|Busulfan (product)||||C0006463|SNOMEDCT|||
BUS|Busulfan (substance)||||C0006463|SNOMEDCT|||
BUS|Busulfan [Chemical/Ingredient]||||C0006463|NDFRT|||
BUS|Motor bus;Motor bus, device|C0336815|||C0336815|MTH;SNOMEDCT|||
BUS|Motor bus, device (physical object)||||C0336815|SNOMEDCT|||
BUS|bladder ultrasound|C0855956|||||||1
BUS|bulbourethral sling||||||||1
BUS|buspirone|C0006462|||||1|1|
C&S|conjunctiva and sclera;conjunctivae and sclerae||1|0.868|||||1
C&S|cough and sneeze||||||||1
C&S|culture and sensitivity||1|0.094|||||1
C&S|culture and susceptibility|C0430388|||||||1
C&S|protein C and protein S||1|0.032|||||
C3|(complement) component 3;COMPLEMENT COMPONENT 3;Complement Component 3;Complement component 3;Component 3, Complement;complement component 3|C0009506;C1332656|1|0.486|C0009506;C1332656|HUGO;MSH;NCI;NDFRT;OMIM;SNOMEDCT|1|0.1041|
C3|(stage) C3|C0441788|1|0.004|||||
C3|C3;Complement C3 Measurement|C2699419|||C0009506;C0456881;C1305853;C1332656;C2699419|FMA;HUGO;MTH;NCI;OMIM;SNOMEDCT;UWDA|||
C3|C3 - Complement component 3;Complement 3;complement 3;Complement component C3;Complement component C3, NOS;c3 complement component;complement component c3|C0009506|||C0009506|CHV;MSH;MTH;NDFRT;SNOMEDCT|1|0.0571|
C3|C3 - TNM certainty factor;TNM certainty factor C3;C3 certainty|C0456881|||C0456881|MTH;SNOMEDCT|||
C3|C3 - TNM certainty factor (tumor staging)||||C0456881|SNOMEDCT|||
C3|C3 Complement;C3, Complement;Complement C3;Complement, C3;c3 complement;complement C3;complement c3|C0009506;C2699419|||C0009506;C2699419|CHV;LNC;MSH;NCI;NDFRT|1|0.0143|
C3|C3 Gene;C3 gene;C3c;CPAMD1;Complement Component 3 Gene|C1332656|||C1332656|HUGO;MTH;NCI;OMIM|||
C3|C3 and PZP-Like Alpha-2-Macroglobulin Domain-Containing Protein 1||||C0009506|NCI|||
C3|C3 certainty (qualifier value)||||C0456881|SNOMEDCT|||
C3|C3 certainty (tumor staging)||||C0456881|SNOMEDCT|||
C3|C3 innervation|C1305853|||C1305853|MTH|||
C3|C3(H20)||||C0009506|SNOMEDCT|||
C3|C3(H20) (substance)||||C0009506|SNOMEDCT|||
C3|C3H/HeJ||||||1|0.0429|
C3|C3d|C1332656;C2826008;C3151071|||C1332656|OMIM|||
C3|COMPLEMENT C 03||||C0009506|MSH|||
C3|Clostridium botulinum C3 exoenzyme||||||1|0.0102|
C3|Collins solution|C0056123|||||||1
C3|Complement -third component-C3||||C0009506|SNOMEDCT|||
C3|Complement C3 [Chemical/Ingredient]||||C0009506|NDFRT|||
C3|Complement component 3 (procedure)||||C0009506|SNOMEDCT|||
C3|Complement component C3 (substance)||||C0009506|SNOMEDCT|||
C3|Flaveria pringlei|C0996999|||||1|0.0143|
C3|cervical (level) 3||1|0.498|||||
C3|complement factor 3||||||1|0.0531|
C3|propionylcarnitine|C0072196|1|0.012|||||
C3|third|C0205437|||||1|0.0571|
C3|third carpal bone|C0223733|||||1|0.0245|
C3|third cervical (c3) nerve||||C1305853|CHV|||
C3|third cervical vertebra|C0459939|||C0459939|FMA;SNOMEDCT;UWDA|||
C3|third complement component;third component of complement||||||1|0.5755|
C3|third component||||||1|0.0469|
C4|(PO Box) C4||1|0.002|||||
C4|(complement) component 4;Complement Component 4;Complement Component-4;Complement component 4;Component 4, Complement;complement component 4;C4 - Complement component 4;C4 Complement Component;Complement Component, C4;Complement component C4;Complement component C4, NOS;Component, C4 Complement;complement component c4;Complement 4;complement 4|C0009516|1|0.462|C0009516|CHV;MSH;MTH;NCI;NDFRT;SNOMEDCT|1|0.1149|
C4|ACIDIC C4;C4A gene;C4A2;C4A3;C4A4;C4A6;COMPLEMENT COMPONENT 4S;CPAMD2;RG|C1412999|||C1412999|HUGO;MTH;OMIM|||
C4|C4;C4S|C0577608;C1412999|||C0009516;C0456882;C0577608;C1305858;C1412999|FMA;HUGO;NCI;OMIM;SNOMEDCT;UWDA|||
C4|C4 - TNM certainty factor;TNM certainty factor C4;C4 certainty|C0456882|||C0456882|MTH;SNOMEDCT|||
C4|C4 - TNM certainty factor (tumor staging)||||C0456882|SNOMEDCT|||
C4|C4 Complement;C4, Complement;Complement C4;Complement, C4;complement c4|C0009516;C0577608|||C0009516;C0577608|CHV;LNC;MSH;NCI;NDFRT|||
C4|C4 certainty (qualifier value)||||C0456882|SNOMEDCT|||
C4|C4 certainty (tumor staging)||||C0456882|SNOMEDCT|||
C4|C4 complement assay;C4 complement assay (procedure);Complement C4 Measurement;Complement C4 measurement;Complement component 4 test|C0577608|||C0577608|MTH;NCI;SNOMEDCT|||
C4|C4 innervation|C1305858|||C1305858|MTH|||
C4|C4A|C0523345;C1412999|||C1412999|HUGO;OMIM|||
C4|C4B||||C1412999|HUGO|||
C4|C<sub>4</sub> complement assay||||C0577608|SNOMEDCT|||
C4|C<sub>4</sub> complement assay (procedure)||||C0577608|SNOMEDCT|||
C4|C>4< complement assay||||C0577608|SNOMEDCT|||
C4|C>4< complement assay (procedure)||||C0577608|SNOMEDCT|||
C4|CO4|C1412999;C1413000|||C1412999|HUGO|||
C4|COMPLEMENT C 04||||C0009516|MSH|||
C4|COMPLEMENT COMPONENT 4A|C0009517;C1412999|||C1412999|OMIM|||
C4|Complement C4 [Chemical/Ingredient]||||C0009516|NDFRT|||
C4|Complement component 4 (procedure)||||C0009516|SNOMEDCT|||
C4|Complement component 4 (substance)||||C0009516|SNOMEDCT|||
C4|Complement component C4 (substance)||||C0009516|SNOMEDCT|||
C4|Complement component C4 (substance) [Ambiguous]||||C0009516|SNOMEDCT|||
C4|Complement-fourth component-C4||||C0009516|SNOMEDCT|||
C4|F trinervia||||||1|0.0068|
C4|Flaveria trinervia|C0997000|||||1|0.0743|
C4|RODGERS BLOOD GROUP||||C1412999|OMIM|||
C4|RODGERS FORM OF C4||||C1412999|OMIM|||
C4|cervical (level) 4||1|0.522|||||
