abbreviation	sense	variation	CUI	frequency
ec	enterocutaneous	EC_1	c0341318	0.1092
t3	thoracic 3	T3_4	c0223245	0.0799
t3	triiodothyronine	T3_7	c0041014	0.9201
lft	liver function test	LFT_18|lft_1	c0023901	0.997
lft	left	lft_1	c0205091	0.003
ncat	normocephalic/atraumatic	.NCAT_1|NCAT_16	null	1
mds	myelodysplastic syndrome	MDS_28	c0026986	0.8749
mds	medical doctors	MDs_2	c0031831	0.1251
hld	hyperlipidemia	..HLD_1|HLD_17|hld_2	c0020473	1
ep	electrophysiology	E.P_1|EP_16	c0013865	1
hla	human leukocyte antigen	HLA_19|hla_1	c0019721	1
er	extended release	ER_5	c1707968	0.1747
er	emergency room	ER_11	c0562508	0.8143
er	estrogen receptor	ER_2	c0034804	0.011
rt	respiratory therapy	RT_1	c0035239	0.005
rt	radiation treatment	RT_2	c2094475	0.014
rt	right	rt_11|Rt_6|RT_1	c0205090	0.981
s_p	status post	S/P_3|s/p_16|S/p_1	c0231290	1
s_s	sliding scale	s/s_2	c2937251	0.033
s_s	signs/symptoms	s/s_19	c0037088	0.967
hcq	hydroxychloroquine	HCQ_23	c0020336	1
brbpr	bright red blood per rectum	BRBPR_11|brbpr_3	c0018932	1
ftt	failure to thrive	FTT_30|ftt_1	c0015544	0.994
ftt	finger tapping test	FTT_1	c0451161	0.006
rr	regular rate and rhythm	RR_2	c0436766	0.02
rr	regular rhythm	RR_2	c0436766	0.013
rr	respiratory rate	RR_8	c0231832	0.9609
rr	red reflex	RR_1	c0278244	0.006
vch	vanderbilt children's hospital	vch_3|VCH_17	c0020017	1
rx	prescription	rx_3|Rx_12|RX_5	c1521941	1
l5-s1	lumbar 5 - sacral 1	L5-S1_17|l5-s1_1	c0223552	1
rd	registered dietician	RD_4	c1508821	0.8841
rd	retinal detachment	RD_1	c0035305	0.029
rd	road	Rd_1	c0442650	0.087
fx	function	fx_1	c0542341	0.002
fx	fracture	fx_18|Fx_1	c0016658	0.998
rf	refill	RF_5	c0807726	0.3076
rf	rheumatoid factor	RF_8	c0035448	0.1363
rf	radiofrequency	RF_5|rf_1	c2347883	0.5561
cvicu	cardiovascular intensive care unit	CVICU_20	c0587446	1
ra	rheumatoid arthritis	.RA_1|RA_5	c0003873	0.06
ra	room air	RA_12	c2709070	0.918
ra	right atrium	RA_2	c1269890	0.01
ra	right atrial	RA_2	c0225844	0.012
perrl	"pupils equal, round, reactive to light"	PERRL_18|perrl_1	c1642390	1
ble	bilateral lower extremity	BLE_20|ble_1	c1269079	1
rec	recommended	rec_11|rec._3|Rec_4	c2964444	0.9035
rec	recreational	Rec_1|rec_1	c0034872	0.0626
rec	recipient	rec_1|Rec_1	c1709854	0.0195
rec	recommendation	rec_3	c0034866	0.0144
rn	registered nurse	RN_17|R.N_3	c0687673	1
rh	rhesus	RH_8|Rh_3	c0302050	0.9486
rh	right handed	RH_5|Rh_1	c0344333	0.0352
rh	right heart	RH_1|rh_1	c0225808	0.0161
reg	regular	reg._1|reg_16|Reg_1	c0205272	0.995
reg	chemo regimen	Reg_1	c0392920	0.005
perrla	"pupils equal, round, reactive to light and accommodation"	PERRLA._1|PERRLA_10|Perrla_1|perrla_1	c1642390	1
fhx	family history	fhx_2|FHX_1|FHx_9	c0241889	1
ecg	electrocardiogram	ECG_24|ecg_1	c0013798	1
rll	right lower lobe	RLL_25|rll_1	c1261075	1
sbp	systolic blood pressure	sbp_5|SBP_11	c0871470	0.984
sbp	spontaneous bacterial peritonitis	SBP_4	c0275551	0.016
ast	aspartate aminotransferase	AST_12|ast_1	c0004002	1
lmp	last menstrual period	LMP_22|lmp_1	c0425932	1
puf	puff	puf_7|PUF_1	c1533107	1
asd	atrial septal defect	ASD_19|asd_3	c0018817	1
asa	american society of anesthesiologists	ASA_3	c2346733	0.177
asa	acetysalicylic acid	ASA._1|asa_2|ASA_14	c0004057	0.823
cmv	cytomegalovirus	CMV_20|cmv_4	c0010825	1
carb	carbohydrate	carb_18|Carb_1	c0007004	0.996
carb	carbonate	carb_1	c0007026	0.004
baso	basophils	Baso_7	c0004827	1
iud	intrauterine device	IUD_20	c0021900	1
rlq	right lower quadrant	RLQ_18|rlq_2	c0439736	1
bal	bronchoalveolar lavage	BAL_27|Bal_1	c1535502	1
ntg	nitroglycerin	NTG_17|ntg_3	c0017887	1
cmt	charcot-marie-tooth	CMT_6	c0007959	0.014
cmt	cervical motion tenderness	CMT._1|CMT_9	c0238953	0.986
ft4	free thyroxine	FT4_12	c0312452	1
muga	multi gated acquisition scan	MUGA_19|Muga_1|muga_1	c0521317	1
cms	centimeters	cms_10	c0475210	0.9979
cms	children's memory scale	CMS_1	null	0.0021
h1n1	hemoagglutinine-1 and neuroaminidase-1	h1n1._1|H1N1_18|h1n1_1	c0580264	1
mmol_l	millimoles per liter	mmol/L_9|mmol/l_2	c1532563	1
mva	mitral valve annulus	MVA_1	c0225947	0.0311
mva	motor vehicle accident	MVA_16|mva_2	c0000932	0.9689
mvc	motor vehicle collision	MVC_19|mvc_1	c0000932	1
ltg	lamotrigine	LTG_1	c0064636	0.056
ltg	long term goals	LTG_19	c0443252|c0018017	0.944
uketo	urinary ketones	UKeto_5	c0162275	1
caio	ionized calcium	CaIo_10	c0373561	1
mvi	multivitamin	mvi_8|MVI_12	c0301532	1
yest	yesterday	yest_20	null	1
ucolor	urinary color	UColor_11	c0278030	1
uluest	urinary leukocyte esterase	ULuEst_5	c0919675	1
onc	oncology	ONC_2|onc_7|Onc_6	c0278627	1
nho	notify house officer	nho_10	c0401975|c0422202	1
pgm	paternal grandmother	pGM_1|pgm_3|PGM_16	c1273524	1
ecp	extracorporeal photopheresis	ECP_32	c0206373	0.998
ecp	emergency contraceptive pill	ECP_1	c1720756	0.002
lat	lateral	LAT_2|lat_18|Lat_5|lat._1	c0205093	1
xr	extended release	XR_15	c1707968	0.985
xr	x-ray	XR_4|xr_1	c1306645	0.015
dpm	doctor of podiatric medicine	DPM_2	c1512024	1
gramst	gram stain	GramSt_10	c0061856	1
fms	fibromyalgia syndrome	FMS_9	c0016053	1
gpc	gram positive cocci	GPC_21|gpc_2	c0018155	1
gcsf	granulocyte colony stimulating factor	gcsf_3|GCSF_17	c0079459	1
wbccnt	white blood cell count	WBCCnt_10	c0023508	1
tob	tobacco	Tob_5|TOB_2|tob._1|tob_12	c0040329	1
cvvhd	continuous veno-venous hemodialysis	CVVHD_22|cvvhd_2	c0472681	1
nsclc	non-small cell lung cancer	NSCLC_24|nsclc_2	c0007131	1
ldl-c	low-density lipoprotein cholesterol	LDL-C_6	c0023824	1
d_o	disorder	d/o_25	c0012634	1
uds	urine drug screen	UDS_19|UDs_1	c0202274	1
x-rays	energetic high-frequency electromagnetic radiation	X-rays_7|X-RAYS_2|x-rays_12	c0337030	1
circ	circumflex	circ_4|Circ_1	c1880089	0.2685
circ	circumcision	circ_7|Circ_2	c0008819	0.0598
circ	circumference	Circ_2	c0332520	0.5907
circ	circumcised	circ_2	c0920194	0.0689
circ	circulation	CIRC_1	c0005775	0.0122
copd	chronic obstructive pulmonary disease	COPD_20	c0024117	1
gyn	gynecology	GYN_14|Gyn_3|gyn_1	c0018417	0.705
gyn	gynecologist	GYN_2	c0237419	0.295
gym	gymnasium	gym_19|Gym_1	c0442572	1
ncu	neurocare unit	NCU_20	c1552761	1
hctz	hydrochlorothiazide	HCtz_1|HCTZ_15|hctz_3	c0020261	1
def	deficiency	def_18|DEF_1	c0011155	0.983
def	definite	def_2	c0439544	0.017
x2	twice	X2_1|x2_11	c1948050	0.903
x2	times 2	x2_8	c1720725	0.097
x3	"person, place, and time"	x3_11	c0514143	0.4484
x3	times 3	X3_1|x3_8	c0449809|c0205449	0.5516
rsv	respiratory syncytial virus	RSV_17|rsv_3	c0035236	1
x1	once	x1_18|X1_1	c1720092	1
pnd	postural nocturnal dyspnea	PND_2	c0205278|c0344357	0.041
pnd	paroxysmal nocturnal dyspnea	PND_5	c0013405	0.57
pnd	post nasal drip	PND_10	c0032781	0.389
x4	four	x4_16	c0205450	1
x5	five	.x5_1|x5_18|X5_1	c0205451	1
std	sexually transmitted disease	STD_15|std_4|Std_1	c0036916	1
niddm	noninsulin-dependent diabetes mellitus	NIDDM_27	c0011860|c2697407	1
stg	short term goals	STG_14	c0443303|c0018017	1
gsw	gunshot wound	gsw_4|GSW_20	c0043252	1
f_u	follow-up	f/u_17|F/U_3	c1522577	1
str	straight	str_1	c0445291	0.005
str	strength	str._1|str_11	c0808080	0.995
rbcmor	red blood cell morphology	RBCMor_12	c0553084	1
dtr	deep tendon reflexes	DTR_10	c0489815	0.998
dtr	daughter	Dtr_1	c0011011	0.002
pvd	peripheral vascular disease	PVD_23|pvd_4	c0085096	1
lbp	lower back pain	LBP_22|lbp_5	c0024031	1
lbs	pounds	lbs_19	c0439219	1
sp	sprays	sp_4	c1154182	0.2337
sp	starpanel	SP_3	null	0.6125
sp	suprapubic tube	SP_1	c0150798	0.0116
sp	specific	sp_2	c0205369	0.0813
sp	spinal	SP_2	c0521329	0.0305
sp	status post	sp_4|SP_2|s.p_1	c0231290	0.0305
ana	antinuclear antibody	ANA_18|Ana_1	c0003243	1
uurob	urinary urobilinogen	UUrob_6	c0427736	1
qpm	quaque die post meridiem	qPM_1|qpm_16|QPM_1	c0585330	1
prn	pro re nata/as needed	p.r.n._1|prn._1|PRN_4|prn_14	c1883728	1
msec	milliseconds	msec_20	c0439223	1
hco3	bicarbonate	HCO3_13	c0005367	1
ubili	urinary bilirubin	UBili_5	c0522139	1
adhd	attention deficit hyperactivity disorder	ADHD_22	c1263846	1
heo	horizon expert orders	heo_3	null	1
sa	sinoatrial	SA_1	c0037189	0.0443
sa	suicide attempt	SA_1	c0038663	0.0096
sa	sexual activity	SA_3	c0036864	0.0299
sa	sexually active	SA_7	c0241028	0.8934
sa	saturday	sa_1|Sa_1	c0585030	0.0228
omfs	oral and maxillofacial surgery	OMFS_20	c0812928	1
sub-q	subcutaneous	sub-q_2|sub-Q_1|Sub-Q_8	c0443315	1
r_t	related to	r/t_34|R/T_2	c0439849|c1883351	1
ards	acute respiratory distress syndrome	ARDS_32	c0035222	1
fxs	fractures	fxs_27|Fxs_1	c0016658	1
rrr	regular rate and rhythm	RRR_11|rrr_2	c0436766|c0232188	1
r_o	rule out	R/O_6|r/o_13|R/o_1	c0332196	1
xrt	radiation	XRT_21|xrt_2	c0851346	1
nebs	nebulizer	nebs_19|Nebs_2	c0027524	1
hgb	hemoglobin	HGB_1|Hgb_9|HgB_1|hgb_1	c0019046	1
micu	medical intensive care unit	MICU_19|micu_1	c2711734	1
pud	peptic ulcer disease	PUD_25|pud_1	c0030920	1
sm	small	sm._2|sm_22	c0700321	0.6984
sm	submandibular	sm_1	c1550309	0.0225
sm	systolic murmur	SM_8	c0232257	0.2791
cld	chronic lung disease	CLD_14|cld_3|.CLD_1	c0746102	1
vfss	videofluoroscopic swallowing study	VFSS_21	c0412099	1
sc	subclavian	SC_11	c0589488	0.6731
sc	subclavicular	SC_1|sc_1	c0589488	0.0409
sc	stem cell	SC_1	c0038250	0.0054
sc	hb sc	SC_1	c0019034	0.0366
sc	subcutaneous	sc_3	c0443315	0.0355
sc	sternoclavicular	SC_3|sc_1	c0038291	0.2086
bsn	bachelor of science in nursing	BSN_6|Bsn_4	c1549952	1
bso	bilateral salpingo-oophorectomy	BSO_20	c0195495	1
wnl	within normal limits	WNL_17|wnl_12|wnl._1	c0205307	1
dsch	discharge	dsch_1	c0030685|c2926602|c0012621	1
emla	eutectic mixture of lidocaine and prilocaine	EMLA_8|Emla_3|emla_2	c0059079	1
bsa	body surface area	BSA_17|bsa_1	c0005902	0.989
bsa	broad spectrum antibiotics	BSA_2	null	0.011
ckd	chronic kidney disease	CKD_19|ckd_1	c1561643	1
neuro	neurological	NEURO_9|neuro_4|Neuro_9	c0205494	0.973
neuro	neurology	Neuro_2	c0027855	0.027
dob	date of birth	DOB_13	c0803906	1
tpn	total parenteral nutrition	tpn_6|TPN_12	c0030548	1
prbc	packed red blood cells	PRBC_12|pRBC_3|prbc_2	c2316467	1
uri	upper respiratory infection	URI_17	c0041912	1
mrs	misses	Mrs_15	c1705492	1
nkda	no known drug allergies	NKDA_9|nkda_1	c0262581	1
lpn	licensed practical nurse	LPN_17|Lpn_3	c0684004	1
ext	extremities	ext_2|Ext_10|EXT_7	c0015385	0.995
ext	extension	ext_1	c0231448	0.005
mri	magnetic resonance imaging	MRI_20	c0024485	1
exp	expiratory	exp_9	c0231800	0.399
exp	expression	Exp_1	c0185117	0.002
exp	expiration	Exp_5|exp_2	c1704631	0.467
exp	exploratory	exp_1|Exp_1	c1280903	0.13
exp	exposure	exp_1	c0332157	0.002
dos	date of service	DOS_4	null	1
resprt	respiratory rate	RespRt_7	c0231832	1
mrg	"murmurs, rubs, or gallops"	MRG_9|mrg_1	c0018808|c0232267|c0232200	1
mra	magnetic resonance angiogram	mra_1|MRA_21	c0243032	1
tums	tums	Tums_8|TUMs_2|tums_8|TUMS_2	c0723950	1
rflp	restriction fragment length polymorphism	RFLP_18|rflp_2	c0035268	1
cde	cumulative dissipated energy	CDE_5	c1749901|c1511559	0.695
cde	certified diabetes educator	CDE_11|cde_2	c1555973	0.305
ugi	upper gastrointestinal	UGI_24	c3203348	1
pttctr	partial thromboplastin time	PTTCtr_6	c0030605	1
ctab	clear to auscultation bilaterally	CTAB_15|ctab_1	c0231855	1
rtc	return to clinic	RTC_19|rtc_1	c0332156|c0002424	1
pbsc	peripheral blood stem cell	PBSC_17|pbsc_3	c1518999	1
cdh	congenital diaphragmatic hernia	CDH_14|cdh_6	c0235833	1
cdt	central daylight time	CDT_4	null	1
pna	pneumonia	PNA_18|pna_5|pna._1	c0032285	1
qod	every other day	qod._1|qod_16|qOD_1|QOD_4	c0558287	1
tprot	total protein	TProt_6	c1261360	1
hc	hydrocortisone	HC_12|hc_1	c0020268	0.332
hc	head circumference	HC_12|Hc_1|hc_1	c0262499	0.668
se	southeast	SE_1	c1711190	0.0071
se	side effects	SE_27|se_1	c0879626	0.9929
dbs	deep brain stimulation	DBS_29	c0394162	1
d5	5% dextrose	d5_7|D5_1	c0017725	1
z-pak	azithromycin	Z-Pak_16|z-Pak_3|Z-PAK_1	c0052796	1
cr1	first complete remission	CR1_10	c0677874|c0205435	1
retict	reticulocyte count	RetiCt_10	c0206161	1
q4	every 4 hours	Q4_7|q4_3	c1292426	0.99
q4	every 4 weeks	Q4_1|q4_2	c1275555	0.01
q6	every six hours	Q6_6|q6_10	c0585325	0.956
q6	every six months	q6_2	c0585339	0.044
hrt	hormone replacement therapy	HRT_18|hrt_1	c0282402	0.977
hrt	heart	hrt_2|HRT_1	c0018787	0.023
occ	occasional	occ._1|Occ_9|occ_11|Occ._1	c0521114	1
lympab	absolute lymphocytes	LYMPAB_3	c3544087	1
hrs	hours	hrs_17|HRS_2|hrs._1	c0439227	1
y_o	year old	y/o_10	c0001779	1
rass	richmond agitation sedation scale	rass_1|RASS_15	null	1
ivp	intravenous push	IVP_4	c1319196	0.209
ivp	intravenous pyelogram	IVP_15|..IVP_1	c0203108	0.791
plts	platelets	plts_13|Plts_8|PLTS_2|PLTs_1	c0005821	1
atylym	atypical lymphocytes	AtyLym_12	c0221277	1
ocp	oral contraceptive pill	OCP_17|ocp_3	c0009905	1
ino	internuclear ophthalmoplegia	INO_1	c0152134	0.2472
ino	inhaled nitric oxide	iNO_17|INO_1	c0004048|c0028128	0.7528
lr	living related	LR_1	c0748332	0.0133
lr	lactated ringers	lr_4|LR_3	c0073385	0.5577
lr	light reflex	LR_6	c0234671	0.4168
lr	lateral rectus	LR_1	c0224131	0.0082
lr	lower right	LR_1	c0442067	0.0041
dm	diabetes mellitus	DM_16	c0011849	0.9769
dm	dextromethorphan	dm_1|DM_2	c0011816	0.0231
hit	heparin-induced thrombocytopenia	HIT_8	c0272285	1
mgf	maternal grandfather	MGF_18|mgf_2	c1273523	1
hiv	human immunodeficiency virus	HIV_27	c0019682	1
allo	allotransplant	allo_12|ALLO_4|Allo_2	c0040739	1
dc	discharge	dc_4|DC_3	c0030685	0.8122
dc	direct current	DC_3	c0442831	0.1359
dc	district of columbia	DC_1	c0012764	0.0166
dc	discontinue	dc_2|DC_4	c1706472	0.0353
mgm	milligrams	mgm_5	c0439210	0.053
mgm	maternal grandmother	MGM_13|mgm_2	c1273525	0.947
tbi	traumatic brain injury	TBI_6|tbi._1	c0876926	0.306
tbi	total body irradiation	TBI_19|tbi_1	c0043162	0.694
mgr	"mumurs, gallops, or rubs"	MGR_6|mgr_3	c0018808|c0232200|c0232267	0.941
mgr	manager	mgr_4|Mgr_3	c0335141	0.059
poik	poikilocytes	Poik_15	c0333798	1
ssi	sliding scale insulin	SSI_15|ssi_5	c0557977	1
dx	diagnosed	dx_2	c0011900	0.675
dx	diagnosis	dx_5|DX_4|Dx_11	c0011900	0.317
dx	diagnostic	Dx_1	c0348026	0.008
cd3	cluster of differentiation 3	cd3_1|CD3_9	c0430319	1
tba	to be announced	tba_9|TBA_10	null	1
_s_	"phoneme """"s"""" sound"	/s/_20	null	1
inh	inhaler	inh_9|INH_5	c0021461	0.871
inh	isoniazid	INH_9	c0022209	0.125
inh	inhibitor	inh_1	c1999216	0.004
ffp	fresh frozen plasma	FFP_17|ffp_1	c0016709	1
dr	doctor	Dr_9	c2348314	1
ds	developers system	DS_1	c2363670	0.0065
ds	double strength	ds_4|DS_8	c1705765	0.9665
ds	double-stranded	DS_1|ds_1	c1979882	0.013
ds	disease	ds_1	c0012634	0.0032
ds	discharge summary	DS_2	c0743221	0.0108
dp	dorsalis pedis	DP_10|dp_1	c0230462	1
crp	c-reactive protein	CRP_20	c0006560	1
ema	early morning awakening	EMA_3	c0541798	0.1282
ema	endomysial antibody	EMA_4	c0443906	0.8718
utd	up to date	UTD_13|utd_6	null	1
emu	epilepsy monitoring unit	EMU_19|emu_1	c1138901	1
ckmbre	ck-mb ratio	CKMBRe_6	null	1
qd	quaque die	q.d_1|qd_6|QD_5	c0332173	1
ems	emergency medical services	EMS_17	c0013961	1
b_c	because	b/c_17	c0678226	1
cri	chronic renal insufficiency	Cri_1|CrI_1|CRI_23	c0403447	1
tmp-smx	trimethoprim-sulfamethoxazole	tmp-smx_7|TMP-SMX_1|Tmp-smx_1	c0041044	1
o_w	otherwise	o/w_20	null	1
pvr	postvoid residual	PVR_13	c0749943	0.779
pvr	peripheral vascular disease	PVR_1	c0085096	0.023
pvr	pulmonary vascular resistance	PVR_13	c0456261	0.192
pvr	pulmonary valve replacement	PVR_1	c0190129	0.006
ebl	estimated blood loss	EBL_20	c1443559	1
ebm	expressed breast milk	EBM_14|ebm_6	c0452739	1
ebv	epstein-barr virus	EBV_23|ebv_3	c0014644	1
sed	sedimentation	Sed_1|sed_4	c0597428	0.9935
sed	sedated	sed_2	c0235195	0.0065
hpv	human papilloma virus	HPV_18|hpv_3	c0021344	1
arf	acute renal failure	..ARF_1|ARF_26|arf_1	c0022660	1
dtrs	deep tendon reflexes	DTRS_1|DTRs_19	c0489815	1
sem	systolic ejection murmur	SEM_20	c0694547	1
o_n	overnight	o/n_13|O/N_7	c0439583	1
nstemi	non-st segment myocardial infarction	NSTEMI_28|nstemi_1	c1536221	1
c_s	caesarean section	C/S_15|c/s_4	c0007876	0.9869
c_s	culture and sensitivity	c/s_1	c0430388	0.0131
co2	carbon dioxide	CO2_14	c0007012	1
meq_l	milliequivalents/liter	mEq/L_6|meq/L_2|meq/l_1|mEq/l_1	c0439375	1
xray	energetic high-frequency electromagnetic radiation	Xray_5|xray_13|XRay_2	c0337030	1
qday	qua que daily	qday_11|Qday_1	c0332173	1
d50	50% dextrose	d50_9	c0308817	1
acei	angiotensin converting enzyme inhibitor	Acei_1|ACEi_7|acei_1|ACEI_11	c0003015	1
wob	work of breathing	WOB_11|wob_3	c0043229	1
wf	white female	WF_18	c0015780|c0043157	1
dlco	diffusing capacity of lung for carbon monoxide	DLCO_13	c2143174	1
wd	word	wd_3	c1705313	0.0691
wd	well-developed	WD_8	null	0.9309
sedrat	sedimentation rate	SedRat_5	c0086250	1
wk	week	wk_20	c0439230	1
wm	woman	wm_2|WM_22	c0043210	0.9388
wm	warm	wm_2	c0687712	0.0492
wm	white male	WM_1	c0024554|c0043157	0.01
wm	white matter	WM_1	c0682708	0.002
jp	jackson pratt	JP_16|jp_1	c0204831	1
jr	junior	jr._1|Jr_13|jr_2|JR_1	c1708595	1
cppd	chest percussion and postural drainage	cppd_3|CPPD_24	c1285807|c0086915	0.962
cppd	calcium pyrophosphate dihydrate disease	CPPD_5	c0553730	0.038
wt	weight	Wt_7|WT_4|wt_2	c0043100	1
vre	vancomycin-resistant enterococci	VRE_34|vre_1	c1265175	1
endo	endocrine	ENDO_8|Endo_10|endo_1	c0521425	0.769
endo	endocrinology	endo_2|ENDO_1|Endo_3	c0014137	0.203
endo	endocervix	endo_1	c0227837	0.028
cor	cardiac	COR_5|Cor_10	c1522601	0.968
cor	cortisone	Cor_1	c0010137	0.0028
cor	coronary	COR_1|Cor_1	c1522318	0.0292
ett	endotracheal tube	ETT_23|ett_3	c0336630	0.9899
ett	exercise treadmill test	ETT_2	c0430507	0.0101
fnp	family nurse practitioner	FNP_10	c1552262	1
sust	sustained	Sust_9|sust_1	c0443318	1
tmax	temperature maximum	tmax_1|Tmax_6|TMax_4	c0806909|c0039476	1
tlc	total lung capacity	TLC_3	c0040509	0.134
tlc	triple lumen catheter	TLC_22|tlc_4	c1301750	0.866
pcr	polymerase chain reaction	pcr_4|PCR_21	c0032520	1
uc	ulcerative colitis	UC_19	c0009324	0.7772
uc	urine culture	UC_11	c0430404	0.2228
fna	fine-needle aspiration	FNA_21|fna_1	c1510483	1
w_	with	w/_19|W/_1	c0332287	1
tfts	thyroid function tests	TFTs_22	c0040130	1
enmt	"ear, nose, mouth, and throat"	ENMT_18	c0551661	1
ll	lower lumbar	LL_2|ll_1	c0024090|c0441994	0.0228
ll	left lateral	LL_1	c0205091|c0205093	0.0105
ll	left leg	LL_3	c1279606	0.1313
ll	left lower	LL_4	c0442068	0.063
ll	overall	ll_1	c1561607	0.0035
ll	two	ll_1	c0205448	0.0193
ll	lithotripsy	LL_1	c0023878	0.5517
ll	lower lobe	LL_9	c0225758	0.1506
ll	balloon	ll_1	c1704777	0.0333
ll	lower leg	LL_1	c1140621	0.014
pda	posterior descending artery	PDA_3	c0500492	0.027
pda	patent ductus arteriosus	PDA_20|pda_2	c0013274	0.973
ck	creatine kinase	CK_15|ck_2|Ck_2	c0010287	1
cxr	chest x-ray	CXR_20	c0039985	1
rpr	rapid plasma reagin	rpr_2|RPR_18	c1254816	1
co	cardiac output	CO_5	c0007165	0.0968
co	copay	co_1	c0680272	0.0066
co	company	Co_2|CO_1|co_2|.co_1	c0683757	0.4763
co	coworker	co_1	c0681088	0.0033
co	complex	co_1	c0439855	0.0022
co	county	Co_1	c0079170	0.0077
co	coenzyme	Co_3	c0009235	0.2233
co	chronic obstructive	C.O_1	c0024117	0.0055
co	carbon monoxide	CO_3	c0007018	0.176
co	coagulase	Co_1	c0009118	0.0022
cn	cranial nerve	CN_12	c0010268	1
cm	centimeter	cm_19	c0475210	0.99
cm	case manager	CM_1	c0687694	0.01
cl	chloride	Cl_5	c0596019	0.9676
cl	clear	cl_1	c2963144	0.0071
cl	call	cl_1	null	0.0081
cl	chlorine	Cl_1	c0008209	0.0172
cc	carbon copy	CC_1|cc_1	c0175984	0.004
cc	cubic centimeters	cc_19	c0439242	0.91
cc	chief complaint	CC_1	c0277786	0.002
cc	with meals	cc_2	c0589085	0.084
ca	calcium	Ca_5|ca_2	c0006675	0.7164
ca	carcinoma	Ca_1|CA_1	c0007097	0.004
ca	cancer	CA_6|Ca_2|ca_1	c0006826	0.2775
ca	carbohydrate antigen	CA_1	c0443758	0.002
hctwb	hematocrit whole blood	HCTWB_11	c0018935	1
pos	positive	pos_17|Pos_3|POS_4	c1446409	0.998
pos	per os	POs_1	c1527415	0.002
cd	controlled-delivery	cd_2|CD_2	c0868939	0.4889
cd	crohn's disease	CD_2	c0010346	0.006
cd	conduct disorder	CD_1	c0149654	0.0111
cd	cluster of differentiation	CD_2	c1955216	0.1066
cd	clomid days	CD_2	c0591268	0.0171
cd	compact disc	CD_6|cd_1	c0079141	0.3702
cx	culture	Cx_5|CX_2|cx_13	c0430400	1
cr	complete remission	CR_2	c0677874	0.005
cr	creatinine	Cr_13|cr_1	c0010294	0.9104
cr	capillary refill	CR_1	c0425716	0.003
cr	controlled release	CR_4	c0868939	0.0816
pod	postoperative day	POD_16|.pod_1|pod_3	c0032790|c0439228	1
cp	cardiopulmonary	CP_1	c0553534	0.3765
cp	chest pain	CP_15|cp_1	c0008031	0.6194
cp	costophrenic	CP_1	c0230151	0.004
ntnd	non-tender non-distended	NTND_10	c0520960|c0700124	1
cv	cerebrovascular accident	C.V_1	c0038454	0.004
cv	consonant-vowel	CV_1	c0564171	0.002
cv	cardiovascular	CV_18	c0007226	0.994
orif	open reduction and internal fixation	ORIF_19|orif_2	c1297885	1
ct	code treatment time	CT_1	null	0.002
ct	computerized tomography	CT_18	c0040405	0.998
pr	partial response	pr_1|PR_2	c1521726	0.0061
pr	per rectum	pr_9|PR_3|p.r_1	c1527425	0.9299
pr	progesterone receptor	PR_1	c0034833	0.064
ps	pressure support	PS_9	c0419008	0.414
ps	peripheral (blood) stem cell transplant	PS_1	c1519005	0.002
ps	postural stability	PS_1	c3166208	0.006
ps	post script	P.S_1	c2347648	0.07
ps	performance status	PS_8	c1518965	0.508
pt	primary tumor	pT_1	c0677930	0.003
pt	patient	Pt._1|Pt_7|pt_5	c0030705	0.913
pt	point	pt_2	c1552961	0.052
pt	physical therapy	PT_2	c0949766	0.022
pt	prothrombin	PT_1	c0033706	0.002
pt	posterior tibial	PT_1	c0040184|c0205095	0.008
yaz	yasmin	YAZ_4|Yaz_11|yaz_5	c0939533	1
mssa	methicillin-sensitive staphylococcus aureus	MSSA_33	c1635274	1
fri	friday	Fri_8|fri_4	c0585029	1
anc	ancillary	anc_1	c1549485	0.287
anc	absolute neutrophil count	ANC_18|anc_1	c0948762	0.713
pb	peripheral blood	PB_14|pb_3	c0229664	0.9909
pb	pentobarbital	PB_1|Pb_2	c0030883	0.0091
pa	physician assistant	P.A_1	c0031833	0.099
pa	prior authorization	PA_5	c0680281|c0332152	0.5663
pa	pulmonary artery	pa_1|PA_9	c1269026	0.1622
pa	posterior anterior	PA_4	c2827725	0.1724
pf	puff	pf_1	c1533107	0.7333
pf	patellofemoral	PF_1	c1269071	0.1333
pf	posterior fontanelle	PF_1	c0224553	0.1333
pd	parkinson's disease	PD_5	c0030567	0.0377
pd	peritoneal dialysis	PD_16	c0031139	0.949
pd	progressive disease	PD_3	c1335499	0.0133
pe	physical exam	PE_15	c0031809	0.65
pe	phenytoin equivalent	pe_1	c0020208	0.005
pe	pulmonary embolism	PE_3	c0034065	0.322
pe	pneumatic equalization	PE_1	c0222650	0.023
pcn	penicillin	PCN_16|pcn_4	c0220892	1
ph	phone	ph_1|Ph_1	c0039457	0.0245
ph	ph	pH_14|ph_1	c1304686	0.9755
dcis	ductal carcinoma in situ	DCIS_24	c0007124	1
po	post office	PO_1	c0442601	0.002
po	per os/per oral	po_15|P.O_1|PO_3	c1527415	0.998
pm	p metastasis	pM_1	c0027627	0.002
pm	post meridiem	PM_6|pm_9	c1509133	0.996
pm	pacemaker	PM_1	c0810633	0.002
c3	complement component 3	C3_11	c0009506	0.8978
c3	cervical 3	C3_6	c0223116	0.1022
iddm	insulin-dependent diabetes mellitus	IDDM_29|iddm_2	c0011854	1
aprn	advanced practice registered nurse	APRN_10	c1554708	1
