GroupID|RecordID|SF|SFUI|LF|LFUI|Source|LFEUI|Good
G130036|R251085|PKD1|S055412|polycystic kidney disease 1|L130543|UMLS|E0743519|1
G130036|R251086|PKD1|S055412|polycystic kidney disease-1|L130549|UMLS|E0743519|1
G130095|R358877|PLA|S055487|poly(D,L-lactide)|L130130|ADAM||1
G130095|R358878|PLA|S055487|Poly(dl-lactide)|L027141|ADAM||1
G130095|R358879|PLA|S055487|poly(L-lactide)|L130136|ADAM||1
G130095|R358880|PLA|S055487|poly(lactide)|L130215|ADAM||1
G130095|R358882|PLA|S055487|polylactide|L130777|ADAM||1
G130095|R188221|PLA|S055487|polylactide|L130777|UMLS|E0405478|1
G130095|R188222|PLA|S055487|poly(lactide)|L130215|UMLS|E0405478|1
G130278|R355227|PLF|S055664|periodontal ligament fibroblasts|L126374|ADAM||1
G130278|R264768|PLF|S055664|periodontal ligament fibroblast|L126373|UMLS|E0587684|1
G130278|R264769|PLF|S055664|periodontal-ligament fibroblast|L126377|UMLS|E0587684|1
G130368|R355522|PMC|S055777|premotor cortex|L133425|ADAM||1
G130368|R109368|PMC|S055777|premotor cortex|L133425|UMLS|E0643222|1
G130368|R109369|PMC|S055777|pre-motor cortex|L132966|UMLS|E0643222|1
G130399|R355613|PML|S055815|promyelocytic leukemia protein|L134866|ADAM||1
G130399|R031485|PML|S055815|promyelocytic leukemia protein|L134866|UMLS|E0700909|1
G130399|R031486|PML|S055815|promyelocytic leukaemia protein|L134852|UMLS|E0700909|1
G130457|R356063|PN|S055915|peripheral neuroepithelioma|L126500|ADAM||1
G130457|R027115|PN|S055915|peripheral neuroepithelioma|L126500|UMLS|E0515606|1
G130457|R027116|PN|S055915|peripheral neuro-epithelioma|L126499|UMLS|E0515606|1
G130503|R355953|PNF|S055968|proprioceptive neuromuscular facilitation|L134966|ADAM||1
G130503|R264780|PNF|S055968|proprioceptive neuromuscular facilitation|L134966|UMLS|E0748464|1
G130503|R264781|PNF|S055968|proprioceptive neuro-muscular facilitation|L134965|UMLS|E0748464|1
G130529|R355991|PNST|S056012|peripheral nerve sheath tumor|L126492|ADAM||1
G130529|R095191|PNST|S056012|peripheral nerve sheath tumor|L126492|UMLS|E0628939|1
G130529|R095192|PNST|S056012|peripheral nerve sheath tumour|L126493|UMLS|E0628939|1
G130529|R095193|PNST|S056012|peripheral nerve-sheath tumor|L126496|UMLS|E0628939|1
G130529|R095194|PNST|S056012|peripheral-nerve sheath tumor|L126557|UMLS|E0628939|1
G130529|R095195|PNST|S056012|peripheral-nerve-sheath tumor|L126560|UMLS|E0628939|1
G130529|R095196|PNST|S056012|peripheral nerve-sheath tumour|L126497|UMLS|E0628939|1
G130529|R095197|PNST|S056012|peripheral-nerve sheath tumour|L126558|UMLS|E0628939|1
G130529|R095198|PNST|S056012|peripheral-nerve-sheath tumour|L126561|UMLS|E0628939|1
G130548|R383330|POA|S056034|pancreatic oncofetal antigen|L123947|ADAM||1
G130548|R019766|POA|S056034|pancreatic oncofetal antigen|L123947|UMLS|E0210100|1
G130548|R019767|POA|S056034|pancreatic oncofoetal antigen|L123948|UMLS|E0210100|1
G130713|R356382|PPDK|S056278|pyruvate orthophosphate dikinase|L137100|ADAM||1
G130713|R356384|PPDK|S056278|pyruvate phosphate dikinase|L137101|ADAM||1
G130713|R127416|PPDK|S056278|pyruvate orthophosphate dikinase|L137100|UMLS|E0585813|1
G130713|R127417|PPDK|S056278|pyruvate, orthophosphate dikinase|L137104|UMLS|E0585813|1
G130713|R127418|PPDK|S056278|pyruvate phosphate dikinase|L137101|UMLS|E0333708|1
G130719|R356429|PPF|S056287|periportal fibrosis|L126577|ADAM||1
G130719|R187972|PPF|S056287|periportal fibrosis|L126577|UMLS|E0700281|1
G130719|R187973|PPF|S056287|peri-portal fibrosis|L126193|UMLS|E0700281|1
G130785|R356541|PPR|S056337|photoparoxysmal response|L128628|ADAM||1
G130785|R356542|PPR|S056337|photoparoxysmal responses|L128629|ADAM||1
G130785|R151816|PPR|S056337|photoparoxysmal response|L128628|UMLS|E0759490|1
G130785|R151817|PPR|S056337|photo-paroxysmal response|L128545|UMLS|E0759490|1
G130837|R357157|PR|S056407|prednisolone|L133157|ADAM||1
G130837|R077826|PR|S056407|prednisolon|L133156|UMLS|E0049613|1
G130837|R077827|PR|S056407|prednisolone|L133157|UMLS|E0049613|1
G130997|R357067|PRS|S056642|Postreperfusion syndrome|L027322|ADAM||1
G130997|R242754|PRS|S056642|postreperfusion syndrome|L132499|UMLS|E0740689|1
G130997|R242755|PRS|S056642|post-reperfusion syndrome|L131964|UMLS|E0740689|1
G131159|R357375|PSM|S056811|presomitic mesoderm|L133638|ADAM||1
G131159|R189565|PSM|S056811|presomitic mesoderm|L133638|UMLS|E0608589|1
G131159|R189566|PSM|S056811|pre-somitic mesoderm|L133018|UMLS|E0608589|1
G131334|R357764|PTHrP|S057003|parathyroid hormone-related protein|L124504|ADAM||1
G131334|R032443|PTHrP|S057003|parathyroid hormone related protein|L124496|UMLS|E0409433|1
G131334|R032444|PTHrP|S057003|parathyroid hormone-related protein|L124504|UMLS|E0409433|1
G131334|R032445|PTHrP|S057003|parathyroid-hormone-related protein|L124512|UMLS|E0409433|1
G131472|R357948|PTX3|S057141|pentraxin 3|L125634|ADAM||1
G131472|R232771|PTX3|S057141|pentraxin 3|L125634|UMLS|E0730893|1
G131472|R232772|PTX3|S057141|pentraxin-3|L125635|UMLS|E0730893|1
G131520|R358396|PV|S057214|postvaccination|L132589|ADAM||1
G131520|R043683|PV|S057214|postvaccination|L132589|UMLS|E0321608|1
G131520|R043684|PV|S057214|post-vaccination|L132042|UMLS|E0321608|1
G131525|R358394|PV|S057214|portal venous|L131478|ADAM||1
G131525|R043696|PV|S057214|portalvenous|L131497|UMLS|E0735750|1
G131525|R043697|PV|S057214|portal venous|L131478|UMLS|E0735750|1
G131525|R043698|PV|S057214|portal-venous|L131495|UMLS|E0735750|1
G131529|R358160|PVA|S057231|polyvinyl alcohol|L131186|ADAM||1
G131529|R358162|PVA|S057231|polyvinylalcohol|L131205|ADAM||1
G131529|R037249|PVA|S057231|polyvinyl alcohol|L131186|UMLS|E0048884|1
G131529|R037250|PVA|S057231|polyvinyl-alcohol|L131200|UMLS|E0048884|1
G131529|R037251|PVA|S057231|poly-vinyl alcohol|L130366|UMLS|E0048884|1
G131529|R037252|PVA|S057231|poly-vinyl-alcohol|L130368|UMLS|E0048884|1
G131580|R358312|PVS|S057301|perivitelline space|L126682|ADAM||1
G131580|R011195|PVS|S057301|perivitelline space|L126682|UMLS|E0524789|1
G131580|R011196|PVS|S057301|peri-vitelline space|L126203|UMLS|E0524789|1
G131625|R358472|PXE|S057358|pseudoxanthoma elasticum|L136195|ADAM||1
G131625|R080216|PXE|S057358|Pseudoxanthoma elasticum|L027821|UMLS|E0050833|1
G131625|R080217|PXE|S057358|pseudoxanthoma elasticum|L136195|UMLS|E0050833|1
G131639|R358510|PYK-2|S057374|Proline-rich tyrosine kinase 2|L027578|ADAM||1
G131639|R358511|PYK-2|S057374|proline-rich tyrosine kinase-2|L134784|ADAM||1
G131639|R250869|PYK-2|S057374|proline rich tyrosine kinase 2|L134749|UMLS|E0743442|1
G131639|R250870|PYK-2|S057374|proline rich tyrosine kinase-2|L134750|UMLS|E0743442|1
G131639|R250871|PYK-2|S057374|proline-rich tyrosine kinase 2|L134783|UMLS|E0743442|1
G131639|R250872|PYK-2|S057374|proline-rich tyrosine kinase-2|L134784|UMLS|E0743442|1
G131926|R358919|Poleta|S058205|DNA polymerase eta|L011158|ADAM||1
G131926|R060047|Poleta|S058205|DNA polymerase eta|L011158|UMLS|E0528006|1
G131926|R060048|Poleta|S058205|DNA polymerase-eta|L011170|UMLS|E0528006|1
G131926|R060049|Poleta|S058205|DNA polymerase η|L011166|UMLS|E0528006|1
G131926|R060050|Poleta|S058205|DNA polymerase-η|L011173|UMLS|E0528006|1
G132124|R359501|Q-Tc|S058755|corrected QT interval|L061919|ADAM||1
G132124|R359502|Q-Tc|S058755|corrected QT intervals|L061920|ADAM||1
G132124|R153453|Q-Tc|S058755|corrected QT interval|L061919|UMLS|E0689478|1
G132124|R153454|Q-Tc|S058755|corrected QT-interval|L061921|UMLS|E0689478|1
G132124|R153455|Q-Tc|S058755|corrected-QT interval|L061939|UMLS|E0689478|1
G132124|R153456|Q-Tc|S058755|corrected Q-T interval|L061916|UMLS|E0689478|1
G132208|R359424|QRT-PCR|S058947|quantitative real-time polymerase chain reaction|L137277|ADAM||1
G132208|R190035|QRT-PCR|S058947|quantitative real time polymerase chain reaction|L137273|UMLS|E0701454|1
G132208|R190036|QRT-PCR|S058947|quantitative real time-polymerase chain reaction|L137275|UMLS|E0701454|1
G132208|R190037|QRT-PCR|S058947|quantitative real-time polymerase chain reaction|L137277|UMLS|E0701454|1
G132229|R359463|QSPR|S058973|quantitative structure-property relationship|L137319|ADAM||1
G132229|R359464|QSPR|S058973|quantitative structure-property relationships|L137320|ADAM||1
G132229|R089786|QSPR|S058973|quantitative structure property relationship|L137305|UMLS|E0624467|1
G132229|R089787|QSPR|S058973|quantitative structure-property relationship|L137319|UMLS|E0624467|1
G132389|R359633|R18|S059526|octadecylrhodamine|L120787|ADAM||1
G132389|R164186|R18|S059526|octadecylrhodamine|L120787|UMLS|E0514531|1
G132389|R164187|R18|S059526|octadecyl rhodamine|L120769|UMLS|E0514531|1
G132401|R359893|RA|S059544|refractory anaemia|L140246|ADAM||1
G132401|R359894|RA|S059544|Refractory anemia|L028719|ADAM||1
G132401|R020102|RA|S059544|refractory anemia|L140247|UMLS|E0052464|1
G132401|R020103|RA|S059544|refractory anaemia|L140246|UMLS|E0052464|1
G132401|R407864|RA|S059544|refractory anemia|L140247|Wikipedia||1
G132402|R359898|RA|S059544|renal artery|L140772|ADAM||1
G132402|R020105|RA|S059544|renal artery|L140772|UMLS|E0052714|1
G132402|R020106|RA|S059544|renal-artery|L140895|UMLS|E0052714|1
G132404|R359901|RA|S059544|Renin-angiotensin|L028813|ADAM||1
G132404|R020108|RA|S059544|reninangiotensin|L140934|UMLS|E0210136|1
G132404|R020109|RA|S059544|renin angiotensin|L140914|UMLS|E0210136|1
G132404|R020110|RA|S059544|renin-angiotensin|L140926|UMLS|E0210136|1
G132404|R020111|RA|S059544|renin angio-tensin|L140913|UMLS|E0210136|1
G132404|R020112|RA|S059544|renin-angio-tensin|L140925|UMLS|E0210136|1
G132544|R359989|RBD|S059834|Ras binding domain|L028500|ADAM||1
G132544|R359997|RBD|S059834|RNA binding domain|L028196|ADAM||1
G132544|R094892|RBD|S059834|RNA binding domain|L028196|UMLS|E0630980|1
G132544|R094893|RBD|S059834|RNA-binding domain|L028243|UMLS|E0630980|1
G132544|R094894|RBD|S059834|Ras binding domain|L028500|UMLS|E0630981|1
G132544|R094895|RBD|S059834|ras binding domain|L138261|UMLS|E0630981|1
G132544|R094896|RBD|S059834|Ras-binding domain|L028520|UMLS|E0630981|1
G132544|R094897|RBD|S059834|ras-binding domain|L138276|UMLS|E0630981|1
G132544|R094898|RBD|S059834|Ran binding domain|L028422|UMLS|E0630982|1
G132544|R094899|RBD|S059834|ran binding domain|L138027|UMLS|E0630982|1
G132544|R094900|RBD|S059834|Ran-binding domain|L028431|UMLS|E0630982|1
G132544|R094901|RBD|S059834|ran-binding domain|L138032|UMLS|E0630982|1
G132601|R360062|RBS|S059889|ribosome-binding site|L142632|ADAM||1
G132601|R360063|RBS|S059889|ribosome binding site|L142624|ADAM||1
G132601|R360064|RBS|S059889|ribosome binding sites|L142625|ADAM||1
G132601|R196464|RBS|S059889|ribosome binding site|L142624|UMLS|E0708183|1
G132601|R196465|RBS|S059889|ribosome-binding site|L142632|UMLS|E0708183|1
G132601|R196466|RBS|S059889|ribosomal binding site|L142530|UMLS|E0708184|1
G132624|R360117|RCA-1|S059904|Ricinus communis agglutinin-1|L029164|ADAM||1
G132624|R360118|RCA-1|S059904|Ricinus communis agglutinin 1|L029162|ADAM||1
G132624|R243500|RCA-1|S059904|Recinus communis agglutinin 1|L028636|UMLS|E0005087|1
G132624|R243501|RCA-1|S059904|Recinus communis agglutinin I|L028637|UMLS|E0005087|1
G132624|R243502|RCA-1|S059904|Recinus communis agglutinin-1|L028638|UMLS|E0005087|1
G132624|R243503|RCA-1|S059904|Recinus communis agglutinin-I|L028639|UMLS|E0005087|1
G132690|R020013|RD|S059977|registered dietician|L140359|UMLS|E0210157|1
G132690|R020014|RD|S059977|registered dietitian|L140360|UMLS|E0210157|1
G132690|R402052|RD|S059977|registered dietician|L140359|Vanderbilt Clinic Notes||1
G132822|R360481|RET|S060161|Rational-Emotive Therapy|L028564|ADAM||1
G132822|R360482|RET|S060161|Rational Emotive Therapy|L028563|ADAM||1
G132822|R197492|RET|S060161|rational emotive therapy|L138617|UMLS|E0708977|1
G132822|R197493|RET|S060161|rational-emotive therapy|L138618|UMLS|E0708977|1
G132848|R360561|RFC|S060189|rosette-forming cells|L143240|ADAM||1
G132848|R360562|RFC|S060189|rosette forming cells|L143236|ADAM||1
G132848|R360563|RFC|S060189|rosette-forming cell|L143239|ADAM||1
G132848|R090955|RFC|S060189|rosette forming cell|L143235|UMLS|E0625590|1
G132848|R090956|RFC|S060189|rosette-forming cell|L143239|UMLS|E0625590|1
G132849|R360556|RFC|S060189|reduced folate carrier|L140119|ADAM||1
G132849|R090958|RFC|S060189|reduced folate carrier|L140119|UMLS|E0625591|1
G132849|R090959|RFC|S060189|reduced-folate carrier|L140140|UMLS|E0625591|1
G132870|R360594|RFR|S060218|radiofrequency radiation|L137886|ADAM||1
G132870|R198102|RFR|S060218|radiofrequency radiation|L137886|UMLS|E0709166|1
G132870|R198103|RFR|S060218|radio frequency radiation|L137759|UMLS|E0709166|1
G132870|R198104|RFR|S060218|radio-frequency radiation|L137798|UMLS|E0709166|1
G132872|R360605|RFS|S060219|relapse-free survival|L140515|ADAM||1
G132872|R092650|RFS|S060219|relapse free survival|L140508|UMLS|E0625901|1
G132872|R092651|RFS|S060219|relapse-free survival|L140515|UMLS|E0625901|1
G132906|R362179|RH|S060276|Radial haemolysis|L028318|ADAM||1
G132906|R072314|RH|S060276|radial hemolysis|L137645|UMLS|E0576182|1
G132906|R072315|RH|S060276|radial haemolysis|L137643|UMLS|E0576182|1
G132981|R360802|RIGS|S060374|Radioimmunoguided surgery|L028353|ADAM||1
G132981|R076480|RIGS|S060374|radioimmunoguided surgery|L137913|UMLS|E0503362|1
G132981|R076481|RIGS|S060374|radio-immunoguided surgery|L137810|UMLS|E0503362|1
G133002|R360855|RIP|S060423|RNAIII-inhibiting peptide|L028272|ADAM||1
G133002|R199436|RIP|S060423|RNAIII inhibiting peptide|L028270|UMLS|E0709597|1
G133002|R199437|RIP|S060423|RNA III inhibiting peptide|L028190|UMLS|E0709597|1
G133002|R199438|RIP|S060423|RNAIII-inhibiting peptide|L028272|UMLS|E0709597|1
G133002|R199439|RIP|S060423|RNA III-inhibiting peptide|L028191|UMLS|E0709597|1
G133048|R360892|RKIP|S060475|Raf kinase inhibitor protein|L028370|ADAM||1
G133048|R255366|RKIP|S060475|Raf kinase inhibitory protein|L028371|UMLS|E0744876|1
G133048|R255367|RKIP|S060475|Raf kinase-inhibitory protein|L028372|UMLS|E0744876|1
G133048|R255368|RKIP|S060475|Raf kinase inhibitor protein|L028370|UMLS|E0748519|1
G133048|R255369|RKIP|S060475|raf kinase inhibitor protein|L137997|UMLS|E0748519|1
G133485|R361919|RT|S061179|transepithelial resistance|L159481|ADAM||1
G133485|R201633|RT|S061179|transepithelial resistance|L159481|UMLS|E0691991|1
G133485|R201634|RT|S061179|trans-epithelial resistance|L159051|UMLS|E0691991|1
G133509|R361746|RTA|S061205|retinal thickness analyzer|L141740|ADAM||1
G133509|R028412|RTA|S061205|retinal thickness analyser|L141739|UMLS|E0710736|1
G133509|R028413|RTA|S061205|retinal thickness analyzer|L141740|UMLS|E0710736|1
G133550|R361821|RTR|S061262|renal transplant recipients|L140865|ADAM||1
G133550|R201725|RTR|S061262|renal transplant recipient|L140864|UMLS|E0710803|1
G133550|R201726|RTR|S061262|renal-transplant recipient|L140904|UMLS|E0710803|1
G133605|R361975|RVG|S061363|RadioVisioGraphy|L028342|ADAM||1
G133605|R201798|RVG|S061363|radiovisiography|L137985|UMLS|E0515239|1
G133605|R201799|RVG|S061363|radio visiography|L137773|UMLS|E0515239|1
G133614|R361999|RVP|S061382|right ventricular pressure|L142914|ADAM||1
G133614|R201815|RVP|S061382|right ventricular pressure|L142914|UMLS|E0625544|1
G133614|R201816|RVP|S061382|right-ventricular pressure|L142969|UMLS|E0625544|1
G133625|R362061|RWM|S061412|round window membrane|L143330|ADAM||1
G133625|R079387|RWM|S061412|round window membrane|L143330|UMLS|E0587260|1
G133625|R079388|RWM|S061412|round-window membrane|L143333|UMLS|E0587260|1
G133678|R362079|RYR2|S061458|ryanodine receptor 2|L143445|ADAM||1
G133678|R251063|RYR2|S061458|ryanodine receptor 2|L143445|UMLS|E0743512|1
G133678|R251064|RYR2|S061458|ryanodine receptor-2|L143450|UMLS|E0743512|1
G133678|R251065|RYR2|S061458|ryanodine receptor type 2|L143447|UMLS|E0743514|1
G134179|R362619|SAE|S063195|signal-averaged electrocardiogram|L146662|ADAM||1
G134179|R202235|SAE|S063195|signal averaged electrocardiogram|L146591|UMLS|E0504688|1
G134179|R202236|SAE|S063195|signal-averaged electrocardiogram|L146662|UMLS|E0504688|1
G134203|R362653|SAG|S063223|superantigen|L153127|ADAM||1
G134203|R202319|SAG|S063223|superantigen|L153127|UMLS|E0409135|1
G134203|R202320|SAG|S063223|super-antigen|L153105|UMLS|E0409135|1
G134352|R362882|SAT|S063385|serine acetyltransferase|L145186|ADAM||1
G134352|R154251|SAT|S063385|serine acetyltransferase|L145186|UMLS|E0689937|1
G134352|R154252|SAT|S063385|serine acetyl transferase|L145184|UMLS|E0689937|1
G134352|R154253|SAT|S063385|serine acetyl-transferase|L145185|UMLS|E0689937|1
G134505|R363164|SCAG|S063567|Sandoz Clinical Assessment Geriatric scale|L030135|ADAM||1
G134505|R204652|SCAG|S063567|Sandoz Clinical Assessment Geriatric Scale|L030134|UMLS|E0711930|1
G134505|R204653|SCAG|S063567|Sandoz Clinical Assessment Geriatric scale|L030135|UMLS|E0711930|1
G134505|R204654|SCAG|S063567|Sandoz Clinical Assessment-Geriatric scale|L030137|UMLS|E0711930|1
G134582|R363623|SCH|S063680|suprachoroidal hemorrhage|L153495|ADAM||1
G134582|R067850|SCH|S063680|suprachoroidal hemorrhage|L153495|UMLS|E0565702|1
G134582|R067851|SCH|S063680|suprachoroidal haemorrhage|L153494|UMLS|E0565702|1
G134582|R067852|SCH|S063680|supra-choroidal hemorrhage|L153476|UMLS|E0565702|1
G134582|R067853|SCH|S063680|supra-choroidal haemorrhage|L153475|UMLS|E0565702|1
G134624|R363425|SCMV|S063735|sugarcane mosaic virus|L152722|ADAM||1
G134624|R287470|SCMV|S063735|sugarcane mosaic virus|L152722|UMLS|E0764749|1
G134624|R287471|SCMV|S063735|sugar cane mosaic virus|L152702|UMLS|E0764749|1
G134626|R363456|SCN|S063736|suprachiasmatic nuclei|L153490|ADAM||1
G134626|R363458|SCN|S063736|suprachiasmatic nucleus|L153492|ADAM||1
G134626|R027426|SCN|S063736|suprachiasmatic nucleus|L153492|UMLS|E0319443|1
G134626|R027427|SCN|S063736|supra-chiasmatic nucleus|L153474|UMLS|E0319443|1
G134649|R363487|SCPB|S063771|small cardioactive peptide B|L147948|ADAM||1
G134649|R031668|SCPB|S063771|small cardioactive peptideB|L147951|UMLS|E0747291|1
G134649|R031669|SCPB|S063771|small cardioactive peptide B|L147948|UMLS|E0747291|1
G134720|R363759|SDB|S063862|sleep-disordered breathing|L147720|ADAM||1
G134720|R363760|SDB|S063862|sleep disordered breathing|L147698|ADAM||1
G134720|R065483|SDB|S063862|sleep disordered breathing|L147698|UMLS|E0557087|1
G134720|R065484|SDB|S063862|sleep-disordered breathing|L147720|UMLS|E0557087|1
G134722|R363767|SDC|S063865|Salivary duct carcinoma|L029965|ADAM||1
G134722|R205665|SDC|S063865|salivary duct carcinoma|L143593|UMLS|E0712605|1
G134722|R205666|SDC|S063865|salivary-duct carcinoma|L143612|UMLS|E0712605|1
G134741|R387900|SDF-1alpha|S063888|stromal cell-derived factor-1alpha|L151921|ADAM||1
G134741|R387901|SDF-1alpha|S063888|stromal cell-derived factor 1alpha|L151919|ADAM||1
G134741|R166210|SDF-1alpha|S063888|stromal derived factor 1alpha|L151928|UMLS|E0635103|1
G134741|R166211|SDF-1alpha|S063888|stromal derived factor 1 alpha|L151924|UMLS|E0635103|1
G134741|R166212|SDF-1alpha|S063888|stromal derived factor-1alpha|L151936|UMLS|E0635103|1
G134741|R166213|SDF-1alpha|S063888|stromal-derived factor 1alpha|L151958|UMLS|E0635103|1
G134741|R166214|SDF-1alpha|S063888|stromal-derived factor-1alpha|L151966|UMLS|E0635103|1
G134741|R166215|SDF-1alpha|S063888|stromal derived factor 1-alpha|L151926|UMLS|E0635103|1
G134741|R166216|SDF-1alpha|S063888|stromal derived factor-1 alpha|L151932|UMLS|E0635103|1
G134741|R166217|SDF-1alpha|S063888|stromal derived factor-1-alpha|L151934|UMLS|E0635103|1
G134741|R166218|SDF-1alpha|S063888|stromal-derived factor 1 alpha|L151954|UMLS|E0635103|1
G134741|R166219|SDF-1alpha|S063888|stromal-derived factor 1-alpha|L151956|UMLS|E0635103|1
G134741|R166220|SDF-1alpha|S063888|stromal-derived factor-1 alpha|L151962|UMLS|E0635103|1
G134741|R166221|SDF-1alpha|S063888|stromal-derived factor-1-alpha|L151964|UMLS|E0635103|1
G134741|R166222|SDF-1alpha|S063888|stromal derived factor 1α|L151929|UMLS|E0635103|1
G134741|R166223|SDF-1alpha|S063888|stromal derived factor 1 α|L151925|UMLS|E0635103|1
G134741|R166224|SDF-1alpha|S063888|stromal derived factor-1α|L151937|UMLS|E0635103|1
G134741|R166225|SDF-1alpha|S063888|stromal-derived factor 1α|L151959|UMLS|E0635103|1
G134741|R166226|SDF-1alpha|S063888|stromal-derived factor-1α|L151967|UMLS|E0635103|1
G134741|R166227|SDF-1alpha|S063888|stromal derived factor 1-α|L151927|UMLS|E0635103|1
G134741|R166228|SDF-1alpha|S063888|stromal derived factor-1 α|L151933|UMLS|E0635103|1
G134741|R166229|SDF-1alpha|S063888|stromal derived factor-1-α|L151935|UMLS|E0635103|1
G134741|R166230|SDF-1alpha|S063888|stromal-derived factor 1 α|L151955|UMLS|E0635103|1
G134741|R166231|SDF-1alpha|S063888|stromal-derived factor 1-α|L151957|UMLS|E0635103|1
G134741|R166232|SDF-1alpha|S063888|stromal-derived factor-1 α|L151963|UMLS|E0635103|1
G134741|R166233|SDF-1alpha|S063888|stromal-derived factor-1-α|L151965|UMLS|E0635103|1
G134763|R363829|SDM|S063918|sulfadimethoxine|L152744|ADAM||1
G134763|R363830|SDM|S063918|sulphadimethoxine|L152906|ADAM||1
G134763|R205815|SDM|S063918|sulfadimethoxine|L152744|UMLS|E0071354|1
G134763|R205816|SDM|S063918|sulphadimethoxine|L152906|UMLS|E0071354|1
G134809|R364234|SE|S063961|subendothelium|L152295|ADAM||1
G134809|R011784|SE|S063961|subendothelium|L152295|UMLS|E0058460|1
G134809|R011785|SE|S063961|sub-endothelium|L152106|UMLS|E0058460|1
G134818|R301862|Amph-B|S007311|amphotericin B|L042240|ADAM||1
G134818|R058571|Amph-B|S007311|amphotericin B|L042240|UMLS|E0008664|1
G134818|R058572|Amph-B|S007311|amphotericin-B|L042247|UMLS|E0008664|1
G134819|R385147|SEC|S063973|size-exclusion chromatographic|L147542|ADAM||1
G134819|R385149|SEC|S063973|size-exclusion chromatography|L147543|ADAM||1
G134819|R385150|SEC|S063973|size exclusion chromatography|L147528|ADAM||1
G134819|R205859|SEC|S063973|size exclusion chromatography|L147528|UMLS|E0625714|1
G134819|R205860|SEC|S063973|size-exclusion chromatography|L147543|UMLS|E0625714|1
G135059|R364568|SG|S064291|salivary gland|L143596|ADAM||1
G135059|R364569|SG|S064291|salivary glands|L143608|ADAM||1
G135059|R027559|SG|S064291|salivary gland|L143596|UMLS|E0054191|1
G135059|R027560|SG|S064291|salivary-gland|L143613|UMLS|E0054191|1
G135118|R364543|SGP|S064345|strain gauge plethysmography|L151618|ADAM||1
G135118|R206679|SGP|S064345|strain gauge plethysmography|L151618|UMLS|E0342870|1
G135118|R206680|SGP|S064345|strain-gauge plethysmography|L151623|UMLS|E0342870|1
G135126|R364545|SGRQ|S064357|George's Respiratory Questionnaire|L015524|ADAM||1
G135126|R110288|SGRQ|S064357|Saint George's Respiratory Questionnaire|L029931|UMLS|E0644541|1
G135126|R110289|SGRQ|S064357|Saint George Respiratory Questionnaire|L029930|UMLS|E0751674|1
G135126|R110290|SGRQ|S064357|St George Respiratory Questionnaire|L031720|UMLS|E0751675|1
G135126|R110291|SGRQ|S064357|St. George Respiratory Questionnaire|L031728|UMLS|E0751675|1
G135126|R110292|SGRQ|S064357|St George's Respiratory Questionnaire|L031721|UMLS|E0644542|1
G135126|R110293|SGRQ|S064357|St. George's Respiratory Questionnaire|L031729|UMLS|E0644542|1
G135160|R364629|SHA|S064391|saliva-coated hydroxyapatite|L143587|ADAM||1
G135160|R069498|SHA|S064391|saliva coated hydroxyapatite|L143585|UMLS|E0741917|1
G135160|R069499|SHA|S064391|saliva-coated hydroxyapatite|L143587|UMLS|E0741917|1
G135185|R364681|SHI|S064427|second harmonic imaging|L144186|ADAM||1
G135185|R042674|SHI|S064427|second harmonic imaging|L144186|UMLS|E0437382|1
G135185|R042675|SHI|S064427|second-harmonic imaging|L144253|UMLS|E0437382|1
G135259|R364859|SICH|S064524|symptomatic intracranial hemorrhage|L153998|ADAM||1
G135259|R073562|SICH|S064524|symptomatic intracranial hemorrhage|L153998|UMLS|E0578708|1
G135259|R073563|SICH|S064524|symptomatic intracranial haemorrhage|L153997|UMLS|E0578708|1
G135287|R364902|SIJ|S064549|sacroiliac joint|L143512|ADAM||1
G135287|R159200|SIJ|S064549|sacroiliac joint|L143512|UMLS|E0209733|1
G135287|R159201|SIJ|S064549|sacro-iliac joint|L143500|UMLS|E0209733|1
G135358|R365151|SK|S064679|seborrheic keratosis|L144148|ADAM||1
G135358|R011925|SK|S064679|seborrheic keratosis|L144148|UMLS|E0054894|1
G135358|R011926|SK|S064679|seborrhoeic keratosis|L144151|UMLS|E0054894|1
G135407|R365185|SLA|S064723|swine leukocyte antigen|L153891|ADAM||1
G135407|R365186|SLA|S064723|Swine leukocyte antigens|L032377|ADAM||1
G135407|R043449|SLA|S064723|swine leucocyte antigen|L153890|UMLS|E0439920|1
G135407|R043450|SLA|S064723|swine leukocyte antigen|L153891|UMLS|E0439920|1
G135444|R365250|SLNB|S064814|Sentinel lymph node biopsy|L030592|ADAM||1
G135444|R250889|SLNB|S064814|sentinel lymph node biopsy|L145024|UMLS|E0743463|1
G135444|R250890|SLNB|S064814|sentinel lymph-node biopsy|L145027|UMLS|E0743463|1
G135444|R250891|SLNB|S064814|sentinel-lymph-node biopsy|L145035|UMLS|E0743463|1
G135444|R408047|SLNB|S064814|sentinel lymph node biopsy|L145024|Wikipedia||1
G135500|R365344|SLTx|S064862|single lung transplantation|L147077|ADAM||1
G135500|R239261|SLTx|S064862|single lung transplantation|L147077|UMLS|E0714076|1
G135500|R239262|SLTx|S064862|single-lung transplantation|L147245|UMLS|E0714076|1
G135520|R385268|SM|S064876|semimembranosus|L144865|ADAM||1
G135520|R155459|SM|S064876|semimembranosus|L144865|UMLS|E0205090|1
G135520|R155460|SM|S064876|semi-membranosus|L144840|UMLS|E0205090|1
