GroupID|RecordID|SF|SFUI|NormSF|LF|LFUI|NormLF|Source|SFEUI|LFEUI|Type|PrefSF|Score|Count|Frequency|UMLS.CUI|error|action
|R148105|NMOR|S048852|nmor|nitrosomorpholine|L117811|nitrosomorpholine|UMLS|E0681904|E0334988|abbreviation||||||duplicate|retire
|R148168|LPD|S041081|lpd|dihydrolipoamide dehydrogenase|L067569|dihydrolipoamide dehydrogenase|UMLS|E0681920|E0022781|acronym||||||duplicate|retire
|R148169|LPD|S041081|lpd|lipoamide dehydrogenase|L103558|lipoamide dehydrogenase|UMLS|E0681920|E0681912|acronym||||||duplicate|retire
|R148222|DIII|S019077|diii|domain III protein|L069045|domain III protein|UMLS|E0681937|E0681933|abbreviation||||||duplicate|retire
|R148223|DIII|S019077|diii|domain III|L069044|domain III|UMLS|E0681937|E0681934|abbreviation||||||duplicate|retire
|R148228|DIII|S019077|diii|type 3 deiodinase|L162972|type 3 deiodinase|UMLS|E0681938|E0681935|abbreviation||||||duplicate|retire
|R148229|DIII|S019077|diii|type III deiodinase|L163118|type 3 deiodinase|UMLS|E0681938|E0681935|abbreviation||||||duplicate|retire
|R148437|post CLP|S096412|post clp|post-cecal ligation and puncture|L131798||UMLS|E0682295||acronym||||||duplicate|retire
|R148438|post-CLP|S096430|post_clp|post-cecal ligation and puncture|L131798||UMLS|E0682295||acronym||||||duplicate|retire
|R148651|IFNγ|S035255|ifnγ|interferongamma|L096198|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148652|IFNγ|S035255|ifnγ|interferon gamma|L096010|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148653|IFNγ|S035255|ifnγ|interferon-gamma|L096122|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148654|IFNγ|S035255|ifnγ|interferonγ|L096200||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148655|IFNγ|S035255|ifnγ|interferon γ|L096086||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148656|IFNγ|S035255|ifnγ|interferon-γ|L096187||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148657|IFN γ|S035065|ifn γ|interferongamma|L096198|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148658|IFN γ|S035065|ifn γ|interferon gamma|L096010|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148659|IFN γ|S035065|ifn γ|interferon-gamma|L096122|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148660|IFN γ|S035065|ifn γ|interferonγ|L096200||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148661|IFN γ|S035065|ifn γ|interferon γ|L096086||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148662|IFN γ|S035065|ifn γ|interferon-γ|L096187||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148663|IFN-γ|S035183|ifn_γ|interferongamma|L096198|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148664|IFN-γ|S035183|ifn_γ|interferon gamma|L096010|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148665|IFN-γ|S035183|ifn_γ|interferon-gamma|L096122|interferongamma|UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148666|IFN-γ|S035183|ifn_γ|interferonγ|L096200||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148667|IFN-γ|S035183|ifn_γ|interferon γ|L096086||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148668|IFN-γ|S035183|ifn_γ|interferon-γ|L096187||UMLS|E0682710|E0035057|abbreviation||||||duplicate|retire
|R148687|GTF|S028636|gtf|glucosyltransferase|L082289|glucosyltransferase|UMLS|E0682745|E0029970|acronym||||||duplicate|retire
|R148688|GTF|S028636|gtf|glucosyl transferase|L082281|glucosyltransferase|UMLS|E0682745|E0029970|acronym||||||duplicate|retire
|R148689|GTF|S028636|gtf|glucosyl-transferase|L082283|glucosyltransferase|UMLS|E0682745|E0029970|acronym||||||duplicate|retire
|R148880|SS|S065869|ss|Strongyloides stercoralis|L032132|Strongyloides stercoralis|UMLS|E0683250|E0336801|acronym||||||duplicate|retire
|R148905|SS|S065869|ss|singlestranded|L147346|singlestranded|UMLS|E0683252|E0056032|acronym||||||duplicate|retire
|R148906|SS|S065869|ss|single-stranded|L147309||UMLS|E0683252|E0056032|acronym||||||duplicate|retire
|R148907|SS|S065869|ss|single-strand|L147296||UMLS|E0683252|E0056031|acronym||||||duplicate|retire
|R148908|SS|S065869|ss|single shelled|L147135||UMLS|E0683252|E0683211|acronym||||||duplicate|retire
|R148909|SS|S065869|ss|single-shelled|L147292||UMLS|E0683252|E0683211|acronym||||||duplicate|retire
|R148970|inst|S089565|inst|institute|L095200|institute|UMLS|E0683265|E0034852|abbreviation||||||duplicate|retire
|R148971|inst|S089565|inst|institution|L095204|institution|UMLS|E0683265|E0034853|abbreviation||||||duplicate|retire
|R150187|Tcra|S072226|tcra|T cell receptor alpha|L032587|T cell receptor alpha|UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150188|Tcra|S072226|tcra|T-cell receptor alpha|L032850|T cell receptor alpha|UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150189|Tcra|S072226|tcra|T-cell receptor-alpha|L032890|T cell receptor alpha|UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150190|Tcra|S072226|tcra|T-cell-receptor alpha|L032929|T cell receptor alpha|UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150191|Tcra|S072226|tcra|T cell receptor α|L032610||UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150192|Tcra|S072226|tcra|T-cell receptor α|L032872||UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150193|Tcra|S072226|tcra|T-cell receptor-α|L032901||UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150194|Tcra|S072226|tcra|T-cell-receptor α|L032937||UMLS|E0684891|E0582722|acronym||||||duplicate|retire
|R150411|TRPL|S071584|trpl|TRP-like|L033425||UMLS|E0685360|E0718996|acronym||||||duplicate|retire
|R150412|TRPL|S071584|trpl|trp-like|L161381||UMLS|E0685360|E0718996|acronym||||||duplicate|retire
|R150413|TRPL|S071584|trpl|transient receptor potential-like|L159934||UMLS|E0685360|E0718995|acronym||||||duplicate|retire
|R150414|TRPL|S071584|trpl|transient-receptor-potential-like|L159946||UMLS|E0685360|E0718995|acronym||||||duplicate|retire
|R150956|FPLD|S025272|fpld|Fabry-Perot laser diode|L013927||UMLS|E0686017|E0665272|acronym||||||duplicate|retire
|R150957|FPLD|S025272|fpld|Fabry-Pérot laser diode|L013930||UMLS|E0686017|E0665272|acronym||||||duplicate|retire
|R151117|HPOA|S032295|hpoa|hydrophobic acid|L091375|hydrophobic acid|UMLS|E0686360|E0686357|acronym||||||duplicate|retire
|R151353|USP|S074021|usp|United States Pharmacopeia|L035133||UMLS|E0686960|E0063243|acronym||||||duplicate|retire
|R151354|USP|S074021|usp|United States Pharmacopoeia|L035135||UMLS|E0686960|E0063243|acronym||||||duplicate|retire
|R151359|USP|S074021|usp|uropathogenic specific protein|L165047|uropathogenic specific protein|UMLS|E0686981|E0686966|acronym||||||duplicate|retire
|R151360|USP|S074021|usp|uropathogenic-specific protein|L165048|uropathogenic specific protein|UMLS|E0686981|E0686966|acronym||||||duplicate|retire
|R151365|tr|S102086|tr|tincture|L157622|tincture|UMLS|E0686990|E0061115|abbreviation||||||duplicate|retire
|R151376|TPN|S071281|tpn|total parenteral nutrition|L158530|total parenteral nutrition|UMLS|E0687234|E0061495|acronym||||||duplicate|retire
|R151476|TAB|S068926|tab|thyroid antibody|L157088|thyroid antibody|UMLS|E0687282|E0439627|acronym||||||duplicate|retire
|R151477|TAB|S068926|tab|antithyroid antibody|L045469|antithyroid antibody|UMLS|E0687282|E0338865|acronym||||||duplicate|retire
|R151478|TAB|S068926|tab|anti-thyroid antibody|L044499||UMLS|E0687282|E0338865|acronym||||||duplicate|retire
|R151530|SOL|S065281|sol|solid|L148758|solid|UMLS|E0687440|E0056646|abbreviation||||||duplicate|retire
|R151538|SQ|S065665|sq|subcutaneous|L152261|subcutaneous|UMLS|E0687443|E0058425|abbreviation||||||duplicate|retire
|R151539|SQ|S065665|sq|sub-cutaneous|L152099||UMLS|E0687443|E0058425|abbreviation||||||duplicate|retire
|R151564|SC|S063508|sc|subcutaneous|L152261|subcutaneous|UMLS|E0687474|E0058425|acronym||||||duplicate|retire
|R151565|SC|S063508|sc|sub-cutaneous|L152099||UMLS|E0687474|E0058425|acronym||||||duplicate|retire
|R151929|SL|S064712|sl|sublingual|L152375|sublingual|UMLS|E0688451|E0058539|acronym||||||duplicate|retire
|R151930|SL|S064712|sl|sub-lingual|L152126||UMLS|E0688451|E0058539|acronym||||||duplicate|retire
|R151933|SL|S064712|sl|septal lateral|L145067|septal lateral|UMLS|E0688452|E0688434|acronym||||||duplicate|retire
|R151934|SL|S064712|sl|septal-lateral|L145069|septal lateral|UMLS|E0688452|E0688434|acronym||||||duplicate|retire
|R151960|SLM|S064806|slm|stratum lacunosum moleculare|L151646|stratum lacunosum moleculare|UMLS|E0688542|E0335531|acronym||||||duplicate|retire
|R151961|SLM|S064806|slm|stratum lacunosum-moleculare|L151647|stratum lacunosum moleculare|UMLS|E0688542|E0335531|acronym||||||duplicate|retire
|R152035|rep|S098455|rep|replication|L141050|replication|UMLS|E0688569|E0052835|abbreviation||||||duplicate|retire
|R152044|rep|S098455|rep|repressor|L141110|repressor|UMLS|E0688569|E0052867|abbreviation||||||duplicate|retire
|R152082|REP|S060139|rep|repetitive|L141006|repetitive|UMLS|E0688601|E0052816|abbreviation||||||duplicate|retire
|R152217|OD|S050963|od|oculus dexter|L120985|oculus dexter|UMLS|E0688665||acronym||||||duplicate|retire
|R152266|M|S042216|m|molecular ion|L112424|molecular ion|UMLS|E0688680|E0688679|abbreviation||||||duplicate|retire
|R152280|M|S042216|m|male|L106800|male|UMLS|E0688683|E0038663|abbreviation||||||duplicate|retire
|R152284|M|S042216|m|mean|L108082|mean|UMLS|E0688683|E0039157|abbreviation||||||duplicate|retire
|R152286|M|S042216|m|median|L108452|median|UMLS|E0688683|E0039234|abbreviation||||||duplicate|retire
|R152296|m|S090910|m|mean|L108082|mean|UMLS|E0688684|E0039157|abbreviation||||||duplicate|retire
|R152343|Lin|S042010|lin|lineage|L103313|lineage|UMLS|E0688694|E0037601|abbreviation||||||duplicate|retire
|R152344|Lin|S042010|lin|lineage marker|L103315|lineage marker|UMLS|E0688694|E0688689|abbreviation||||||duplicate|retire
|R152345|Lin|S042010|lin|lincomycin|L103301|lincomycin|UMLS|E0688694|E0037595|abbreviation||||||duplicate|retire
|R152346|Lin|S042010|lin|lyncomycin|L105912|lincomycin|UMLS|E0688694|E0037595|abbreviation||||||duplicate|retire
|R152348|lin|S090558|lin|liniment|L103447|liniment|UMLS|E0688694|E0037651|abbreviation||||||duplicate|retire
|R152389|IVPB|S037232|ivpb|intravenous piggyback|L098494|intravenous piggyback|UMLS|E0688798|E0688796|acronym||||||duplicate|retire
|R152390|IVPB|S037232|ivpb|intravenous piggy back|L098492|intravenous piggyback|UMLS|E0688798|E0688796|acronym||||||duplicate|retire
|R152391|IVPB|S037232|ivpb|intravenous piggy-back|L098493|intravenous piggyback|UMLS|E0688798|E0688796|acronym||||||duplicate|retire
|R152409|IP|S036605|ip|intraportal|L098311|intraportal|UMLS|E0688830|E0320047|acronym||||||duplicate|retire
|R152410|IP|S036605|ip|intra-portal|L097763||UMLS|E0688830|E0320047|acronym||||||duplicate|retire
|R152411|IP|S036605|ip|intraperitoneal|L098289|intraperitoneal|UMLS|E0688830|E0035530|acronym||||||duplicate|retire
|R152412|IP|S036605|ip|intra peritoneal|L097521|intraperitoneal|UMLS|E0688830|E0035530|acronym||||||duplicate|retire
|R152413|IP|S036605|ip|intra-peritoneal|L097752|intraperitoneal|UMLS|E0688830|E0035530|acronym||||||duplicate|retire
|R152515|IP|S036605|ip|intraperitoneal administration|L098290|intraperitoneal administration|UMLS|E0688832|E0688811|acronym||||||duplicate|retire
|R152516|IP|S036605|ip|intra-peritoneal administration|L097753||UMLS|E0688832|E0688811|acronym||||||duplicate|retire
|R152517|IP|S036605|ip|intraperitoneal injection|L098300|intraperitoneal injection|UMLS|E0688832|E0688802|acronym||||||duplicate|retire
|R152524|IP|S036605|ip|intraperitoneal injection|L098300|intraperitoneal injection|UMLS|E0688833|E0688802|acronym||||||duplicate|retire
|R152525|IP|S036605|ip|intraperitoneal administration|L098290|intraperitoneal administration|UMLS|E0688833|E0688811|acronym||||||duplicate|retire
|R152526|IP|S036605|ip|intra-peritoneal administration|L097753||UMLS|E0688833|E0688811|acronym||||||duplicate|retire
|R152527|i.p.|S089098|ip|intraperitoneal injection|L098300|intraperitoneal injection|UMLS|E0688833|E0688802|acronym||||||duplicate|retire
|R152528|i.p.|S089098|ip|intraperitoneal administration|L098290|intraperitoneal administration|UMLS|E0688833|E0688811|acronym||||||duplicate|retire
|R152529|i.p.|S089098|ip|intra-peritoneal administration|L097753||UMLS|E0688833|E0688811|acronym||||||duplicate|retire
|R152530|IP|S036605|ip|ipriflavone|L098928|ipriflavone|UMLS|E0688833|E0310153|abbreviation||||||duplicate|retire
|R152532|IP|S036605|ip|inorganic phosphate|L094992|inorganic phosphate|UMLS|E0688834|E0351723|acronym||||||duplicate|retire
|R152533|IP|S036605|ip|inorganic phosphorus|L094995|inorganic phosphorus|UMLS|E0688834|E0688813|acronym||||||duplicate|retire
|R152534|IP|S036605|ip|isoprostane|L099434|isoprostane|UMLS|E0688834|E0335494|acronym||||||duplicate|retire
|R152535|IP|S036605|ip|iso-prostane|L099226||UMLS|E0688834|E0335494|acronym||||||duplicate|retire
|R152536|IP|S036605|ip|isopentenyladenine|L099397|isopentenyladenine|UMLS|E0688834|E0310208|acronym||||||duplicate|retire
|R152537|IP|S036605|ip|isopentenyl adenine|L099388|isopentenyladenine|UMLS|E0688834|E0310208|acronym||||||duplicate|retire
|R152538|IP|S036605|ip|isopentenyl-adenine|L099393|isopentenyladenine|UMLS|E0688834|E0310208|acronym||||||duplicate|retire
|R152559|IM|S036322|im|intramuscular|L098199|intramuscular|UMLS|E0688839|E0035495|acronym||||||duplicate|retire
|R152560|IM|S036322|im|intra muscular|L097516|intramuscular|UMLS|E0688839|E0035495|acronym||||||duplicate|retire
|R152561|IM|S036322|im|intra-muscular|L097686|intramuscular|UMLS|E0688839|E0035495|acronym||||||duplicate|retire
|R152631|IM|S036322|im|intrahepatic metastasis|L098150|intrahepatic metastasis|UMLS|E0688879|E0688844|acronym||||||duplicate|retire
|R152632|IM|S036322|im|intra-hepatic metastasis|L097665||UMLS|E0688879|E0688844|acronym||||||duplicate|retire
|R152635|IM|S036322|im|imidazol|L092828|imidazol|UMLS|E0688879|E0033467|abbreviation||||||duplicate|retire
|R152636|IM|S036322|im|imidazole|L092829|imidazol|UMLS|E0688879|E0033467|abbreviation||||||duplicate|retire
|R152637|IM|S036322|im|IMMUTANS|L017940|IMMUTANS|UMLS|E0688879|E0557813|abbreviation||||||duplicate|retire
|R152638|IM|S036322|im|immutans|L093596|IMMUTANS|UMLS|E0688879|E0557813|abbreviation||||||duplicate|retire
|R152643|IM|S036322|im|imidazol|L092828|imidazol|UMLS|E0688880|E0033467|abbreviation||||||duplicate|retire
|R152644|IM|S036322|im|imidazole|L092829|imidazol|UMLS|E0688880|E0033467|abbreviation||||||duplicate|retire
|R152645|IM|S036322|im|immobilisation|L092908|immobilisation|UMLS|E0688880|E0033518|abbreviation||||||duplicate|retire
|R152646|IM|S036322|im|immobilization|L092920|immobilisation|UMLS|E0688880|E0033518|abbreviation||||||duplicate|retire
|R152735|ID|S034838|id|insertion/deletion|L095122||UMLS|E0688904||acronym||||||duplicate|retire
|R152737|ID|S034838|id|inhibitor of differentiation|L094687||UMLS|E0688905||acronym||||||duplicate|retire
|R152738|ID|S034838|id|inhibitor of DNA binding|L094673||UMLS|E0688905||acronym||||||duplicate|retire
|R152741|ID|S034838|id|idiotype|L092720|idiotype|UMLS|E0688905|E0033321|abbreviation||||||duplicate|retire
|R152742|ID|S034838|id|indometacin|L094115|indometacin|UMLS|E0688905|E0034223|abbreviation||||||duplicate|retire
|R152743|ID|S034838|id|indomethacin|L094116|indometacin|UMLS|E0688905|E0034223|abbreviation||||||duplicate|retire
|R152760|ID|S034838|id|idiotypic|L092723|idiotypic|UMLS|E0688907|E0033322|abbreviation||||||duplicate|retire
|R152831|H|S029469|h|Hispanic|L017094|Hispanic|UMLS|E0688947|E0355816|abbreviation||||||duplicate|retire
|R152832|H|S029469|h|hypertensive|L091972|hypertensive|UMLS|E0688947|E0032819|abbreviation||||||duplicate|retire
|R152999|Gr|S029319|gr|group|L083659|group|UMLS|E0689004|E0030468|abbreviation||||||duplicate|retire
|R153000|Gr|S029319|gr|grade|L083163|grade|UMLS|E0689004|E0030210|abbreviation||||||duplicate|retire
|R153010|GR|S028322|gr|granular|L083316|granular|UMLS|E0689006|E0030259|abbreviation||||||duplicate|retire
|R153080|GS|S028445|gs|stomatal conductance|L151550|stomatal conductance|UMLS|E0689029|E0689019|abbreviation||||||duplicate|retire
|R153081|Gs|S029366|gs|stomatal conductance|L151550|stomatal conductance|UMLS|E0689029|E0689019|abbreviation||||||duplicate|retire
|R153083|GS|S028445|gs|gastrocnemius-soleus|L080962||UMLS|E0689030||acronym||||||duplicate|retire
|R153183|FT|S025482|ft|free testosterone|L079573|free testosterone|UMLS|E0689218|E0689185|acronym||||||duplicate|retire
|R153185|FT|S025482|ft|freeze-thaw|L079630||UMLS|E0689219|E0689188|acronym||||||duplicate|retire
|R153186|FT|S025482|ft|freeze/thaw|L079631||UMLS|E0689219|E0689188|acronym||||||duplicate|retire
|R153244|FL|S024943|fl|fluorescein|L078285|fluorescein|UMLS|E0689261|E0028270|abbreviation||||||duplicate|retire
|R153245|FL|S024943|fl|fluorescence|L078318|fluorescence|UMLS|E0689261|E0220988|abbreviation||||||duplicate|retire
|R153246|FL|S024943|fl|fluorene|L078283|fluorene|UMLS|E0689261|E0204126|abbreviation||||||duplicate|retire
|R153247|FL|S024943|fl|flutter|L078608|flutter|UMLS|E0689261|E0028332|abbreviation||||||duplicate|retire
|R153257|FL|S024943|fl|fluorescein-labeled|L078313||UMLS|E0689263|E0689257|acronym||||||duplicate|retire
|R153281|DW|S020182|dw|distilled water|L068788||UMLS|E0689289|E0427062|acronym||||||duplicate|retire
|R153282|DW|S020182|dw|distilled-water|L068790||UMLS|E0689289|E0427062|acronym||||||duplicate|retire
|R153285|DW|S020182|dw|dry weight|L069885|dry weight|UMLS|E0689290|E0689286|acronym||||||duplicate|retire
|R153286|dw|S085387|dw|dry weight|L069885|dry weight|UMLS|E0689290|E0689286|acronym||||||duplicate|retire
|R153371|HPI|S032239|hpi|human proinsulin|L090827|human proinsulin|UMLS|E0689428|E0689410|acronym||||||duplicate|retire
|R153372|HPI|S032239|hpi|human pro-insulin|L090825||UMLS|E0689428|E0689410|acronym||||||duplicate|retire
|R153383|HPI|S032239|hpi|hydrophilic|L091365|hydrophilic|UMLS|E0689431|E0032440|abbreviation||||||duplicate|retire
|R153384|HPI|S032239|hpi|hydrophylic|L091386|hydrophilic|UMLS|E0689431|E0032440|abbreviation||||||duplicate|retire
|R153385|HPI|S032239|hpi|hydrophillic|L091374|hydrophilic|UMLS|E0689431|E0032440|abbreviation||||||duplicate|retire
|R153417|RMD|S060555|rmd|restrained molecular dynamics|L141531|restrained molecular dynamics|UMLS|E0689453|E0689444|acronym||||||duplicate|retire
|R153434|HTN|S032865|htn|hypertensive|L091972|hypertensive|UMLS|E0689460|E0032820|abbreviation||||||duplicate|retire
|R153441|MVK|S045840|mvk|mevalonate kinase|L110547|mevalonate kinase|UMLS|E0689465|E0689461|acronym||||||duplicate|retire
|R153718|PT|S056893|pt|physical therapist|L128748|physical therapist|UMLS|E0689606|E0582627|acronym||||||duplicate|retire
|R153728|MD|S043745|md|Maryland|L021388|Maryland|UMLS|E0689614|E0004062|abbreviation||||||duplicate|retire
|R153844|VRC|S075493|vrc|ribcage volume|L142440|ribcage volume|UMLS|E0689665|E0689661|acronym||||||duplicate|retire
|R153845|VRC|S075493|vrc|rib cage volume|L142434|ribcage volume|UMLS|E0689665|E0689661|acronym||||||duplicate|retire
|R153846|VRC|S075493|vrc|rib-cage volume|L142436|ribcage volume|UMLS|E0689665|E0689661|acronym||||||duplicate|retire
|R153890|VA|S074654|va|Virginia|L035720|Virginia|UMLS|E0689700|E0006079|abbreviation||||||duplicate|retire
|R153902|wt|S103474|wt|weight|L168328|weight|UMLS|E0689712|E0065208|abbreviation||||||duplicate|retire
|R153972|STG|S066208|stg|serum triglyceride|L145617|serum triglyceride|UMLS|E0689751|E0689746|acronym||||||duplicate|retire
|R153973|STG|S066208|stg|stellate ganglion|L151118|stellate ganglion|UMLS|E0689751|E0057794|acronym||||||duplicate|retire
|R154092|BRCA|S009748|brca|breastcancer|L052085|breastcancer|UMLS|E0689826|E0014011|abbreviation||||||duplicate|retire
|R154093|BRCA|S009748|brca|breast cancer|L051988|breastcancer|UMLS|E0689826|E0014011|abbreviation||||||duplicate|retire
|R154298|SAT|S063385|sat|saturation|L143817|saturation|UMLS|E0689966|E0054405|abbreviation||||||duplicate|retire
|R154299|SAT|S063385|sat|satellite|L143779|satellite|UMLS|E0689966|E0054380|abbreviation||||||duplicate|retire
|R154302|SAT|S063385|sat|satellite|L143779|satellite|UMLS|E0689967|E0054380|abbreviation||||||duplicate|retire
|R154303|Sat|S066728|sat|satellite|L143779|satellite|UMLS|E0689967|E0054380|abbreviation||||||duplicate|retire
|R154347|CARB|S012266|carb|carbamylcholine|L053729|carbamylcholine|UMLS|E0690000|E0015110|abbreviation||||||duplicate|retire
|R154348|CARB|S012266|carb|carboplatin|L053960|carboplatin|UMLS|E0690000|E0015183|abbreviation||||||duplicate|retire
|R154349|CARB|S012266|carb|carbohydrate|L053757|carbohydrate|UMLS|E0690000|E0015146|abbreviation||||||duplicate|retire
|R154372|MTB|S045634|mtb|Mycobacterium tuberculosis|L022760|Mycobacterium tuberculosis|UMLS|E0690008|E0004264|acronym||||||duplicate|retire
|R154373|MTB|S045634|mtb|Mycobacterium tuberculosis complex|L022764|Mycobacterium tuberculosis complex|UMLS|E0690008|E0633162|acronym||||||duplicate|retire
|R155013|NTM|S049589|ntm|neurotrimin|L117067|neurotrimin|UMLS|E0690072|E0413863|abbreviation||||||duplicate|retire
|R155269|DR|S019844|dr|doseresponse|L069442|doseresponse|UMLS|E0690371|E0232260|acronym||||||duplicate|retire
|R155270|DR|S019844|dr|dose response|L069410|doseresponse|UMLS|E0690371|E0232260|acronym||||||duplicate|retire
|R155271|DR|S019844|dr|dose-response|L069432|doseresponse|UMLS|E0690371|E0232260|acronym||||||duplicate|retire
|R155275|DR|S019844|dr|doseresponse|L069442|doseresponse|UMLS|E0690372|E0232259|acronym||||||duplicate|retire
|R155276|DR|S019844|dr|dose response|L069410|doseresponse|UMLS|E0690372|E0232259|acronym||||||duplicate|retire
|R155277|DR|S019844|dr|dose-response|L069432|doseresponse|UMLS|E0690372|E0232259|acronym||||||duplicate|retire
|R155279|D-R|S017731|d_r|doseresponse|L069442|doseresponse|UMLS|E0690372|E0232259|acronym||||||duplicate|retire
|R155280|D-R|S017731|d_r|dose response|L069410|doseresponse|UMLS|E0690372|E0232259|acronym||||||duplicate|retire
|R155281|D-R|S017731|d_r|dose-response|L069432|doseresponse|UMLS|E0690372|E0232259|acronym||||||duplicate|retire
|R155286|DR|S019844|dr|doseresponse|L069442|doseresponse|UMLS|E0690373|E0232259|acronym||||||duplicate|retire
|R155287|DR|S019844|dr|dose response|L069410|doseresponse|UMLS|E0690373|E0232259|acronym||||||duplicate|retire
|R155288|DR|S019844|dr|dose-response|L069432|doseresponse|UMLS|E0690373|E0232259|acronym||||||duplicate|retire
|R155289|DR|S019844|dr|dose/response|L069440|doseresponse|UMLS|E0690373|E0232259|acronym||||||duplicate|retire
|R155532|Sm|S067116|sm|Schistosoma mansoni|L030323|Schistosoma mansoni|UMLS|E0690464|E0054565|acronym||||||duplicate|retire
|R155533|Sm|S067116|sm|Schistosoma mansonii|L030327|Schistosoma mansoni|UMLS|E0690464|E0054565|acronym||||||duplicate|retire
|R155616|LA|S039808|la|Louisiana|L020682|Louisiana|UMLS|E0690510|E0003905|abbreviation||||||duplicate|retire
|R155749|HPT|S032323|hpt|hematopoietic tissue|L085912|hematopoietic tissue|UMLS|E0690579|E0201377|acronym||||||duplicate|retire
|R155750|HPT|S032323|hpt|haematopoietic tissue|L084417|hematopoietic tissue|UMLS|E0690579|E0201377|acronym||||||duplicate|retire
|R155753|HPT|S032323|hpt|haptoglobin|L085103|haptoglobin|UMLS|E0690579|E0067187|abbreviation||||||duplicate|retire
|R155759|HPT|S032323|hpt|hygromycin phosphotransferase|L091667|hygromycin phosphotransferase|UMLS|E0690581|E0690559|acronym||||||duplicate|retire
|R155912|BB|S008627|bb|Bordetella bronchiseptica|L007354|Bordetella bronchiseptica|UMLS|E0690659|E0211518|acronym||||||duplicate|retire
|R155913|BB|S008627|bb|bisbenzimide|L050408|bisbenzimide|UMLS|E0690659|E0332805|acronym||||||duplicate|retire
|R155914|BB|S008627|bb|bis-benzimide|L050403||UMLS|E0690659|E0332805|acronym||||||duplicate|retire
|R156080|SCa|S063831|sca|serum calcium|L145436|serum calcium|UMLS|E0690775|E0690774|abbreviation||||||duplicate|retire
|R156273|SM|S064876|sm|submucosal|L152413|submucosal|UMLS|E0690879|E0058578|acronym||||||duplicate|retire
|R156274|SM|S064876|sm|sub-mucosal|L152137||UMLS|E0690879|E0058578|acronym||||||duplicate|retire
|R156277|SM|S064876|sm|smooth muscle|L148240|smooth muscle|UMLS|E0690880|E0056406|acronym||||||duplicate|retire
|R156278|SM|S064876|sm|smooth-muscle|L148270|smooth muscle|UMLS|E0690880|E0056406|acronym||||||duplicate|retire
|R156281|SM|S064876|sm|smoker|L148225|smoker|UMLS|E0690880|E0056397|abbreviation||||||duplicate|retire
|R156403|jr.|S089941|jr|junior|L099694|junior|UMLS|E0691052|E0036312|abbreviation||||||duplicate|retire
|R156587|sr.|S100651|sr|senior|L144946|senior|UMLS|E0691253|E0055205|abbreviation||||||duplicate|retire
|R156686|HLP|S031722|hlp|histone-like protein|L088547||UMLS|E0691361|E0691355|acronym||||||duplicate|retire
|R156912|NTG|S049578|ntg|nontransgenic|L119262|nontransgenic|UMLS|E0691555|E0319652|acronym||||||duplicate|retire
|R156913|NTG|S049578|ntg|non-transgenic|L118688||UMLS|E0691555|E0319652|acronym||||||duplicate|retire
|R156993|DLC1|S019199|dlc1|deleted in liver cancer 1|L065357||UMLS|E0691586||acronym||||||duplicate|retire
|R157045|RBV|S059893|rbv|ribavirin|L142438|ribavirin|UMLS|E0691623|E0053535|abbreviation||||||duplicate|retire
|R157086|BRC|S009747|brc|bromocriptin|L052213|bromocriptin|UMLS|E0691667|E0300624|abbreviation||||||duplicate|retire
|R157087|BRC|S009747|brc|bromocryptin|L052215|bromocriptin|UMLS|E0691667|E0300624|abbreviation||||||duplicate|retire
|R157088|BRC|S009747|brc|bromocriptine|L052214|bromocriptin|UMLS|E0691667|E0300624|abbreviation||||||duplicate|retire
|R157089|BRC|S009747|brc|bromocryptine|L052216|bromocriptin|UMLS|E0691667|E0300624|abbreviation||||||duplicate|retire
|R157098|BRC|S009747|brc|Broad Complex|L007625|Broad Complex|UMLS|E0691668|E0691662|abbreviation||||||duplicate|retire
