LF1|LF2|Synonym
cyclic guanosinemonophosphate|cyclic guanidine monophosphate|N
insulin receptor|insulin receptor gene|N
restriction|restrict|Y
a disintegrin and metalloprotease-10|A disintegrin and metalloproteinase 10|Y
American Society of Anaesthesiologists class I|American Society of Anesthesiology Class 1|Y
IL-13 receptor alpha2-chain|IL-13 receptor alpha 2|Y
transient-evoked otoacoustic emission|transiently evoked otoacoustic emission|Y
rotavirus-associated|rhinovirus-associated|N
multiorgan failure|multiple organ failure|Y
benzoylbenzoic ATP|benzoylbenzoyl ATP|Y
flavin-containing monooxygenases|flavin-containing mono-oxygenase|Y
computer tomography scanning|computerised tomographic scanning|Y
acute lymphoblastic leucemia|B-cell acute lymphoblastic leukaemia|N
State Trait Anxiety Inventory|State Trait Anxiety Index|Y
functional spine unit|functional spinal unit|Y
transforming growth factor|transforming growth factor alpha|N
American Academy of Optometry|American Academy of Osteopathy|N
pig aortic endothelial cell|porcine aortic endothelial cell|Y
American Society of Anaesthesiology grade V|American Society of Anaesthesiologists grade 5|Y
x-ray reflectometry|x-ray reflectivity|Y
multiple endocrine neoplasia 2B syndrome|multiple endocrine neoplasia type 2B syndrome|Y
limb girdle muscular dystrophy 2I|limb girdle muscular dystrophy type 2I|Y
excision repair cross-complementing 5|excision repair cross complementation group 5|Y
American Society of Anesthesiology Grade III|American Society of Anaesthesiology status III|Y
adeno associated virus type 2|adeno-associated virus type 2|Y
Microtubule-associated protein 1A|microtubule associated protein-1a|Y
metabotropic glutamate receptor subtype 1|metabotropic glutamate 1 receptor|Y
Functional Disability Index|Facial Disability Index|N
peptide nucleic acid|polyamide nucleic acid|Y
aldehyde dehydrogenase class 1|aldehyde dehydrogenase 1|Y
regional oxygen extraction fraction|oxygen extraction fraction|N
whole body irradiation|whole breast irradiation|N
complement receptor 2|complement receptor type 2|Y
human leucocyte antigen B27|human lymphocyte antigen B-27|Y
standard drink unit|standard deviation unit|N
deoxyuridine|2'-deoxyuridine|Y
difluoromethylarginine|alpha-difluoromethylarginine|Y
p-hydroxymercuribenzoic acid|p-hydroxy-mercuribenzoate|N
myofibrillar adenosinetriphosphatase|myosin adenosinetriphosphatase|Y
dengue virus 3|dengue virus type 3|Y
maximal expiratory pressure|maximum expiratory pressure|Y
toll-like receptor-2|Toll-like receptor 2|Y
type 2 corticotrophin-releasing hormone receptor|corticotropin-releasing hormone receptor type 2|Y
damage-associated molecular pattern|danger-associated molecular pattern|Y
murine granulocyte macrophage colony stimulating factor|granulocyte-macrophage colony-stimulating factor|N
maximal Hoffmann reflex|maximum Hoffmann reflex|Y
Sphaeromyxa argentinensis|Spartina argentinensis|N
American Society of Anaesthesiologists grade III|American Society of Anesthesiologists Status 3|Y
hepatic artery embolisation|hepatic arterial embolisation|Y
cardiovascular magnetic resonance imaging|cardiovascular magnetic resonance|Y
human parainfluenza virus 2|human parainfluenza virus type 2|Y
gamma aminobutyric acidA|gamma-aminobutyric acid type-A|Y
knob associated histidine rich protein|knob-associated histidine-rich protein|Y
Fourier transform ion cyclotron resonance mass spectrometry|Fourier transform ion cyclotron resonance mass spectrometer|Y
quantitative structure mobility relationship|quantitative structure metabolism relationship|N
adipose-derived stem cell|adipose-derived stromal cell|Y
transforming growth factor type beta|transforming growth factor beta|Y
Anatomical Therapeutic Chemical Classification System|Anatomic Therapeutic Chemical Classification System|Y
aminoterminal pro-brain-type natriuretic peptide|N-terminal pro brain-type natriuretic peptide|Y
transforming growth factor beta 1|transforming growth factor-β(1)|Y
polyphosphate-accumulating organism|phosphate accumulating organism|Y
ischæmic heart disease|ischemic heart disease|Y
chronic restraint stress|cold restraint stress|N
femoral-popliteal|femoral popliteal|Y
maximal Hoffmann reflex|maximal H reflex|Y
acute myeloid leukemia|acute myeloid leukemic|Y
B lymphocyte kinase|B lymphoid kinase|Y
hyper-immunoglobulin D syndrome|hyperimmunoglobulinemia D syndrome|Y
muscarinic2 receptor|muscarinic M2 receptor|Y
TATA box binding protein|TATA binding protein|Y
leukocyte elastase|leucocyte esterase|N
American Society of Anesthesiologists Class 5|American Society of Anesthesiologists physical status 5|Y
flat panel volumetric computed tomography|flat-panel volume computed tomography|Y
pitt rogers danks syndrome|Pitt-Rogers-Danks syndrome|Y
heat shock protein 70|heat shock cognate 70|N
parainfluenza type 2 virus|parainfluenza virus 2|Y
colonic epithelial cell|ciliated epithelial cell|N
ectodysplasin A|ectodysplasin|Y
coded harmonic angiography|coded harmonic angio|Y
human adenovirus 30|human adenovirus type 30|Y
biphasic positive airway pressure|bilevel positive airway pressure|Y
pulse volume recording|pulse volume recorder|N
intra-arterial digital subtraction angiography|digital subtraction angiography|Y
auto-antibody|autoantibody|Y
early growth response-1 gene|early growth response 1|N
mouse tumor necrosis factor alpha|murine tumor necrosis factor alpha|Y
calcium adenosinetriphosphatase|calcium-activated adenosine triphosphatase|Y
converting enzyme inhibition|converting-enzyme inhibitor|N
venous thromboembolic disease|venous thrombo-embolic disease|Y
human immunodeficiency virus type I|human immunodeficiency virus 1|Y
nonlipodystrophic patient|nonlipodystrophic|Y
hematological malignancy|hematologic malignancy|Y
relapsing experimental autoimmune encephalomyelitis|relapsing experimental allergic encephalomyelitis|Y
near infrared fluorescent imaging|near-infra-red fluorescence imaging|Y
tropomyosin receptor kinase B|tyrosine receptor kinase B|Y
complementary determining region 3|third complementarity-determining region|Y
dopamine D2 receptor|dopamine type 2 receptor|Y
tissue culture infectious dose 50|50% tissue culture infectious dose|Y
fibroblast growth factor receptor 3 gene|fibroblast growth factor receptor 3|N
transforming growth factor beta type II receptor|type II transforming growth factor beta receptor|Y
subzonal sperm insertion|subzonal sperm injection|Y
cyclodextringlycosyltransferase|cyclodextrin glucanotransferase|Y
transforming growth factor beta receptor 1|transforming growth factor-beta receptor type I|Y
American Society of Anaesthesiologists physical status 3|American Society of Anesthesiologists Class III|Y
nonsmall cell lung cancer|nonsmall cell lung carcinoma|Y
magnetisation prepared rapid gradient echo|magnetisation prepared rapid gradient echo imaging|Y
enhanced green fluorescence protein|enhanced green fluorescent protein gene|N
cognitive failures questionnaire|Cognitive Failures Questionnaire|Y
acute infective endocarditis|active infective endocarditis|Y
carbamoylphosphate synthetase|carbamoylphosphate synthase|Y
rat proximal tubular cell|renal proximal tubular cell|N
Hospital Infection Control Practices Advisory Committee|Healthcare Infection Control Practices Advisory Committee|Y
nonoperative|non-operatively|Y
supravalvular aortic stenosis|supravalvar aortic stenosis|Y
left lower lobe|left lower lid|N
3-phosphoinositide-dependent protein kinase-1|phosphoinositide-dependent protein kinase-1|Y
scanning electron micrograph|scanning electron microscope|Y
complementary alternative medicine|complementary and alternative medical|Y
arginine insulin tolerance test|augmented insulin tolerance test|N
grade 2 cervical intraepithelial neoplasia|cervical intraepithelial neoplasia grade 2|Y
vesicoureteral reflux|vesico-ureteric reflux|Y
retinol binding protein|riboflavin binding protein|N
quantitative reverse transcriptase polymerase chain reaction|quantitative real time polymerase chain reaction|N
small ubiquitin-related modifier 2|small ubiquitin-like modifier 2|Y
tibial|tibia|Y
erythroid colony-forming cells|erythroid colony-forming cell|Y
human adenovirus 17|human adenovirus type 17|Y
common gamma chain|common γ chain|Y
proliferative rate index|proliferation rate index|Y
major breakpoint cluster region|major break-point cluster region|Y
aluminium oxide|aluminum oxide|Y
volume-weighted CT dose index|volume CT dose index|Y
mean corpuscular hemoglobin count|mean corpuscular hemoglobin concentration|Y
intraepithelial leucocyte|intraepithelial lymphocyte|N
sterol regulatory element-binding protein-1-a|sterol regulatory element binding protein 1a|Y
standardised incidence ratio|Standardized incidence ratios|Y
peak flow velocity|flow velocity|N
early growth response gene 1|early growth response 1|N
regeneration and tolerance factor|Regeneration and tolerance factor|Y
human adenovirus type 40|human adenovirus 40|Y
methyl-tert-butyl-ether|methyltertiarybutylether|Y
contrast enhancement|contrast enhanced|Y
auto-immune inner ear disease|autoimmune inner ear disease|Y
bone alkaline phosphatase|bone specific alkaline phosphatase|Y
epidermal-derived thymocyte-activating factor|Epidermal cell-derived thymocyte activating factor|Y
percutaneous mitral balloon valvotomy|percutaneous mitral valvotomy|Y
bovine adenovirus 3|bovine adenovirus type 3|Y
probability|probably|N
6-methoxybenzoxazolinone|methoxybenzoxazolinone|Y
human adenovirus 9|human adenovirus type 9|Y
bromovinyldeoxyuridine|bromovinyldesoxyuridine|Y
minimal bactericidal concentration|minimum bactericidal concentration|Y
cystic fibrosis transmembrane conductance regulator protein|CF transmembrane conductance regulator protein|Y
interleukin 7 receptor alpha|interleukin 7 receptor alpha chain|Y
5-bromo-2'-deoxyuridine triphosphate|bromo-deoxyuridine triphosphate|Y
lymphovascular space involvement|lympho-vascular space invasion|Y
transient receptor potential vanilloid receptor subtype 1|transient receptor potential vanilloid type 1 receptor|Y
ristocetin-induced platelet aggregation|ristocetin induced platelet aggregation|Y
rotation|rotational|Y
dichlorodiphenyldichloroethylene|dichlorodiphenyldichloroethene|Y
bromodomain containing protein 7|bromodomain-containing 7|Y
receiver operating characteristic curve|receiver operator characteristic|Y
A disintegrin and metalloproteinase 6|A disintegrin and metalloprotease-6|Y
auditory brainstem response|acoustic brainstem response|Y
activator protein 1 binding|activation protein 1 binding|Y
glucagonlike peptide 1|Glucagon-like peptide|Y
extracellular regulated kinase|Extracellular signal-regulated kinases|Y
interleukin 1|interleukin|Y
vitelline membrane outer layer protein I|vitelline membrane outer I protein|Y
hyper-eosinophilic syndrome|hyper-eosinophilia syndrome|Y
Kupperman Menopausal Index|Kupperman Menopause Index|Y
pattern reversal electroretinogram|pattern electroretinogram|Y
transactivation response DNA-binding protein 43|transactive response DNA-binding protein of 43 kDa|Y
RAS association domain family 1A|RAS association domain family protein 1A|Y
maximum H reflex|maximum Hoffmann reflex|Y
p-nitroanisole|p-nitroanilide|N
interleukin-1beta converting enzyme|interleukin converting enzyme|Y
reverse transcription polymerase chain reaction based assay|reverse transcriptase polymerase chain reaction based assay|Y
cholesteryl ester|cholesterol ester|Y
red man syndrome|rigid man syndrome|N
selective lymphnode dissection|sentinel lymphnode dissection|Y
factor-VIII pro-coagulant activity|factor VIII procoagulant activity|Y
premature chromatid separation|premature centromere separation|Y
receptor-like protein-tyrosine phosphatase-α|receptor protein tyrosine phosphatase alpha|Y
organophosphorus ester-induced delayed neurotoxicity|organophosphorus-induced delayed neurotoxicity|Y
polymyxin B immobilised fibre|polymyxin B-immobilized fiber|Y
corticosteroid|corticosterone|Y
sub-epicardial|epicardial|N
scoring atopic dermatitis index|scoring of atopic dermatitis|Y
micro-particle enzyme immunoassay|microparticle enzyme immunoassay|Y
single vessel disease|small vessel disease|N
modified Rankin scale|modified Rankin Scale score|Y
methylmercaptoimidazol|1-methyl-2-mercaptoimidazole|Y
Ran binding protein|RanGTP binding protein|Y
transcorneal electrical stimulation|trans-cutaneous electrical stimulation|N
Trail Making Test A|Trail Making Test-Part A|Y
myotonic dystrophy 1|myotonic dystrophy type 1|Y
computerized tomography|computed-tomography|Y
simian virus 40 virus|simian virus 40|Y
myocyte enhancer factor 2C|myocyte specific enhancer factor 2C|Y
American Society of Anaesthesiology grade II|American Society of Anaesthesiology physical status II|Y
outer membrane protein|outer membrane porin|N
metabotropic glutamate receptor subtype 3|metabotropic glutamate receptor 3|Y
live oral poliovirus vaccine|oral poliovirus vaccine|Y
antibody-dependent cell-mediated cytotoxicity|antibody dependent cellular cytotoxicity|Y
American Society of Anesthesiology physical status 5|American Society of Anesthesiology status 5|Y
rostroventromedial medulla|rostral ventromedial medulla|Y
dipalmitylphosphatidylcholine|dipalmitoylphosphatidylcholine|Y
activation protein 1|activated protein 1|Y
total hydrocarbon|total hydrocarbon content|Y
immunoglobulin G4-related systemic disease|immunoglobulin G4-related sclerosing disease|Y
superior venacaval obstruction|superior vena cava obstruction|Y
interleukine-13 receptor alpha1 subunit|interleukin-13 receptor alpha-1 chain|Y
antituberculous treatment|anti-tuberculosis treatment|Y
Response Evaluation Criteria in Solid Tumours|Response evaluation criteria in solid tumors|Y
pre-B cell receptor|preB cell receptor|Y
lysosome associated membrane protein-1|lysosomal associated membrane protein-1|Y
cytosine-phosphate-guanine island|cytosine-phosphate-guanosine island|Y
ortho-succinylbenzoate synthase|o-succinylbenzoate synthase|Y
magnetic resonance enterography|magnetic resonance elastography|N
loco-regional recurrence rate|locoregional recurrence|N
columnar epithelium|ciliary epithelium|N
organophosphorus ester-induced delayed neuropathy|organophosphate-induced delayed neurotoxicity|Y
carbon dioxide excretion|carbon dioxide production|N
polycystic ovarian syndrome|polycystic ovary syndrome|Y
extracranial-intracranial arterial bypass|extra-intracranial artery bypass|Y
short heterodimer partner|small heterodimer partner|Y
non-convulsive status epilepticus|nonconvulsive status epilepticus|Y
anterodorsal thalamic nucleus|anterodorsal thalami nuclei|Y
a disintegrin and metalloprotease 22|a disintegrin and metalloproteinase-22|Y
x-ray powder diffractometry|X-ray powder diffractometry|Y
American Society of Anaesthesiology physical status II|American Society of Anesthesiology class 2|Y
cochlear implantation|cochlear implant|Y
recombinant human erythropoietin|recombinant erythropoietin|Y
nonketotic hyperglycinemia|nonketotic hyperglycemia|N
glial derived neurotrophic factor|glial cell-line-derived neurotrophic factor|Y
cholesterol ester storage disease|cholesteryl ester storage disease|Y
Quality of Life in Reflux and Dyspepsia|Quality of Life in Reflux and Dyspepsia questionnaire|Y
sporadic olivopontocerebellar atrophy|sporadic olivo-ponto-cerebellar atrophy|Y
voltage dependent anion channel 1|voltage dependent anion selective channel 1|Y
measles immunoglobulin|malaria immunoglobulin|N
proliferation cell nuclear antigen|proliferative cell nuclear antigen|Y
intensity modulation radiotherapy|intensity-modulated radiotherapy|Y
American Society of Anaesthesiology class III|American Society of Anesthesiology status III|Y
aortic systolic pressure|area systolic pressure|N
intra-thoracic blood volume|intrathoracic blood volume|Y
hepatitis delta antigen|hepatitis D antigen|Y
neuropsychological|neuropsychologic|Y
electro-myographic|electro-myography|Y
monoglucosyldiglyceride|monogalactosyldiglyceride|N
maximal oxygen uptake|maximum oxygen uptake|Y
community health center|community health council|N
glycophosphatidylinositol|glycosylphosphatidylinositol|Y
tosylphenylalanine chloromethylketone|N-tosyl-l-phenylalanine-chloromethyl ketone|Y
receptor-linked protein-tyrosine-phosphatase alpha|receptor-like protein tyrosine phosphatase α|Y
a disintegrin and metalloprotease 12-S|a disintegrin and metalloproteinase 12s|Y
renovascular hypertensive rat|renal hypertensive rat|Y
tissue plasminogen activator antigen|tissue-type plasminogen activator antigen|Y
loss of righting reflex|loss of the righting reflex|Y
scavenger receptor A|scavenger receptor class A|Y
low frequency|very low frequency|N
monoamine oxidase A|monoamineoxidase|N
American Society of Anesthesiology grade 4|American Society of Anaesthesiologists grade IV|N
vascular endothelial growth factor|vascular endothelial growth factor165|N
non-transgenic|nontransgenic|Y
American Society of Anesthesiology Class III|American Society of Anaesthesiology status III|Y
quantitative computed tomography scan|quantitative computerised tomography scan|Y
recessive X-linked ichthyosis|recessive X-linked icthyosis|Y
varicella zoster immune globulin|varicella-zoster immuno-globulin|Y
interleukine-6 receptor α subunit|interleukin-6 receptor α chain|Y
assisted mechanical ventilation|assisted mandatory ventilation|N
proton transfer reaction mass spectrometry|proton transfer reaction mass spectrometer|Y
human papillomavirus 16E7|human papillomavirus type 16 E7|Y
maximum oxygen consumption|oxygen consumption|N
electron-probe micro-analysis|electron probe micro-analyser|N
linear IgA bullous dermatosis|linear IgA bullous disease|Y
acquired immunodeficiency syndrome|acquired immune deficiency syndrome|Y
5th cervical vertebra|cervical vertebra 5|Y
endoscopic retrograde choledochopancreatography|endoscopic retrograde pancreatography|N
surface electromyogram|surface electromyographic|Y
human adenovirus serotype 13|human adenovirus type 13|Y
insulin-like growth factor II mRNA binding protein 3|insulin-like growth factor-II messenger RNA-binding protein-3|Y
small ubiquitin-related modifier-2|small ubiquitin-like modifier-2|Y
indirect immunofluorescent antibody test|indirect fluorescent antibody test|Y
human chorionic gonadotropin beta subunit|human chorionic gonadotropin beta|Y
metatarso-phalangeal joint|metatarsal phalangeal joint|Y
melanoma chondroitin sulfate proteoglycan|melanoma-associated chondroitin sulphate proteoglycan|Y
triethylammonium phosphate|triethylamine phosphate|N
magnetisation prepared rapid gradient echo|magnetisation prepared rapid gradient echo sequence|Y
upper body obesity|upper body obese|Y
insulin-like growth factor-II messenger RNA-binding protein-2|insulin-like growth factor II mRNA binding protein-2|Y
matrix metalloproteinase 13|matrix metallopeptidase 13|Y
cancer stem cell|cancer stemlike cell|Y
medial basal hypothalamus|medio-basal hypothalamus|Y
antiinterleukin 1alpha monoclonal antibody|anti-IL 1alpha monoclonal antibody|Y
phytohaemagglutinin-P|phytohemagglutinin P|Y
American Prosthodontic Society|American Psychosomatic Society|N
microbiology|microbiological|Y
X-linked hypophosphatemia|X-linked hypophosphatemic rickets|Y
polyacrylate|polyacrylamide|N
familial juvenile nephronophthisis|familial juvenile nephrophthisis|Y
αthalassemia|thalassemia|N
CpG island methylation phenotype|CpG island methylator phenotype|Y
calcium activated neutral protease|calcium activated neutral proteinase|Y
coenzyme Q10|co-enzyme Q-10|Y
human adenovirus type 14|human adenovirus serotype 14|Y
extracellular water|extracellular|N
p-cresol methylhydroxylase|para-cresol methylhydroxylase|Y
multidrug resistance-associated protein|multidrug resistance protein 1|N
luteinizing hormone releasing hormone|luteinising hormone releasing hormone|Y
Dobrava virus|Dobrava hantavirus|Y
anti-idiotypic antibody|antiidiotypic antibody|Y
slipped capital femoral epiphysis|Slipped capital femoral epiphyses|Y
marmoset chorionic gonadotropin|monkey chorionic gonadotropin|N
angiotensin II receptor subtype 1|angiotensin II receptor type 1|Y
venous thromboembolic event|venous thromboembolism|Y
arylhydrocarbon receptor|aromatic hydrocarbon receptor|Y
growth arrest specific 7|growth arrest specific gene 7|N
subdural hæmatoma|subdural hematoma|Y
left main stenosis|left main stem|N
primed lymphocyte typing|primed lymphocyte testing|Y
citrate synthase|citrate synthetase|Y
nonprotein sulfhydryl|non-protein sulfhydryls|Y
histamine H(1)-receptor|histamine1 receptor|Y
non-tuberculous mycobacterium|nontuberculous mycobacteriosis|N
murine erythroleukemia cell|mouse erythroleukemia cell|Y
Fourier transform|Fourier transformation|Y
paroxysmal depolarising shift|paroxysmal depolarisation shift|Y
peritoneal dialysis effluent|peritoneal dialysate effluent|Y
human adenovirus type 32|human adenovirus serotype 32|Y
nipple areola complex|nipple areolar complex|Y
magnetic resonance angiography|magnetic resonance arthrography|Y
Solid-phase micro-extraction|solid phase micro-extraction|Y
proteinase activated receptor-1|protease-activated receptor-1|Y
postural hypotension|portal hypertension|N
steroid sensitive|steroid sensitivity|Y
human immunodeficiency virus type 1|human immunodeficiency virus 1|Y
musculoskeletal|musculo-skeletal|Y
human adenovirus type 5|human adenovirus 5|Y
chlorine|chloride|Y
arterio-sclerotic heart disease|athero-sclerotic heart disease|Y
recovery ratio|recovery room|N
Salmonella enterica serotype Paratyphi C|Salmonella enterica serovar Paratyphi C|Y
plasma amine oxidase|polyamine oxidase|N
St Louis encephalitis virus|Saint Louis encephalitis virus|Y
pigment-epithelium-derived factor|Pigment epithelium-derived factor|Y
American Society of Anesthesiology Class 2|American Society of Anaesthesiology status II|Y
cytochrome P450IID6|cytochrome P4502D6|Y
cholesterol crystal embolisation|cholesterol crystal embolism|Y
parathyroid hormone-like peptide|parathyroid hormone-like protein|Y
high mobility group box 1 protein|high mobility group box 1|Y
human cord serum|human fetal cord serum|Y
transmission electronmicrograph|transmission electron microscopy|N
adherent invasive E. coli|adherent invasive Escherichia coli|Y
American Society of Anesthesiology status V|American Society of Anesthesiologists class V|Y
paired box gene 2|paired box 2|N
macrophage activation factor|macrophage-activating factor|Y
galactosylceramidase|galactosylceramide|N
triple quadrupole mass spectrometry|triple quadrupole mass spectrometer|Y
IL2 receptor alpha chain|IL-2 receptor alpha|Y
luteinizing hormone releasing factor|luteinizing hormone-releasing factor|Y
human adenovirus B|human adenovirus type B|Y
near infrared fluorescent imaging|near infrared fluorescent|N
crypt cell production rate|crypt cell proliferation rate|Y
mandibular pain dysfunction syndrome|myofascial pain dysfunction syndrome|N
asialoorosomucoid|asialo-orosomucoid|Y
spinocerebellar ataxia|spinocerebellar ataxia 2|N
multigated acquisition|multi gated acquisition scan|Y
internal transcribed spacer|internal transcribed spacer region 1|N
glutamic acid diethylester|glutamatediethylester|N
small-for-date|small for dates|Y
interleukine-18 receptor-α|interleukin-18 receptor α chain|Y
fluoro-deoxyglucose positron emission tomography|fluorine-18 fluorodeoxyglucose positron emission tomography|Y
conserved helix-loop-helix ubiquitous kinase|conserved helix loop helix ubiquitous kinase|Y
anion exchange|anion exchanger|N
transient receptor potential vanilloid receptor type 2|transient receptor potential vanilloid receptor 2|Y
ataxia-telangiectasia mutated kinase|ataxia-telangiectasia-mutated protein|Y
doublesex and male abnormal-3 related transcription factor-1|doublesex and mab-3 related transcription factor 1|Y
sternocleidomastoid|sternocleidomastoid muscle|Y
Wistar Kyoto|Wistar Kyoto rat|Y
angiotensin receptor type 1|angiotensin II receptor 1|Y
intra-vesical pressure|intraventricular pressure|Y
vivo neutron activation analysis|in-vivo neutron activation analysis|Y
bile salt export protein|bile salt excretory protein|Y
portal venous pressure|portal vein pressure|Y
macrophage activation factor|macrophage agglutinating factor|N
HIV-associated neurocognitive disorder|HIV-1 associated neurocognitive disorder|Y
polysomnographic|polysomnography|Y
polymorphous light eruption|polymorphic light eruption|Y
uronic acid|uric acid|N
human adenovirus G|human adenovirus type G|Y
indirect fluorescent antibody test|immunofluorescent antibody test|N
nucleotide-binding site-leucine-rich repeat|nucleotide binding site-leucine rich repeat|Y
sick sinus syndrome|silent sinus syndrome|N
long interspersed nuclear element-1|long interspersed nucleotide element-1|Y
acyl-acyl carrier protein|acyl carrier protein|Y
N-terminal-pro-brain-type natriuretic peptide|N terminal probrain natriuretic peptide|Y
Cercis occidentalis|Culicoides occidentalis|N
thoracic vertebra 8|8th thoracic vertebra|Y
ouabain resistance|ouabain-resistant|Y
organophosphorus ester-induced delayed neurotoxicity|organophosphorus compound-induced delayed neurotoxicity|Y
ethylenediamine tetramethylene phosphonic acid|ethylenediaminetetramethylene phosphonate|Y
maximal breathing capacity|maximum breathing capacity|Y
atrial fibrillation|auricular fibrillation|Y
macromolecular creatine kinase type 2|macrocreatine kinase type 2|Y
glutamate receptor 1|glutamate receptor subunit 1|Y
American Society of Anesthesiologists Status 3|American Society of Anesthesiologists Class III|Y
chest radiography|chest radiograph|Y
pattern reversal visual evoked potential|pattern-reversal visual evoked potential|Y
organophosphate hydrolase|organophosphorus hydrolase|Y
galactofuranose|galactofuranosyl|N
dynamic susceptibility contrast magnetic resonance imaging|dynamic susceptibility contrast enhanced magnetic resonance imaging|Y
p-chloromercuriphenylsulfonate|p-chloromercuriphenylsulfonic acid|N
calcium activated adenosine triphosphatase|calcium adenosinetriphosphatase|Y
ubiquitin fusion degradation 1|ubiquitin fusion degradation protein 1|Y
American Society of Anesthesiologists grade IV|American Society of Anesthesiologists status IV|Y
grazing incidence X-ray diffraction|grazing-incidence X-ray diffraction|Y
Fourier transform mass spectrometry|Fourier transform mass spectrometer|Y
recombinant human tumor necrosis factor alpha|recombinant human tumour necrosis factor-α|Y
uroporphyrinogen synthetase|uroporphyrinogen I synthetase|N
capacitative Ca2+ entry|capacitative calcium entry|Y
computed tomographic angiography|computed tomography angiography|Y
arterio-venous|arteriovenous|Y
periodontic|periodontics|Y
oxoprolinase|5-oxo-L-prolinase|Y
dentadorubropallidoluysian atrophy|dentatorubro-pallidoluysian atrophy|Y
type II interleukin 1 receptor|interleukin 1 receptor 2|Y
osteopetrosis|osteoporosis|N
left ventricular weight|left ventricular wall|N
juvenile chronic myeloid leukemia|juvenile chronic myelogenous leukemia|Y
folylpolyglutamate synthase|folylpolyglutamate synthetase|Y
X linked agammaglobulinemia|x linked agammaglobulinemia|Y
hydroxyapatite ceramics|hydroxyapatite cement|N
wrist extension|wrist extensor|N
endobronchial ultrasonography|endo-bronchial ultrasound|Y
small nuclear ribonucleoprotein|small nuclear ribonucleoprotein particle|Y
precursor B acute lymphoblastic leukemia|pre B acute lymphoblastic leukemia|Y
reversal potential|current reversal potential|Y
alkyladenine DNA glycosylase|alkyladenine glycosylase|Y
gamma-amino-butyric acid type-A|gamma aminobutyric acidA|Y
Musculoskeletal Tumor Society|Musculoskeletal Tumor Society Score|N
fatty acyl ethyl ester synthase|fatty acid ethyl ester synthase|Y
insulinlike growth factor receptor type 1|insulin-like growth factor receptor-I|Y
symbol digit modalities test|Symbol Digit Modalities Test|Y
chromosomal region maintenance 1|chromosome region maintenance 1|Y
type 2 NADH dehydrogenase|type II NAD(P)H dehydrogenase|Y
Continuous positive airway pressure breathing|continuous positive airway pressure|Y
diffusion kurtosis imaging|diffusional kurtosis imaging|Y
hyper-branched polyester|hyper-branched polyglycerol|N
transforming growth factor beta receptor type 2|type II transforming growth factor-beta receptor|Y
functional spine unit|functional subunit|N
American Society of Anaesthesiologists status III|American Society of Anesthesiology Class 3|Y
plasminogen activator inhibitor type 1|plasminogen activator inhibitor 1|Y
liver esterase|pig liver esterase|N
net primary productivity|net primary production|Y
cerebrovascular resistance|coronary vascular resistance|N
postoperative|postoperatively|Y
telomere repeat binding factor|telomeric repeat binding factor|Y
neomycin resistance|neomycin resistance gene|Y
limb girdle muscular dystrophy 2A|limb girdle muscular dystrophy type 2A|Y
primary pulmonary hypertension|persistent pulmonary hypertension|N
human chorionic gonadotrophin β|human chorionic gonadotropin β-subunit|Y
parasitised red blood cell|packed red blood cell|N
ribulose-1,5-bisphosphate|ribulosebisphosphate|Y
post-transplantation lymphoproliferative disease|posttransplant lymphoproliferative disorder|Y
peroxyacetic acid|peracetic acid|Y
metabotropic glutamate receptor type 3 gene|metabotropic glutamate receptor 3|N
minimal lumen diameter|minimal luminal diameter|Y
idiopathic pneumonia syndrome|idiopathic postprandial syndrome|N
graft versus host|graft versus host disease|Y
neural cell adhesion molecule|neuronal cell adhesion molecule|Y
indirect immunofluorescence antibody test|immunofluorescent antibody test|N
intra-vaginal ejaculatory latency time|intravaginal ejaculation latency time|Y
antineutrophil cytoplasmic antibody|classic anti-neutrophil cytoplasmic antibody|N
paraventricular hypothalamic nucleus|paraventricular hypothalamus|Y
Raf kinase inhibitor protein|Raf kinase inhibitory protein|Y
interleucin 6|interleukin 6|Y
cysteine proteinase inhibitor|cysteine protease inhibitor|Y
phosphatidyl-N-monomethylaminoethanol|phosphatidyl-N-monomethylethanolamine|Y
metabotropic glutamate receptor type 4|metabotropic glutamate receptor 4|Y
complement|complement 3a|N
lateral cerebral ventricle|lateral cerebroventricle|Y
proliferating cell nuclear antigen labeling index|proliferating cell nuclear antigen-labeling index|Y
internal transcribed spacer region 1|internal transcribed spacer-1|Y
anti-lymphocyte globulin|antilymphocytic globulin|Y
short interval intracortical inhibition|short-interval intra-cortical inhibition|Y
nonmelanoma skin carcinoma|nonmelanoma skin cancer|Y
bromosulphthalein|bromsulfophthalein|Y
indirect immunofluorescence antibody test|indirect fluorescent antibody test|Y
ventricular ectopic|ventricular ectopy|Y
upstream activation sequence|upstream activation site|Y
laser Doppler velocimetry|laser Doppler velocimeter|Y
cerium trichloride|cerium chloride|Y
upper respiratory tract infection|upper respiratory infection|Y
Torpedo acetylcholine receptor|acetylcholine receptor|N
prepulse inhibition|paired pulse inhibition|N
enoyl coenzyme A hydratase short chain 1|enoyl-CoA hydratase short chain 1|Y
excision repair cross-complementing-group 4|excision repair cross complementation group 4|Y
DNA double strand break|double strand DNA break|Y
peroxidase-antiperoxidase|peroxidase-antiperoxidase complex|Y
high exposure|high explosive|N
human adenovirus type 50|human adenovirus 50|Y
mechanical ventilation|nocturnal mechanical ventilation|N
maximum motor response|maximal motor response|Y
