abbreviation	sense	variation	CUI	frequency
hcv	hepatitis c virus	HCV_22	c0220847	1
hd	hemodialysis	HD_7	c0019004	0.134
hd	hospital day	HD_4	c0587438	0.854
hd	high dose	HD_1	c0444956	0.012
hd2	hospital day 2	HD2_9|hd2_1	null	1
hdl	high density lipoprotein	HDL_14	c0023821	1
hds	hemodynamically stable	hds_2|HDS_14	c0578150	1
heent	"head, ears, eyes, nose and throat"	HEENT_15	c1512338	1
heme	hematology	heme_1|HEME_7|Heme_9	c1274119	1
hepb	hepatitis b	hepB_1|HepB_11	c0019163	1
hg	hemoglobin	Hg_5	c0019046	0.0394
hg	mercury	Hg_3|hg_1	c2347108	0.9576
hg	high grade	HG_1	c1962917	0.003
hgb	hemoglobin	Hgb_11|hgb_2|HGB_1	c0019046	1
hh	home health	HH_15	c1317851	0.986
hh	hereditary hemochromatosis	HH_2	c0392514	0.007
hh	hiatal hernia	HH_2	c3489393	0.007
hi	homicidal ideation	HI_7	c0455204	0.9455
hi	high	hi_3|Hi_1	c0205250	0.0545
hib	haemophilus influenzae type b	Hib_7|HiB_1|HIB_2	c0121772	1
hit	heparin-induced thrombocytopenia	HIT_6	c0272285	0.9206
hit	hyperinflation therapy	HIT_1	c0020449	0.0794
hiv	human immunodeficiency virus	HIV_20	c0019682	1
hld	hyperlipidemia	HLD_17	c0020473	1
hlhs	hypoplastic left heart syndrome	HLHS_18	c0152101	1
hn	high nitrogen	HN_9|hn_1	c1299351|c0028158	1
hosp	hospital	Hosp_1|hosp_485|hosp._1	c1510665	1
hpi	history of present illness	HPI_18	c0262512	1
hr	hour	hr_13	c0439227	0.512
hr	heart rate	HR_6	c0018810	0.486
hr	high risk	HR_1	c0332167	0.002
hrs	hours	hrs._1|hrs_18	c0439227	1
hs	at bedtime	HS_6|h.s_3|hs_5|h.s._4	c0521112	1
hsm	hepatosplenomegaly	hsm_1|HSM_18	c0019214	0.997
hsm	holosystolic murmur	HSM_1	c0232258	0.003
hsv	herpes simplex virus	HSV_20	c0206558	1
ht	height	ht_2|Ht_6	c0489786	0.9944
ht	hormone therapy	HT_1	c0279025	0.0056
htn	hypertension	HTN_19|htn_1	c0020538	1
hx	history	hx_13|Hx_4	c2004062	1
i	one (1)	I_4	c2827734|c0205447	0.6228
i	intake	I_1	c1512806	0.2105
i	i	i_1	c0021966	0.1053
i	iron	.I._1	c0302583	0.0263
i	in	I_1	null	0.0175
i	inspiration	I_1	c0004048	0.0175
i_o	intake/output	I/O_9|i/o_1	c0204708	1
i_os	intake/outputs	I/Os_8	c0204708	1
i_vi	grade 1 (out of 6) murmur	I/VI_10	c0232249	1
ibd	inflammatory bowel disease	ibd_1|IBD_12	c0021390	1
ibs	irritable bowel syndrome	IBS_20	c0022104	1
ica	internal carotid artery	ICA_21	c0007276	1
icd	implantable cardiac defibrillator	ICD_25	c0162589	0.982
icd	international classification of diseases	ICD_2	c0870733	0.018
icp	intracranial pressure	ICP_10	c0021880	1
icu	intensive care unit	icu_1|ICU_19	c0021708	1
id	infectious disease	ID_19|id_1	c0009450	1
iddm	insulin-dependent diabetes mellitus	IDDM_24	c0011854	1
iga	iga immunoglobulin	igA_1|IgA_19	c0020835	1
igg	immunoglobulin g	IgG_24|IGG_3	c0020852	1
ij	internal jugular	IJ_21	c1550269	1
il	intralipid	IL_9	c0733854	0.998
il	interleukin	IL_1	c0021764	0.002
im	intramuscular	I.M._1|im_4|IM_15	c0442117	0.917
im	internal medicine	IM_2	c0021782	0.03
im	intramedullary	IM_1	c2732619	0.053
inh	inhalational	INH_6|inh_10	c0004048|c0021461	0.985
inh	isoniazid	INH_4	c0022209	0.015
inj	injection	inj_16	c0021485	1
ino	inhaled nitric oxide	iNO_13|INO_3	c0004048|c0028128	1
inpt	inpatient	inpt._1|inpt_16|INPT_2|Inpt_1	c0021562	1
inr	international normalized ratio	inr_1|INR_19	c0525032	1
iop	intensive outpatient program	IOP_17	null	0.9942
iop	intraocular pressure	IOP_2	c0021888	0.0058
ip	inpatient	ip_2|Ip_1|IP_5	c0021562	0.5297
ip	intraperitoneal	IP_7	c0442120	0.4444
ip	interphalangeal	IP_1	c1563055	0.0155
ip	iliopsoas	IP_1	c0224417	0.0103
ipv	intrapulmonary percussive ventilation	ipv_2|IPV_5	c0993857	0.0596
ipv	inactivated polio vaccine	IPV_2	c0718003	0.9336
ipv	null	IPV_1	null	0.0069
ir	interventional radiology	IR_19	c0034602	0.9899
ir	insulin resistance	IR_1	c0021655	0.0025
ir	internal rotation	IR_1	c0231459	0.0076
itp	idiopathic thrombocytopenic purprua	ITP_19	c0043117	0.9773
itp	intrathecal pump	ITP_1	c2363953	0.0227
iu	international unit	iu_6|IU_5|iu._1	c0439453	1
iugr	intrauterine growth restriction	IUGR_20	c0015934	1
iv	intravenous	IV_11|iv_7	c0348016	0.9215
iv	4	IV_1	c0205450	0.0785
ivc	inferior vena cava	IVC_20	c1269024	1
ivf	intravenous fluid	IVF_182	c1289919	1
ivfs	intravenous fluids	ivfs_1|IVFs_19	c1289919	1
ivh	intraventricular hemorrhage	IVH_18	c0240059	1
ivig	intravenous immunoglobulin	IVIG_20|ivig_3	c0085297	1
j	jejunal	J_2|j_1	c0022378	0.9653
j	joules	J_1	c0439256	0.0139
j	jackson-pratt	J_1	c0204831	0.0208
j-tube	jejunostomy tube	J-Tube_1|J-tube_15|j-tube_4	c0879216	1
jp	jackson-pratt	jp_1|JP_10	c1272738	1
jvd	jugular venous distention	jvd_3|JVD_17	c0425687	1
jvp	jugular venous pressure	jvp_1|JVP_19	c0428897	1
k	potassium	K_8	c0032821	0.851
k	thousand	K_5|k_1	c1883310	0.0825
k	vitamin k	K_3	c0042878	0.0665
kcl	potassium chloride	KCl_9|KCL_7|kcl_4	c0032825	1
kg	kilogram	Kg_1|kg_154	c0439209	1
kgs	kilograms	kgs_10	c0439209	1
kub	"kidney, ureter, bladder"	KUB_128	c1979912	1
kubs	"kidney, ureter, bladder x-rays"	KUBs_14|.KUBs_1	c0203102	1
ky	kentucky	KY_18|Ky_1	c0022557	0.957
ky	ky	KY_1	null	0.043
l1	l1 (first lumbar vertebra)	l1_1|L1_7	c0223492	0.986
l1	1 live birth	L1_2	c0481667	0.014
l2	l2 (second lumbar vertebra)	L2_9	c0223507	0.97
l2	two living children	L2_5	c2229975|c0205448	0.03
l3	l3 (3rd lumbar vertebra)	L3_8	c0223522	0.538
l3	3 live births	L3_3	c0481667	0.462
l3-4	3rd lumbar vertebra to 4th lumbar vertebra	L3-4_9|l3-4_1	c0223537|c0223522	1
l4	l4 (lumbar vertebra 4)	L4_10	c0459940	1
l4-5	between l4 and l5 (4th lumbar vertebra and 5th lumbar vertebra)	L4-5_10	c0446436|c0446435|c0456744	1
l4-l5	l4 to l5 (4th lumbar vertebra to 5th lumbar vertebra)	L4-L5_11	c0223537|c0223552	1
l5	l5 (5th lumbar vertebra)	L5_10	c1305617	1
l5-s1	between l5 and s1 (fifth lumbar vertebra to first sacral vertebra)	L5-S1_10	c0223598|c0223552|c0456744	1
la	left atrium	LA_7	c1269894	0.8534
la	left atrial	LA_4	c0225860	0.1145
la	lactic acid	LA_1	c0064582	0.0237
la	los angeles	LA_1	c0024015	0.0084
lab	laboratory	lab_14|LAB_2|Lab_5	c0022877	1
lac	laceration	lac_12|Lac_4	c0043246	0.285
lac	lactate	LAC_3	c0022924	0.713
lac	lupus anticoagulant	LAC_1	c1142517	0.002
lad	left anterior descending	LAD_19	c0226032	0.972
lad	lymphadenopathy	LAD_2	c0497156	0.028
lb	pound	lb_116	c0439219	1
lbbb	left bundle branch block	LBBB_20	c0023211	1
lbs	pounds	lbs_15	c0439219	1
lcx	left circumflex	LCx_5|LCX_15	c1305727	1
ldh	lactate dehydrogenase	ldh_2|LDH_18	c0022917	1
ldl	low density lipoprotein	LDL_20	c0023823	1
le	lower extremity	LE_13	c0023216	0.9785
le	leukocyte esterase	LE_3	c0125619	0.0215
lft	liver function test	LFT_9|lft_3	c0023901	1
lfts	liver function tests	LFTs_20	c0023901	1
lhc	left heart catheterization	.LHC_1|LHC_22	c0189897	1
lima	left internal mammary artery	LIMA_20	c0447054	1
lle	left lower extremity	lle_1|LLE_19	c0230416	1
lll	left lower lobe	LLL_14	c1261077	0.9976
lll	left lower lid	LLL_1	null	0.0024
llq	left lower quadrant	LLQ_20	c0439737	1
llsb	left lower sternal border	LLSB_10	c1268245|c0205091	1
lm	left main (coronary artery)	LM_18|.LM_1	c0226031	1
lp	lumbar puncture	LP_20	c0037943	1
lpa	left pulmonary artery	LPA_20	c0923925	1
lpm	liters per minute	LPM_15|lpm_5	c0439393	1
lsb	lower sternal border	LSB_13	c1268245	1
lt	left	lt_5|Lt_19|LT_2	c0205091	0.92
lt	light	LT_2	c1306462	0.0595
lt	liter	lt_1	c0475211	0.0205
lul	left upper lobe	LUL_20	c1261076	1
lusb	left upper sternal border	LUSB_15	c1268243|c0205091	1
luts	lower urinary tract symptoms	LUTS_13	c0574785	1
lv	left ventricular	LV_614	c0225897	1
lvedp	left ventricular end diastolic pressure	LVEDP_18	c0456190	1
lvef	left ventricular ejection fraction	LVEF_20	c0428772	1
lvh	left ventricular hypertrophy	LVH_23	c0149721	1
lvq	levaquin	lvq_1|LVQ_16	c0721336	1
lym	lymph nodes	LYM_4	c0024204	0.03
lym	lymphocytes	Lym_3	c0024264	0.97
lympab	absolute lymphocyte count	LYMPAB_3	c0200635	1
lympre	lymphocytes	LYMPRE_3	c0024264	1
m_g_r	"murmurs, gallops, rubs"	m/g/r_9|M/G/R_1	c0018808|c0232267|c0232200	1
m_r_g	"murmurs, rubs, gallops"	m/r/g_11|M/R/G_2	c0018808|c0232267|c0232200	1
mac	mycobacterium avium complex	MAC_111	c0026914	0.9537
mac	multi-lumen access catheters	MAC_2	c1301832|c1301750	0.0109
mac	macular	Mac_1	c0332574	0.0082
mac	mitral annular calcification	MAC_1	c0746592	0.0163
mac	macrobid	Mac_1	c0591750	0.0109
maew	moves all extremities well	maew_2|MAEW_8	c0205307|c0586175	1
mag	magnesium	Mag_8|mag_11	c0024467	0.9857
mag	magnesia	Mag_1	c0024477	0.0143
mb	creatine phosphokinase mb isoenzyme	MB_7	c0010290	0.9801
mb	megabase	MB_1	c1533164	0.0133
mb	minimally bloody	MB_1	c0333275|c0750482	0.0066
mbrat	mb ratio	MBRat_2	c0010290	1
mbt	maternal blood type	MBT_9	c2114064	1
mca	middle cerebral artery	Mca_1|MCA_19	c0149566	1
mce	medical center east (vanderbilt)	mce_7	null	1
mcg	microgram	mcg_22	c0439211	1
mch	mean cell hemoglobin	MCH_6	c1277704	1
mchc	mean corpuscular hemoglobin concentration	MCHC_6	c0474535	1
mcv	mean corpuscular volume	MCV_9	c0524587	1
md	md	MD_3|M.D_7	c1512018	1
mdi	metered dose inhaler	MDI_13|mdi_4	c0993596	1
mds	myelodysplastic syndrome	MDS_3	c0026986	0.038
mds	medical doctor	MDs_2	c0031831	0.962
meds	medications	meds_17|Meds_2|MEDS_1	c0013227	1
meq	milliequivalents	mEq_8|meq_11	c0439152	1
meq_l	milliequivalents per liter	mEq/L_8|mEQ/L_1|MEQ/L_1|meq/l_1	c0439375	1
mg	milligram	mg_20	c0439210	1
mgr	"murmurs, gallops, rubs"	mgr_5|MGR_7	c0018808|c0232267|c0232200	1
mi	myocardial infarction	MI_23	c0027051	1
micu	medical intensive care unit	MICU_18	c2711734	1
mivf	maintenance intravenous fluids	mivf_1|mIVF_1|MIVF_17|Mivf_1	c0559692	1
mivfs	maintenance intravenous fluids	MIVFs_10|mIVFs_2|MIVFS_1	c1289919|c0024501	1
ml	milliliter	ml_20|mL_6	c0439242	1
mm	millimeter	mm_19	c0439200	0.996
mm	mucous membrane	MM_1	c0026724	0.004
mmhg	millimeters of mercury	mmHg_18|mmhg_2	c0439475	1
mmse	mini-mental state examination	..MMSE_1|MMSE_11	c0451306	1
mo	month	mo_142	c0439231	0.9337
mo	month old	mo_1	c1510828	0.0241
mo	mouth	mo_1	c0226896	0.0422
mom	mother	mom_51|Mom_8	c0026591	0.951
mom	milk of magnesia	mom_2	c0591789	0.049
mon	monday	Mon._1|Mon_17|MON_2	c0585024	1
monoab	absolute monocyte count	MONOAB_3	c0200637	1
monore	monocytes	MONORE_2	c0026473	1
mos	months	mos_18	c0439231	1
mr	mister	MR_1|Mr_5	c2347167	0.3305
mr	medical record	MR_2	c0025102	0.6621
mr	medical receptionist	mr_1	c0025099	0.0043
mr	mental retardation	MR_1	c0025362	0.0032
mra	magnetic resonance angiography	MRA_611	c0243032	1
mrg	"murmurs, rubs, gallops"	MRG_9|mrg_1	c0018808|c0232267|c0232200	1
mri	magnetic resonance imaging	Mri_2|MRI_16|mri_1	c0024485	1
mrn	medical record number	MRN_5	c1301894	1
mrs	mrs.	Mrs_10	c2349188	1
mrsa	methicillin resistant staphylococcus aureus	MRSA_318	c1265292	1
ms	ms.	MS_1|Ms_5	c2349943	0.9895
ms	mental status	MS_1	c0278060	0.0084
ms	milliseconds	ms_1	c0439223	0.0021
msec	milliseconds	msec_16	c0439223	1
msite	sample site	MSITE_10	c0449425	1
msk	musculoskeletal	msk_2|MSK_17|.MSK_1	c0497254	1
msn	master of science in nursing	MSN_10	c1549983	1
mssa	methicillin sensitive staphylococcus aureus	MSSA_20	c1635274	1
mtmc	middle tennessee medical center	MTMC_13	null	1
mtmhi	middle tennessee mental health institute	MTMHI_13	null	1
mtx	methotrexate	MTX_24|mtx_1|Mtx_1	c0025677	1
muga	multi gated acquisition scan	muga_1|MUGA_15	c0521317	1
mv	mitral valve	mv_1|MV_19	c0026264	0.875
mv	multivitamin	MV_1|M.V_2	c0301532	0.097
mv	mechanical ventilation	MV_11	c0199470	0.028
mva	motor vehicle accident	MVA_21	c0000932	0.8714
mva	mitral valve annulus	MVA_1	c0225947	0.1286
mvc	motor vehicle crash	MVC_20	c0337197	1
mvi	multivitamin	MVI_10|mvi_10	c0301532	1
mwf	"monday, wednesday, friday"	MWF_18|mwf_3	c0585029|c0585027|c0585024	1
n_a	not applicable	N/A_9|n/a_15	c1272460	1
n_v	nausea/vomiting	N/V_13|n/v_8	c0027498	0.99
n_v	neurovascular	n/v_1	c1171207	0.01
na	sodium	Na_8|na_2	c0037473	0.9711
na	narcotics anonymous	NA_1|N.A._1	c0870936	0.0289
nabs	normal active bowel sounds	nabs_2|NAbs_1|NABS_16|NABS._1	c0278005	1
nad	no apparent distress	NAD_20	c0231303|c0750489|c1518422	1
nbnb	non-bilious	NBNB_10	null	1
nc	nasal cannula	NC_17|nc_3	c0179574	1
ncat	normocephalic atraumatic	ncat_1|NCAT_9	null	1
ncpap	nasal continuous positive airway pressure	NCPAP_20	c1258045	1
nd	non-distended	nd_1|ND_7	c0700124|c1518422	0.9929
nd	neodymium	Nd_1	c0027599	0.0071
neb	nebulizer	Neb_4|neb_14|Neb._1	c0027524	1
nebs	nebulization	nebs_20	c1659427	1
nec	necrotizing enterocolitis	NEC_23|nec_1	c0520459	0.9896
nec	not elsewhere classified	NEC_2	c0008902|c1518422	0.0104
neg	negative	Neg_4|NEG_3|neg_13	c0205160	1
neut	neutrophils	Neut_4|neut_2	c0027950	1
neutab	absolute neutrophil count	NEUTAB_2	c0948762	1
neutre	neutrophil	NEUTRE_2	c0027950	1
ng	nasogastric	ng_1|NG_7	c3282907	0.811
ng	nasogastric tube	NG_1|ng_6	c0812428	0.045
ng	nanograms	ng_4	c0439212	0.142
ng	no growth	ng_1	c0445119	0.002
ngt	nasogastric tube	NGT_19|ngt_1	c0085678	1
ngtd	negative to date	NGTD_17|ngtd_1	c1948052|c0332197|c1720302	1
nhc	national healthcare corporation	nhc_1|NHC_19	null	1
nibp	non-invasive blood pressure	NIBP_5	c0428889	1
nicu	neonatal intensive care unit	NICU_20	c0021709	1
nj	nasojejunal	NJ_15|nj_2	c0595833	1
nka	no known allergies	NKA_2|NkA_1|nka_5	c0262580	1
nkda	no known drug allergies	NKDA_9|Nkda_1	c0262581	1
nl	normal	Nl_4|nl_15|NL_1	c0205307	1
nml	normal	nml_19|Nml_1	c0205307	1
nos	not otherwise specified	nos_3|NOS_17	c1518425	1
np	nurse practitioner	NP_12|np_2|Np_1|N.P_1	c0028657	0.997
np	npo - nothing by mouth	N.p_1	c0419179	0.003
nph	neutral protamine hagedorn	nph_3|NPH_10	c0021658	0.973
nph	normal pressure hydrocephalus	NPH_4	c0020258	0.027
npo	nothing by moouth	NPO_17|n.p.o._1|n.p.o_1|npo_1	c0419179	1
nr	no refill	nr_2|NR_1	c1548266	0.0081
nr	non-reactive	NR_3	c1295728	0.8896
nr	normal rate	NR_2	null	0.1023
nrbc	nucleated red blood cells	NRBC_10	c0014762	1
ns	normal saline	NS_12|ns_6	c0445115	0.998
ns	nasal spray	NS_1	c0461725	0.002
nsaid	non-steroidal anti-inflammatory drug	NSAID_9|.NSAID_1	c0003211	1
nsclc	non small cell lung carcinoma	NSCLC_20	c0007131	1
nsgy	neurosurgery	NSGY_15|Nsgy_1|nsgy_4	c0027926	1
nsr	normal sinus rhythm	NSR_19|nsr_1	c0232202	1
nstemi	non-st segment elevation myocardial infarction	NSTEMI_20	c1536221	1
nt	non-tender	nt_2|NT_9	c0520960	0.995
nt	nephrostomy tube	NT_1	c0184149	0.002
nt	nasotracheal	NT_1	c1550284	0.003
ntabs	absolute neutrophils	NtAbs_5	c0948762	1
ntg	nitroglycerin	ntg_6|NTG_14	c0017887	1
ntnd	"non-tender, non-distended"	ntnd_4|NTND_9	c0700124|c0205160|c0520960	1
nwb	non weight bearing	nwb_5|NWB_5	c0445100	1
o	o (blood type)	O_4	c0427625	0.317
o	old	.o._1|.o_1	c0580836	0.0112
o	oriented	O_2	c1704322	0.3576
o	ova	O_2	c0029974	0.0547
o	outs	O_1	c0439787	0.1781
o	degrees	o_1	c0449286	0.0813
o2	oxygen	O2_15|o2_1	c0030054	1
o2sat	oxygen saturation	O2Sat_9	c0369768	1
oa	osteoarthritis	OA_19	c0029408	0.9833
oa	orotic acid	OA_1	c0029300	0.0167
ob	obstetric	OB_47|ob_1	c0205484	0.6712
ob	obstetrician	OB_6|Ob_1	c0334897	0.3288
od	oculus dexter (right eye)	OD_25|OD._1|od_5	c1305216	0.9706
od	overdose	OD_2	c0029944	0.0294
odt	oral disintegrating tablet	ODT_10	c1252744	1
ofc	occipitofrontal circumference	OFC_4	c0262499	1
oint	ointment	Oint_2|oint_8	c0028912	1
om	obtuse marginal artery	OM_12	c0226040	0.9134
om	otitis media	OM_6	c0029882	0.0825
om	oral mucosa	OM_1	c0026639	0.0041
om1	first obtuse marginal	OM1_9	c0447060	1
om2	second obtuse marginal artery	OM2_9|om2_1	c0447061	1
omfs	oral and maxillofacial surgery	OMFS_19|omfs_1	c0812928	1
onc	oncology	ONC_3|Onc_5|onc_9	c0278627	1
oob	out of bed	oob_3|OOB_11	c2987219	1
op	outpatient	OP_1|op_6	c0029921	0.1508
op	oropharynx	OP_6	c1280659	0.3947
op	operative	OP_1|op_2	c1882154	0.0192
op	oropharyngeal	OP_1	c0521367	0.002
op	operation	op_1	c0543467	0.4332
orif	open reduction with internal fixation	ORIF_23	c1297885	1
os	oculus sinister (left eye)	os_4|OS_19	c0229090	0.2865
os	os	os_6	c0262950	0.4983
os	outputs	os_1|Os_3	c0221102	0.2029
os	outs	Os_1	null	0.0123
osa	obstructive sleep apnea	OSA_20	c0520679	1
osh	outside hospital	OSH_18	c0205101	1
ot	occupational therapy	OT_9|ot_1	c1318464	1
otc	over-the-counter	otc_8|OTC_12	c0013231	1
otu	outpatient treatment unit	OTU_14|Otu_1|otu_2	c0179857	1
outpt	outpatient	outpt._1|outpt_12|Outpt_1	c0029921	1
p	pulse	P_3	c0232117	0.6247
p	para	P_1	c0030563	0.0245
p	pregnancies	P_1	c0032961	0.021
p	parasite	P_1	c0030498	0.0128
p	posterior	P_1	c0205095	0.007
p	presentation	P_1	c0449450	0.3007
p	pm (afternoon)	p_1	c0439550	0.0093
p1	one pregnancy	P1_5	c0033150	0.9558
p1	proximal phalanx	P1_3	c0576462	0.0442
p2	para 2 (2 deliveries)	P2_7	c0233071	1
pa	pulmonary artery	PA_13	c1269026	0.6502
pa	posteroanterior	PA_3	c2827725	0.333
pa	prior authorization	pa_1	null	0.0021
pa	physicians assistant	PA_1	c0031833	0.0148
pac	pulmonary artery catheter	PAC_8	c0179790	0.1044
pac	premature atrial contraction	PAC_5	c0033036	0.6734
pac	pediatric acute care	PAC_3|Pac_1	c1689990	0.2155
pac	paroxysmal atrial contractions	PAC_1	c0741292	0.0067
pacc	primary ambulatory care center	PACC_20	c1552793	1
pacu	post anesthesia care unit	PACU_10	c0034871	1
pat-pt	prothrombin time	Pat-PT_5	c0033707	1
pc02-v	pco2 venous (carbon dioxide partial pressure)	pC02-V_10	c0201931	1
pca	patient controlled analgesia	pca_2|PCA_13	c0078944	0.738
pca	post conceptual age	PCA_3	c2963526	0.251
pca	posterior cerebral artery	PCA_2	c1269013	0.011
pccu	pediatric critical care unit	pccu_1|PCCU_13	c0021710	1
pci	percutaneous coronary intervention	PCI_20	c1532338	1
pcn	penicillin	pcn_4|PCN_16	c0220892	1
pco2	partial pressure of carbon dioxide	PCO2_3|pCO2_10|PCo2_1	c0391839	1
pcp	primary care physician	PCP_17|Pcp_1	c0033131	0.986
pcp	phencyclidine	PCP_1	c0031381	0.006
pcp	pneumocystis pneumonia	PCP_1	c0032305	0.008
pcr	polymerase chain reaction	PCR_17|pcr_3	c0032520	1
pcv	packed cell volume	PCV_17|PCv_1|pcv_1	c0018935	1
pcvs	packed cell volumes	PCVs_91	c0018935	1
pcwp	pulmonary capillary wedge pressure	PCWP_11	c0086879	1
pd	peritoneal dialysis	PD_14|pd_3	c0031139	0.9741
pd	pharmacodynamic	PD_1	c0851347	0.0083
pd	posterior descending	PD_1	c0205095|c1547177	0.0083
pd	parkinsons disease	PD_1	c0030567	0.0073
pd	glucose-6-phosphate dehydrogenase	PD_1	c0017757	0.0021
pda	patent ductus arteriosus	PDA_123	c0013274	0.894
pda	posterior descending artery	PDA_14	c0500492	0.106
pe	pulmonary embolus	PE_101	c0034065	0.8427
pe	physical exam	PE_8	c0031809	0.1513
pe	pressure equalization	PE_1	null	0.004
pe	physical education	PE_1	c0031805	0.002
ped	pediatrician	Ped_1|ped_131	c0237433	0.9965
ped	pedestrian	ped_1	c0450063	0.0035
peds	pediatric	Peds_15|peds_11	c0030755	1
peg	percutaneous endoscopic gastrostomy	PEG_10|peg_2	c0176751	1
perrl	"pupils equal, round, reactive to light"	perrl_1|PERRL_18	c1642390	1
perrla	pupils equally round and reactive to light and accommodation	perrla_1|PERRLA_19	c1270988	1
pet	positron emission tomography	PET_16|pet_1	c0032743	1
pfo	patent foramen ovale	PFO_20	c0016522	1
pft	pulmonary function test	.PFT_1|..PFT_1|PFT_8|pft_1	c0024119	1
pfts	pulmonary function tests	PFTs_19|PFTS_1	c0024119	1
ph	ph	Ph_1|pH_1	c1304686	0.9528
ph	past history	PH_1	c0332119	0.0283
ph	phone	ph_1	c1515258	0.0189
ph-ven	ph venous	pH-Ven_6	c2097160	1
phos	phosphate	Phos_9|phos_9|PHOS_1	c0031603	1
phv	psychiatric hospital at vanderbilt	PHV_20	null	1
picc	peripherally inserted central catheter	Picc_1|PICC_15	c0179740	1
picu	pediatric intensive care unit	PICU_15	c0021710	1
piv	peripheral intravenous	piv_1|PIV_19	c0595824	1
pkt	packet	pkt_10	c1337567	1
plt	platelet	plt_39|Plt_15|PLT_2	c0005821	1
plt-ct	platelet count	Plt-Ct_6	c1287267	1
plts	platelets	plts_12|Plts_5|PLTS_3	c0005821	1
pm	pm (afternoon)	pm_5|p.m_1|PM_4	c0439550	1
pmd	primary medical doctor	PMD_10	c0031831|c0205225	1
pmh	past medical history	pmh_1|PMH_15	c0455458	1
pmhx	past medical history	PMHx_16|PMHX_1|pmhx_3	c0455458	1
pmi	point of maximum impulse	PMI_9	c0425601	0.9973
pmi	posterior myocardial infarction	PMI_1	c0232322	0.0027
pna	pneumonia	PNA_16|pna_4	c0032285	1
pnd	paroxysmal nocturnal dyspnea	PND_10	c0013405	1
po	per os (by mouth)	po_9|p.o._7|p.o_1|PO_3	c1527415	1
pod	postoperative day	pod_1|POD_9	c0032790|c0439228	1
pod1	postoperative day 1	pod1_1|POD1_9	c0032790	1
pod2	postoperative day 2	POD2_10	c0032790|c1442455	1
pod3	postoperative day 3	POD3_6	c0032790	1
pos	positive	.pos_1|POS_4|pos_17	c1446409	1
ppd	purified protein derivative	PPD_14	c0034131	0.8628
ppd	packs per day	ppd_6	c0750582	0.1372
ppi	proton pump inhibitor	PPI_18|ppi_2	c0358591	1
pps	peripheral pulmonary stenosis	PPS_16|pps_1	c1855624	1
ppv	positive pressure ventilation	PPV_20	c0021778	1
ppx	prophylaxis	ppx_17|PPx_1|PPX_2	c0033107	1
pr	per rectum	pr_7|PR_4	c1527425	0.9145
pr	pr interval (ekg)	PR_5	c0520877	0.0458
pr	pulmonary regurgitation	PR_1	c0034088	0.0132
pr	progesterone receptor	PR_1	c0034833	0.0265
pra	plasma renin activity	Pra_1|PRA_7	c0428352	0.9495
pra	panel reactive antibody	PRA_3|pra_1	c1141951	0.0505
prbc	packed red blood cell	PRBC_62|pRBC_2	c2316467	1
prbcs	packed red blood cells	PRBCs_12|pRBCs_3	c2316467	1
pre-op	pre-operative	pre-op_153|Pre-OP_1|Pre-op_1	c0445204	1
preop	pre-operative	preop_82|Preop_10	c0445204	1
prn	pro re nata	p.r.n_1|PRN_1|p.r.n._5|prn_13	c1883728	1
ps	pulmonary stenosis	PS_11	c1956257	0.733
ps	pressure support	PS_4	c0419008	0.1991
ps	performance status	PS_2	c1518965	0.0234
ps	pseudomonas	Ps_2	c0033808	0.0328
ps	photic stimulation	PS_1	c0031734	0.0117
psa	prostate specific antigen	psa_1|PSA_15	c0138741	1
psych	psychiatry	psych_25|Psych_19|PSYCH_3	c0033872	1
pt	patient	pt._1|pt_8|Pt_5	c0030705	0.9377
pt	physical therapy	PT_2	c0949766	0.0543
pt	prothrombin time	PT_2	c0033707	0.006
pt	posterior tibialis	PT_1	c0224463	0.002
pt-inr	international normalized ratio	PT-inr_3	c0525032	1
pta	percutaneous transluminal angioplasty	pta_1|PTA_8	c2936666	0.051
pta	prior to admission	PTA_4|pta_4	c0559269	0.949
ptca	percutaneous transluminal coronary angioplasty	PTCA_20	c2936173	1
ptd	prior to delivery	ptd_1|PTD_9	c0747969	0.988
ptd	post-transplant day	PTD_1	c0439228|c0687676|c0332835	0.012
pth	parathyroid hormone	PTH_12	c0030520	1
ptl	preterm labor	PTL_20	c0022876	1
pts	patient's	pts_11|Pts_5	c0030705|c1546511	0.0693
pts	patients	pts_2	c0030705	0.9224
pts	posterior tibial	PTs_1	c0205095|c1279118	0.0083
ptsd	post-traumatic stress disorder	PTSD_20	c0038436	1
ptt	partial thromboplastin time	ptt_1|PTT_18|Ptt_1	c0030605	1
ptt-pt	"partial thromboplastin time, prothrombin time"	PTT-pt_6	c0030605|c0033707	1
ptx	pneumothorax	Ptx_1|PTX_10|ptx_9	c0032326	1
pud	peptic ulcer disease	PUD_20	c0030920	1
puf	puff	puf_10	c1533107	1
pulm	pulmonary	Pulm_12|PULM_7|pulm_5	c0024109	1
pvcs	premature ventricular contractions	PVCS_2|PVCs_18	c0151636	1
pvd	peripheral vascular disease	PVD_24	c0085096	1
pvl	periventricular leukomalacia	PVL_13	c0023529	1
pvs	poly-vi-sol	PVS_8|pvs_1|PVs_1	c0722688	1
pxr	pelvic x-ray	PXR_9|Pxr_2	c0554740	1
q	quaque (every)	q_13|Q_1|q._2	c1948061	0.977
q	quality	Q_1	c0332306	0.006
