"abr","long_form"
"ECHO","echocardiogram"
"ECHO","enteric cytopathic human orphan virus"
"ECI","febris e causa ignota"
"ECI","fever of unknown origin"
"ECLS","extracorporeal life support"
"ECMO","extracorporeal membrane oxygenation"
"ECP","emergency care practitioner"
"ECT","electroconvulsive therapy"
"ECTR","endoscopic carpal tunnel release"
"ED","emergency department"
"ED","erectile dysfunction"
"ED","ectodermal dysplasia"
"EDC","estimated date of confinement"
"EDD","estimated date of delivery"
"EDD","expected date of delivery"
"EDD","estimated date of discharge"
"EDF","end diastolic flow"
"EDH","epidural hematoma"
"EDM","esophageal Doppler monitor"
"EDRF","endothelium-derived relaxing factor"
"EDTA","ethylene-diamine-tetraacetic acid"
"EDS","Ehlers-Danlos syndrome"
"EDV","end-diastolic volume"
"EEE","eastern equine encephalitis"
"EEG","electroencephalogram"
"EENT","ears, eyes, nose, throat"
"EEX","electrodiagnosis"
"EF","ejection fraction"
"EFM","electronic fetal monitoring"
"EFM","external fetal monitoring"
"EFS","event-free survival"
"EFW","estimated fetal weight"
"EGBUS","external genitalia, Bartholin's glands, urethra & Skene's glands"
"EGD","esophagogastroduodenoscopy"
"EGF","epidermal growth factor"
"EGPA","eosinophilic granulomatosis with polyangiitis"
"EHEC","enterohemorrhagic Escherichia coli"
"EIEC","enteroinvasive Escherichia coli"
"EIA","external iliac artery External iliac artery"
"EJ","elbow jerk"
"EKG","electrocardiogram"
"ELLSCS","elective lower segment caesarean section"
"ELISA","enzyme-linked immunosorbent assay"
"EM","erythema multiforme"
"EMB","ethambutol"
"EMB","endometrial biopsy"
"EMB","endomyocardial biopsy"
"EmBx","endometrial biopsy"
"EMC","encephalomyocarditis"
"EMD","early morning discovery"
"EMD","electromechanical dissociation"
"EMDEX","essential medicines index"
"EMF","endomyocardial fibrosis"
"EMG","electromyography"
"EMLSCS","emergency lower segment Caesarean section"
"EMU","early morning urine sample"
"Emul","emulsion"
"ENT","ear, nose, and throat"
"EOB","edge of bed"
"EoL","End-of-life"
"EoLC","End-of-life care"
"EOM","extraocular muscles"
"EOMI","extraocular movements intact"
"EPCT","estrogen-progesterone challenge test"
"EPEC","enteropathogenic Escherichia coli"
"EPH","edema, proteinuria, hypertension"
"EPO","erythropoietin"
"EPS","electrophysiology"
"EPS","extrapyramidal syndromes"
"ER","emergency room"
"ERCP","endoscopic retrograde cholangiopancreatography"
"ERM","epiretinal membrane"
"ERMS","embryonal rhabdomyosarcoma"
"ESA","erythropoiesis-stimulating agent"
"ESHAP","etoposide, cisplatin, cytarabine, methylprednisolone"
"ESL","extracorporeal shockwave lithotripsy"
"ESL","English as a second language"
"ESBL","extended spectrum beta-lactamase"
"ESM","ejection systolic murmur"
"ESR","erythrocyte sedimentation rate"
"ESRD","end-stage renal disease"
"ESS","empty sella syndrome"
"ESS","enhanced support service"
"EST","endodermal sinus tumor"
"ESV","end-systolic volume"
"ESWL","extracorporeal shockwave lithotripsy"
"ET","endothelin"
"ET","endotracheal"
"ETEC","enterotoxigenic Escherichia coli"
"Etiol","etiology"
"ETOH","ethanol"
"ETS","endoscopic thoracic sympathectomy"
"ETT","endotracheal tube"
"EUA","examination under anesthesia"
"EUP","extrauterine pregnancy"
"EUS","endoscopic ultrasonography"
"EVAR","endovascular aneurysm repair"
"EVF","erythrocyte volume fraction"
"Exam","examination"
"Exp Lap","exploratory laparotomy"
"Ext","extremities"
"FA","Fanconi anemia"
"FAMMM","familial atypical multiple mole melanoma"
"FANA","fluorescent antinuclear antibody test"
"FAP","familial adenomatous polyposis"
"FAST","focused assessment with sonography for trauma"
"FB","foreign body"
"FBC","Family Birth Center"
"FBC","full blood count"
"FBE","full blood exam"
"FBG","fasting blood glucose"
"FBS","Failed back syndrome"
"FBS","fasting blood sugar"
"F/C","fevers and chills"
"FCS","Faciocutaneoskeletal syndrome"
"FDC","follicular dendritic cells"
"FDG","fluordeoxyglucose"
"FDIU","fetal demise in utero"
"FDP","fibrin degradation product"
"Fe","iron"
"fem","female"
"fem","femoral"
"FEN","Fluids, Electrolytes, Nutrition"
"FEP","free erythrocyte protoporphyrin"
"FEP","fibroepithelial polyp"
"FESS","functional endoscopic sinus surgery"
"FET","frozen embryo transfer"
"FF","free fluids"
"FFA","free fatty acids"
"FFP","fresh frozen plasma"
"FHR","fetal heart rate"
"FHS","fetal heart sound"
"FHT","fetal heart tones"
"FHx","family history"
"FIBD","found in bed dead"
"FISH","fluorescence in situ hybridization"
"FL","femur length"
"FLAIR","fluid attenuated inversion recovery"
"FLK","funny-looking kid"
"fl.oz.","fluid ounce"
"FM","fetal movement"
"FMF","fetal movements felt"
"FMP","first menstrual period"
"FMPP","Familial male precocious puberty"
"fMRI","functional magnetic resonance imaging"
"FMS","Fibromyalgia Syndrome"
"F→N","finger-to-nose test"
"FNA","fine-needle aspiration"
"FNAB","fine-needle aspiration biopsy"
"FNAC","fine-needle aspiration cytology"
"FNC","full nursing care"
"FNH","focal nodular hyperplasia"
"FOB","Foot of Bed"
"FOB","father of baby"
"FOBT","fecal occult blood test"
"FOF","found on floor"
"FOS","full of stool"
"FOOSH","fall on outstretched hand"
"FP","Family Planning"
"FPG","fasting plasma glucose"
"FRDA","Friedreich's ataxia"
"FROM","full range of motion"
"FSBS","finger-stick blood sugar"
"FSE","fetal scalp electrode"
"FSGS","focal and segmental glomerulosclerosis"
"FSH","follicle-stimulating hormone"
"FTA","fluorescent treponemal antibody"
"FTA-ABS","fluorescent treponemal antibody absorption"
"FTT","failure to thrive"
"F/U","follow-up"
"FUE","Follicular Unit Extraction"
"FUT","Follicular Unit Transplantation"
"FUO","fever of unknown origin"
"FVC","forced vital capacity"
"FWB","full weight bearing"
"FWD","full ward diet"
"FWD","forward"
"Fx","Function"
"G","gravidity"
"G","guanosine"
"G6PD","glucose-6-phosphate-dehydrogenase"
"GA","general anaesthesia"
"GA","gestational age"
"GABA","gamma-aminobutyric acid"
"GABHS","group A beta-hemolytic streptococcus"
"GAPS","Guidelines for Adolescent Preventative Services"
"GB","gallbladder"
"GBC","gallbladder carcinoma"
"GBS","group B Streptococcus"
"GBS","Guillain–Barré syndrome"
"GBM","glioblastoma multiforme"
"GBM","glomerular basement membrane"
"GC","general condition"
"GC","gonococcus"
"GCA","giant cell arteritis"
"GCS","Glasgow Coma Scale"
"GCS","Graduated compression stockings"
"GCT","germ cell tumor"
"GCT","glucose challenge test"
"GCT","Giant cell tumor"
"G-CSF","granulocyte colony-stimulating factor"
"GDA","gastroduodenal artery"
"GDLH","glutamate dehydrogenase"
"GDM","Gestational Diabetes Mellitus"
"GDP","guanosine diphosphate"
"GDS","Geriatric Depression Scale"
"GERD","gastroesophageal reflux disease"
"GFR","glomerular filtration rate"
"GGT","gamma glutamyl transferase"
"GGTP","gamma glutamyl transpeptidase"
"GH","growth hormone"
"GHRF","growth hormone releasing factor"
"GHRH","growth hormone releasing hormone"
"GI","gastrointestinal"
"GI","gastrointestinal tract"
"GIA","A model of surgical staple"
"GIB","gastrointestinal bleed"
"GIS","GastroIntestinal Surgeon"
"GIFT","gamete intrafallopian transfer"
"GIST","gastrointestinal stromal tumor"
"GIT","gastrointestinal tract"
"GITS","gastrointestinal therapeutic system"
"GMC","general medical condition"
"GM-CSF","granulocyte macrophage colony-stimulating factor"
"GMP","guanosine monophosphate"
"GN","glomerulonephritis"
"GNRH","gonadotropin-releasing hormone"
"GOAT","Galveston Orientation and Amnesia Test"
"GOD","glucose oxidase"
"GOK","God only knows"
"GOMER","get outta my ER"
"GORD","gastro-oesophageal reflux disease"
"GOT","glutamic-oxalacetic transaminase"
"GP","general practitioner"
"GP","Goodpasture's syndrome"
"GPA","granulomatosis with polyangiitis"
"GPCL","gas permeable contact lens"
"GPT","glutamic-pyruvic transaminase"
"Gr","grain"
"GRAV I","gravidity = 1"
"GSW","gunshot wound"
"GTN","glyceryl trinitrate"
"GTN","gestational trophoblastic neoplasia"
"GTT","glucose tolerance test"
"GTT","gestational trophoblastic tumor"
"Gtts","guttae"
"GU","genitourinary"
"GU","gastric ulcer"
"GUM","genitourinary medicine"
"GvH","graft-versus-host"
"GvHD,","graft-versus-host disease"
"GVHD","graft-versus-host disease"
"GXT","graded exercise test"
"GYN","gynecology"
"h","hour(s)"
"H","histamine or its receptors"
"H","hemagglutinin"
"HA","hypertonia arterialis"
"HA","headache"
"HA","calcium hydroxyapatite"
"H/A","headache"
"HAA","hepatitis-associated antigen"
"HAA","History As Above"
"HAART","highly active antiretroviral therapy"
"HACA","human anti-chimeric antibody"
"HACE","high-altitude cerebral edema"
"HACEK","Haemophilus, Aggregatibacter, Cardiobacterium hominis, Eikenella corrodens, and Kingella"
"HAD","HIV-associated dementia"
"HADS","Hospital Anxiety and Depression Scale"
"HAE","hereditary angioedema"
"H/A","headache"
"HAI","healthcare-associated infection"
"HAI","hospital-acquired infection"
"HALE","health-adjusted life expectancy"
"HAPE","high-altitude pulmonary edema"
"HAV","hepatitis A virus"
"Hb","hemoglobin"
"HB","heart block"
"Hb%","hemoglobin concentration in gram per deciliter"
"HbA","hemoglobin A"
"HBD","has been drinking"
"HbF","fetal hemoglobin"
"HBO","hyperbaric oxygen"
"HBP","high blood pressure"
"HBV","hepatitis B virus"
"HC","head circumference"
"HC","hemorrhagic colitis"
"HC","homocysteine"
"HCA","Healthcare Associated"
"HCC","hepatocellular carcinoma"
"HCF","Healthcare Facility"
"HCFA","Healthcare Facility Associated"
"hCG","human chorionic gonadotropin"
"HCL","hairy cell leukemia"
"HCM","hypertrophic cardiomyopathy"
"HCM","healthcare maintenance"
"Hct","hematocrit"
"HCT","hematocrit"
"HCT","hematopoietic cell transplantation"
"HCRP","Hospital Cornea Retrieval Programme"
"HCTZ","hydrochlorothiazide"
"HD","Hodgkin disease"
"HD","Hemodialysis"
"HD","Huntington's disease"
"HCV","hepatitis C virus"
"HDL","high-density lipoprotein"
"HDL-C","high-density lipoprotein-cholesterol"
"HDN","hemolytic disease of the newborn"
"HDU","high dependency unit"
"HDV","hepatitis D virus"
"HDW","Hemoglobin Distribution Width"
"H&E","hematoxylin and eosin"
"HE","hepatic encephalopathy"
"HEC","High emetogenic chemotherapy"
"HEENT","head, eyes, ears, nose, throat"
"HELP","Hemolysis, elevated liver enzymes, low platelets"
"HELLP","Hemolysis, elevated liver enzymes, low platelets"
"HEMA","hydroxy ethyl methacrylate"
"Hema","hematest"
"HES","hydroxyethyl starch"
"HETE","hydroxyeicosatetraenoic acid"
"HEV","hepatitis E virus"
"HF","heart failure"
"HFpEF","heart failure with preserved ejection fraction"
"HFrEF","heart failure with reduced ejection fraction"
"HFM","hand, foot and mouth disease"
"HFMD","hand, foot and mouth disease"
"HFRS","hemorrhagic fever with renal syndrome"
"HGB","hemoglobin"
"HGSIL","high-grade squamous intraepithelial lesion"
"HGV","hepatitis G virus"
"HGPRTase","hypoxanthine-guanine phosphoribosyl transferase"
"HH","hiatus hernia"
"H/H","hemoglobin and hematocrit"
"H&H","hemoglobin and hematocrit"
"HHT","hereditary hemorrhagic telangiectisia"
"HHV","human herpesvirus"
"HI","homicidal ideation"
"Hib","haemophilus influenzae B"
"HIDA","hepatobiliary iminodiacetic acid"
"HIDS","hyper-IgDsyndrome"
"HIT","heparin-induced thrombocytopenia"
"HIV","human immunodeficiency virus"
"HL","hepatic lipase"
"HL","Hodgkin's lymphoma"
"HL","hearing level"
"HLA","human leukocyte antigen"
"HLD","Hyperlipidemia"
"HLHS","hypoplastic left heart syndrome"
"H&M","hematemesis and melena"
"HMD","hyaline membrane disease"
"HMG","human menopausal gonadotropin"
"HMG-CoA","3-hydroxy-3-methyl-glutaryl-CoA"
"HMGR","3-hydroxy-3-methyl-glutaryl-CoA reductase"
"H-mole","hydatidiform mole"
"HMS","hyperreactive malarial splenomegaly"
"HMSN","hereditary motor sensory neuropathy"
"HN","hemagglutinin-neuraminidase"
"HND","hemolytic disease of the newborn"
"HNP","herniated nucleus pulposus"
"HNPCC","hereditary nonpolyposis colorectal cancer"
"H/O","history of"
"HOB","head of bed"
"HOCM","hypertrophic obstructive cardiomyopathy"
"HONK","hyperosmolar nonketotic coma"
"HOPI","History of present illness"
"HoTN","Hypotension"
"H&P","history and physical examination"
"HPA","hypothalamic-pituitary-adrenal axis"
"HPETE","hydroxyeicosatetraenoic acid"
"HPF","high-power field"
"HPI","history of the present illness"
"H/oPI","history of the present illness"
"HPOA","hypertrophic pulmonary osteoarthropathy"
"hPL","human placental lactogen"
"HPS","hantavirus pulmonary syndrome"
"HPV","human papillomavirus"
"HR","heart rate"
"hr","hour(s)"
"HRAS","Harvey rat sarcoma viral oncogene homolog"
"HRCT","High-resolution computed tomography"
"HRT","hormone replacement therapy"
"h.s.","at bedtime"
"hs","hours of sleep"
"H→S","heel-to-shin test"
"HSC","human chorionic somatomammotropin"
"HSG","hysterosalpingogram"
"HSIL","high-grade squamous intraepithelial lesion"
"HSM","hepatosplenomegaly"
"HSP","Henoch–Schönlein purpura"
"HSV","herpes simplex virus"
"HT","hypertension"
"Ht","height"
"HTLV","human T-lymphotropic virus"
"HTN","hypertension"
"HTPA","hypothalamic-pituitary-adrenal axis"
"HTVD","hypertensive vascular disease"
"HUS","hemolytic uremic syndrome"
"HVA","homovanillic acid"
"HVLT","high-velocity lead therapy"
"Hx","history"
"IA","intra-arterial"
"IAA","insulin autoantibody"
"IABP","intra-aortic balloon pump"
"IAI","intra-amniotic infection"
"IBC","inflammatory breast cancer"
"IBD","inflammatory bowel disease"
"IBS","irritable bowel syndrome"
"IC","ileocecal"
"IC","immunocompromised"
"IC","informed consent"
"IC","intensive care"
"IC","interstitial cystitis"
"IC","immune complex"
"IC","intracardiac"
"ICD","implantable cardioverter-defibrillator"
"ICDS","Integrated Child Development Services Program"
"ICD-10","International Classification of Diseases, 10th Revision"
"ICF","intracellular fluid"
"ICG","impedance cardiography"
"ICH","intracerebral hemorrhage"
"ICM","ischemic cardiomyopathy"
"ICP","intracranial pressure"
"ICS","intercostal space"
"ICS","inhaled corticosteroids"
"ICS","internal carotid stenosis"
"ICSI","intracytoplasmic sperm injection"
"ICU","intensive care unit"
"ICCU","intensive cardiac care unit"
"ID","infectious disease"
"ID","identifying data"
"I&D","incision and drainage"
"IDA","iron deficiency anemia"
"IDC","idiopathic dilated cardiomyopathy"
"IDC","indwelling catheter"
"IDC","infiltrating ductal carcinoma"
"IDDM","insulin-dependent diabetes mellitus"
"IDL","intermediate-density lipoprotein"
"IDP","infectious disease precautions"
"IE","infective endocarditis"
"IF","immunofluorescence"
"IFG","impaired fasting glycaemia"
"Ig","immunoglobulin"
"IgA","immunoglobulin A"
"IgAV","IgA vasculitis"
"IgD","immunoglobulin D"
"IgE","immunoglobulin E"
"IGF","insulin-like growth factor"
"IgG","immunoglobulin G"
"IgG4-RD","IgG4-related disease"
"IgG4-RKD","IgG4-related kidney disease"
"IgG4-ROD","IgG4-related ophthalmic disease"
"IgG4-TIN","IgG4-related tubulointerstitial nephritis"
"IgM","immunoglobulin M"
"IGT","impaired glucose tolerance"
"IHC","immunohistochemistry"
"IHD","ischaemic heart disease"
"IHPS","infantile hypertrophic pyloric stenosis"
"IHSS","ideopathic hypertrophic subaortic stenosis"
"IIEF","International Index of Erectile Function"
"ILD","interstitial lung disease"
"IM","intramuscular"
"IMA","inferior mesenteric artery"
"IMB","intermenstrual bleed"
"IMI","intramuscular injection"
"IMM","intramyometrial"
"IMN","infectious mononucleosis"
"IMRT","intensity-modulated radiotherapy"
"IMT","inflammatory myofibroblastic tumor"
"IMT","intima-media thickness"
"IMV","intermittent mandatory ventilation"
"Inc","incomplete"
"INF","interferon"
"INF-α","interferon-α"
"INF-β","interferon-β"
"INF-γ","interferon-γ"
"INH","inhaled"
"Inj","injection"
"INR","international normalized ratio"
"Int","internal"
"INT","intermittent needle therapy"
"IO","intraosseous infusion"
"I&O","inputs and outputs"
"I&O","intake and outputs"
"IODM","infant of diabetic mother"
"IOL","induction of labor"
"IOL","intraocular lens"
"IOP","intra-orifice pressure"
"IP","interphalangeal joint"
"IPF","idiopathic pulmonary fibrosis"
"IPG","Implantable Pulse Generator"
"IPH","intraparenchymal hemorrhage"
"IPH","intraperitoneal hemorrhage"
"IPH","idiopathic pulmonary hemosiderosis"
"IPMN","Intraductal papillary mucinous neoplasm"
"IPPB","intermittent positive pressure breathing"
"IPPV","intermittent positive pressure ventilation"
"IPS","intraperitoneal sounds"
"IQ","intelligence quotient"
"IR","insulin resistance"
"IRDS","infant respiratory distress syndrome"
"IRIDA","inherited iron-refractory iron deficiency anemia"
"IRIS","Immune reconstitution inflammatory syndrome"
"IS","Incentive Spirometry"
"ISA","intrinsic sympathomimetic activity"
"ISDN","isosorbide dinitrate"
"ISH","isolated systolic hypertension"
"ISMN","isosorbide mononitrate"
"ISQ","no change"
"IT","immature teratoma"
"IT","intrathecal"
"ITP","idiopathic thrombocytopenic purpura"
"ITP","immune-mediated thrombocytopenic purpura"
"ITU","intensive treatment unit"
"IUCD","intrauterine contraceptive device"
"IU","international units"
"IUD","intrauterine death"
"IUD","intrauterine device"
"IUFD","intrauterine foetal demise"
"IUGR","intrauterine growth restriction"
"IUI","intrauterine insemination"
"IUP","intrauterine pregnancy"
"IUPC","intrauterine pressure catheter"
"IUS","intrauterine system"
"IUT","intrauterine transfusion"
"IV","intravenous"
"IVC","inferior vena cava"
"IVD","Intervertebral disc"
"IV-DSA","intravenous digital subtraction angiography"
"IVDU","intravenous drug user"
"IVF","in vitro fertilization"
"IVF","intravenous fluids"
"IVH","interventricular hemorrhage"
"IVP","intravenous pyelogram"
"IVPB","intravenous piggyback"
"IVPG","Intravenous pyogenic granuloma"
"IVU","intravenous urogram"
"IVUS","intravascular ultrasound"
"Ix","Investigation"
"JCV","John Cunningham virus"
"JEV","Japanese encephalitis virus"
"JIA","juvenile idiopathic arthritis"
"JMS","junior medical student"
"JODM","juvenile-onset diabetes mellitus"
"JP","Jackson-Pratt"
"JRA","juvenile rheumatoid arthritis"
"JVD","jugular venous distension"
"JVP","jugular venous pressure"
"K","potassium"
"Kcal","kilocalorie"
"Kcal","calorie"
"KCCT","kaolin cephalin clotting time"
"KELS","Kohlman Evaluation of Living Skills"
"kg","kilogram"
"KIV","keep in view"
"KLS","kidney, liver, spleen"
"KOH","potassium hydroxide"
"KS","Kaposi's sarcoma"
"KS","Kartagener syndrome"
"KSHV","Kaposi's sarcoma-associated herpesvirus"
"KUB","kidneys, ureters, and bladder"
"KVO","keep vein open"
"L","leukocytes"
"L","lumbar vertebrae"
"L&D","labor and delivery"
"LA","left atrium"
"LA","lymphadenopathy"
"LA","local anesthetic"
"LAAM","L-alpha-acetylmethadol"
"Lab","laboratory"
"LABA","long-acting beta agonist"
"LABBB","left anterior bundle branch block"
"Lac","laceration"
"Lac","lactate"
"LAD","left anterior descending"
"LAD","leukocyte adhesion deficiency"
"LAD","left axis deviation"
"LAD","lymphadenopathy"
"LAE","left atrial enlargement"
"LAH","left anterior hemiblock"
"LAHB","left anterior hemiblock"
"Lam","laminectomy"
"LAP","leukocyte alkaline phosphatase"
"Lap","laparotomy"
"Lap appy","laparoscopic appendectomy"
"LAR","low anterior resection"
"LARP","left → anterior, right → posterior"
"LAS","lymphadenopathy syndrome"
"Lat","lateral"
"lb","pound(s)"
"LB","pound(s)"
"LBBB","left bundle branch block"
"LBO","large bowel obstruction"
"LBP","low back pain"
"LBW","low birth weight"
"LCA","left coronary artery"
"LCHAD","long-chain 3-hydroxyacyl-coenzyme A dehydrogenase"
"LCIS","lobular carcinoma in situ"
"LCM","lymphocytic meningitis"
"LCMV","lymphocytic choriomeningitis virus"
"LCP","Liverpool Care Pathway for the Dying Patient"
"LCPD","Legg–Calvé–Perthes disease"
"LCV","leukocytoclastic vasculitis"
"LCX","left circumflex artery"
"L&D","labor and delivery"
"LDH","lactate dehydrogenase"
"LDL","low-density lipoprotein"
"LDL-C","low-density lipoprotein cholesterol"
"L-DOPA","levo-dihydroxyphenylalanine"
"LEC","lupus erythematosus cell"
"LEEP","loop electrical excision procedure"
"LES","lower esophageal sphincter"
"LES","lupus erythematosus systemicus"
"LE","lupus erythematosus"
"LE","lower extremity"
"leu","leukocytes"
"LFT","liver function test"
"LGA","large for gestational age"
"LGL","Lown–Ganong–Levine syndrome"
"LGM","lymphogranulomatosis maligna"
"LGSIL","low-grade squamous intraepithelial lesion"
"LGV","lymphogranuloma venereum"
"LH","luteinizing hormone"
"LH","lightheadedness"
"LHC","left heart catheterization"
"LHRH","luteinizing hormone–releasing hormone"
"Lig","ligament"
"LIH","left inguinal hernia"
"LLD","leg length discrepancy"
"LLE","left lower extremity"
"LLETZ","large loop excision of the transformation zone"
"LLL","left lower lobe"
"LLQ","left lower quadrant"
"LM","left main"
"LMA","left mentoanterior"
"LMA","laryngeal mask airway"
"LMCA","left main coronary artery"
"LMD","local medical doctor"
"LMP","last menstrual period"
"LMP","low malignant potential"
"LMWH","low-molecular-weight heparin"
"LN","lymph node"
"LND","lymph node dissection"
"LNG","levonorgestrel"
"LNI","lymph node involvement"
"LOA","left occipitoanterior"
"LOA","lysis of adhesions"
"LOC","loss of consciousness"
"LOC","level of consciousness"
"LOF","leakage of fluid"
"LOH","loss of heterozygosity"
"LOI","loss of imprinting"
"LOL","little old lady"
"LOM","limitation of motion"
"LOP","left occiput posterior"
"LORTA","loss of resistance to air"
"LOS","length of stay"
"Lot","lotion"
"LOT","left occiput transverse"
"Lp","lipoprotein"
"LP","lumbar puncture"
"LPH","left posterior hemiblock"
"LPL","lipoprotein lipase"
"LPP","lichen planopilaris"
"LQTS","long QT syndrome"
"L/S","lecithin-to-sphingomyelin ratio"
"LS","lichen sclerosus"
"LS","Lynch syndrome"
"LSA","lichen sclerosis et atrophicus"
"LSB","left sternal border"
"LSIL","low-grade squamous intraepithelial lesion"
"LST","laterally spreading tumor"
"LR","lactated Ringer's solution"
"LRINEC","Laboratory Risk Indicator for Necrotizing Soft Tissue Infections Score"
"LRTI","lower respiratory tract infection"
"LSCTA","lung sounds clear to auscultation"
"LT","heat-labile enterotoxin"
"LTAC","long-term acute care"
"LTCS","low transverse cesarean section"
"LUL","left upper lobe"
"LUQ","left upper quadrant"
"LUS","lower uterine segment"
"LUTS","lower urinary tract symptoms"
"LV","left ventricle"
"LVAD","left ventricular assist device"
"LVEDP","left ventricular end diastolic pressure"
"LVEF","left ventricular ejection fraction"
"LVF","left ventricular failure"
"LVH","left ventricular hypertrophy"
"LVOT","left ventricular outflow tract"
"LVP","Large volume paracentesis"
"LWBS","left without being seen"
"Lx of ch","laxative of choice"
"Ly","lymphocytes"
"lytes","electrolytes"
"M","murmur"
"MACE","Major Adverse Cardiovascular Events"
"MAC","Mycobacterium avium complex"
"MAE","moves all extremities"
"MAHA","microangiopathic hemolytic anemia"
"MAL","midaxillary line"
"MALT","mucosa-associated lymphoid tissue"
"MAOI","monoamine oxidase inhibitor"
"Mφ","macrophage"
"MAP","mean arterial pressure"
"MAR","Medication Administration Record"
"MARSA","methicillin- and aminoglycoside-resistant Staphylococcus aureus"
"MAS","Morgagni–Adams–Stokes syndrome"
"MAS","meconium aspiration syndrome"
"MAST","Michigan alcohol screening test"
"MAT","multifocal atrial tachycardia"
"MAT","microscopic agglutination test"
"MBSS","modified barium swallow study"
"MC","metacarpal bone"
"MCA","mucinous cystadenoma"
"MCAT","Medical College Admission Test"
"MCD","minimal change disease"
"MCP","metacarpophalangeal joint"
"MCHC","mean corpuscular hemoglobin concentration"
"MCH","mean cell hemoglobin"
"MCH","mean corpuscular hemoglobin"
"MC&S","microscopy, culture, and sensitivity"
"MCTD","mixed connective tissue disease"
"MCV","mean corpuscular volume"
"MDCT","multidetector row computerized tomography"
"MDD","major depressive disorder"
"MDE","major depressive episode"
"MDI","metered dose inhaler"
"MDS","myelodysplastic syndrome"
"ME","Myalgic Encephalopathy"
"M/E","microscopic examination"
"MEC","Moderate emetic chemotherapy"
"MEDLINE","Medical Literature Analysis and Retrieval System Online"
"MEN","multiple endocrine neoplasia"
"MeSH","Medical Subject Headings"
"MET","metabolic equivalent"
"met","metastasis"
"MFM","maternal and fetal medicine"
"Mg","magnesium"
"MG","myasthenia gravis"
"MGN","membranous glomerulonephritis"
"MGUS","monoclonal gammopathy of undetermined significance"
"MHA-TP","microhemagglutination assay for T. pallidum"
"MHW","Mental Health Worker"
"MI","myocardial infarction"
"MIC","minimum inhibitory concentration"
"MICU","mobile intensive care unit"
"MICU","medical intensive care unit"
"MIF","Müllerian inhibitory factor"
"MIS","Minimally Invasive Surgery"
"MIS","Mullerian Inhibiting Substance"
"MLC","mixed lymphocyte culture"
"MLE","midline episiotomy"
"MM","myeloid metaplasia"
"MM","middle meningeal"
"MM","multiple myeloma"
"M&M","morbidity and mortality"
"MMFR","midmaximal flow rate"
"MMI","maximum medical improvement"
"MMK","Marshall–Marchetti–Kranz procedure"
"MMPI","Minnesota Multiphasic Personality Inventory"
"MMR","measles, mumps, and rubella combined vaccination"
"MMR","mismatch repair"
"MMR-D","mismatch repair deficiency syndrome"
"MMSE","mini-mental state examination"
"MMT","malignant mesenchymal tumor"
"MMT","Mixed Mullerian Tumor"
"MN","membranous nephropathy"
"MND","motor neurone disease"
"MOB","mother of baby"
"mod","moderate"
"mod","modified"
"MODY","maturity onset diabetes of the young"
"Mo","monocytes"
"MoM","multiples of the median"
"MOM","milk of magnesia"
"Mono-Di","monochorionic-diamniotic twins"
"Mono-Mono","monochorionic-monoamniotic twins"
"MOPP","mechlorethamine, vincristine, procarbazine, and prednisone"
"MPA","medroxyprogesterone acetate"
"MPD","Main pancreatic duct"
"MPD","myeloproliferative disease"
"MPDs","myeloproliferative disease"
"MPGN","membranoproliferative glomerulonephritis"
"MPO","myeloperoxidase"
"MPT","multi-professional team"
"MPV","mean platelet volume"
"MR","medical representative"
"MR","mental retardation"
"MR","mitral regurgitation"
"MR","modified release"
"MRA","magnetic resonance angiography"
"MRCP","magnetic resonance cholangiopancreatography"
"MRG","murmurs, rubs, and gallops"
"MRI","magnetic resonance imaging"
"MRSA","methicillin-resistant Staphylococcus aureus"
"MS","medical student"
"MS","mental status"
"MS","mitral stenosis"
"MS","multiple sclerosis"
"MS-AFP","maternal serum alpha-fetoprotein"
"MSDU","medical surgical day unit"
"MSE","mental status examination"
"MSH","melanocyte-stimulating hormone"
"MSK","medullary sponge kidney"
"MSK","Musculoskeletal"
"MSM","men who have sex with men"
"MSU","midstream urine sample"
"MSU","monosodium urate"
"MSUD","maple syrup urine disease"
"MT","metatarsal bone"
"MTBI","mild traumatic brain injury"
"MTP","metatarsalphalangeal"
"MTX","methotrexate"
"MUSE","medicated urethral system for erections"
"MVA","motor vehicle accident"
"MVC","motor vehicle crash"
"MVI","Multivitamin"
"MVo2","mixed venous oxygen concentration"
"MVP","mitral valve prolapse"
"MVPS","mitral valve prolapse syndrome"
"MVR","mitral valve replacement"
"Nφ","Neutrophil"
"Na","sodium"
"NA","negative appendectomy"
"NAAT","nuclear acid amplification test"
"NABS","normoactive bowel sounds"
"NAC","n-acetyl cysteine"
"NAD","no abnormality detected"
"NAD","no apparent distress"
"NAFLD","Non-alcoholic fatty liver disease"
"NAS","no added salt"
"NASH","Non-alcoholic steatohepatitis"
"NB","newborn"
"NB","nota bene"
"NBN","newborn nursery"
"NBIA","neurodegeneration with brain iron accumulation"
"NBT","nitroblue tetrazolium"
"NBTE","nonbacterial thrombotic endocarditis"
"NC","nerve action potential"
"NC","nasal cannula"
"NCC","noncompaction cardiomyopathy"
"NCEP","National Cholesterol Education Program"
"NCS","nerve conduction study"
"NCT","nerve conduction test"
"NCV","nerve conduction velocity"
"ND","(examination) not done"
"NDI","nephrogenic diabetes insipidus"
"NE","norepinephrine"
"Ne","neutrophil granulocytes"
