abr,long_form,long_form_raw
BS,bowel sounds on auscultation with stethoscope, bowel sounds on [[auscultation]] with [[stethoscope]] 
BS,blood sugar, [[blood sugar]]
BS x 4 quads,bowel signs in all 4 quadrants (also sometimes BS + all 4 quads),bowel signs in all 4 quadrants (also sometimes BS + all 4 quads)
BSA,body surface area,[[body surface area]] 
BSA,bovine serum albumin, [[bovine serum albumin]]
BSC,bedside commode,bedside commode
BSE,bovine spongiform encephalopathy,[[bovine spongiform encephalopathy]] 
BSE,breast self-examination, [[breast self-examination]]
BSL,blood sugar level,[[Blood sugar|blood sugar level]]
BSO,bilateral salpingo-oophorectomy,bilateral salpingo-oophorectomy
BSP,bromsulphthalein,[[bromsulphthalein]]
BSU,"Bartholin, Skene and urethra","[[Bartholin's gland|Bartholin]], [[Skene's gland|Skene]] and [[urethra]] (glands)"
BT,bleeding time,[[bleeding time]] 
BT,brachytherapy, brachytherapy
BTB,breakthrough bleeding of menstrual period,[[breakthrough bleeding]] of menstrual period
BTL,bilateral tubal ligation,bilateral [[tubal ligation]]
BTP,breakthrough pain,breakthrough pain
BUN,blood urea nitrogen,[[blood urea nitrogen]]
BV,bacterial vaginosis,[[bacterial vaginosis]]
BVM,bag valve mask,[[bag valve mask]] (Ambu bag)
BVP,biventricular pacing,biventricular pacing (see [[artificial pacemaker]]) 
BVP,"bleomycin, vincristine, and cisplatin"," bleomycin, vincristine, and cisplatin ([[chemotherapy regimen]])"
BW,blood work,blood work ([[blood test]]s) 
BW,birth weight, [[birth weight]]
Bx,biopsy,[[biopsy]]
BZDs,benzodiazepines,[[benzodiazepine]]s
C,cytosine,[[cytosine]] 
C,cervical vertebrae, [[cervical vertebrae]]
C1,atlas – first cervical vertebra of the spine,[[Atlas (anatomy)|atlas]] – first cervical vertebra of the spine
C2,axis – second cervical vertebra of the spine,[[Axis (anatomy)|axis]] – second cervical vertebra of the spine
CA,carcinoma,[[carcinoma]] 
CA,cancer, [[cancer]]
Ca,calcium,[[calcium]] 
Ca,carcinoma, [[carcinoma]] 
Ca,cancer, [[cancer]]
CAA,coronary artery aneurysm,[[coronary artery aneurysm]]
c/b,complicated by,[[complication (medicine)|complicated by]]
CABG,coronary artery bypass graft surgery,"[[coronary artery bypass surgery|coronary artery bypass graft]] surgery (pronounced ""cabbage"")"
CABP,coronary artery bypass procedure,[[coronary artery bypass surgery|coronary artery bypass procedure]]
CAD,coronary artery disease,[[coronary heart disease|coronary artery disease]]
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,[[CADASIL|cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy]]
CAG,coronary artery graft,[[coronary artery bypass surgery|coronary artery graft]] 
CAG,coronary angiography, [[coronary angiography]]
CAGE,"cut down, annoyed, guilty, eye opener","[[CAGE questionnaire|cut down, annoyed, guilty, eye opener]] (screening for alcoholism)"
CAGS,coronary artery graft surgery,[[coronary artery bypass surgery|coronary artery graft surgery]]
cAMP,cyclic adenosine monophosphate,[[cyclic adenosine monophosphate]]
CAH,chronic active hepatitis,[[chronic active hepatitis]] 
CAH,congenital adrenal hyperplasia, [[congenital adrenal hyperplasia]]
CALLA,common acute lymphocytic leukemia antigen,common acute lymphocytic leukemia antigen
CAM,cell adhesion molecule,[[cell adhesion molecule]] 
CAM,complementary and alternative medicine,  [[complementary and alternative medicine]]
CAMP,cyclic adenosine monophosphate,[[cyclic adenosine monophosphate]]
CAP,community-acquired pneumonia,[[community-acquired pneumonia]]
CAPD,continuous ambulatory peritoneal dialysis,[[continuous ambulatory peritoneal dialysis]]
CAO,"conscious, alert, and oriented","conscious, alert, and oriented (no [[altered level of consciousness]])"
CaOx,calcium oxalate,[[calcium oxalate]]
Caps,capsule,[[capsule (pharmacy)|capsule]]
CAT / CT,computed axial tomography / computed tomography,[[Computed tomography|computed axial tomography]] / [[computed tomography]]
Cath,catheter,[[catheter]]
CBA,cost–benefit analysis,[[cost–benefit analysis]] (of treatment methods)
CBC,complete blood count,[[complete blood count]]
CBC/DIFF,complete blood count/differential,[[complete blood count]]/differential
CBD,common bile duct,[[common bile duct]]
CBE,clinical breast examination,[[clinical breast examination]]
CBF,cerebral blood flow,[[cerebral blood flow]]
CBS,chronic brain syndrome,[[post-concussion syndrome|chronic brain syndrome]]
CC,cubic centimeter,[[cubic centimeter]] (use ''mL'' instead—see the [[List of abbreviations used in medical prescriptions#cc|list of abbreviations used in prescriptions]]) 
CC,chief complaint, [[chief complaint]] 
CC,cardiac catheter, [[Cardiac catheterization|cardiac catheter]] 
CC,carbon copy, [[carbon copy]]
cc,cubic centimeter,[[cubic centimeter]] (use ''mL'' instead—see the [[List of abbreviations used in medical prescriptions#cc|list of abbreviations used in prescriptions]]) 
cc,chief complaint, [[chief complaint]] 
cc,cardiac catheter, [[Cardiac catheterization|cardiac catheter]] 
cc,carbon copy, [[carbon copy]]
CCA,clear cell adenocarcinoma,[[clear-cell adenocarcinoma|clear cell adenocarcinoma]]
CCB,calcium channel blocker,[[calcium channel blocker]]
CCCU,critical coronary care unit,critical [[coronary care unit]]
CCE,"clubbing, cyanosis, and edema","clubbing, cyanosis, and edema (general signs of [[cardiovascular disease]])"
C/C/E,"clubbing, cyanosis, and edema","clubbing, cyanosis, and edema (general signs of [[cardiovascular disease]])"
CCG,Clinical commissioning group,[[Clinical commissioning group]]
CCF,congestive cardiac failure,[[congestive heart failure|congestive cardiac failure]]
CCK,cholecystokinin,[[cholecystokinin]]
CCK-PZ,cholecystokinin-pancreozymin,[[Cholecystokinin|cholecystokinin-pancreozymin]]
CCNS,cell cycle–nonspecific [drug],cell cycle–nonspecific [drug] (a type of drug used in [[chemotherapy]])
CCOC,clear cell odontogenic carcinoma,clear cell odontogenic [[carcinoma]]
CCOT,calcifying cystic odontogenic tumor,calcifying cystic odontogenic tumor (formerly called [[calcifying odontogenic cyst]])
CCP,cyclic citrullinated peptide,[[cyclic citrullinated peptide]]
CCR,cardiocerebral resuscitation,[[cardiocerebral resuscitation]]
CCU,coronary care unit,[[coronary care unit]] 
CCU,critical care unit, [[intensive care unit|critical care unit]]
CD,Crohn's disease,[[Crohn's disease]] 
CD,chemical dependency, [[substance dependence|chemical dependency]] 
CD,cluster of differentiation, [[cluster of differentiation]] 
CD,controlled delivery, [[time release technology|controlled delivery]]
CDAD,Clostridium difficile–associated diarrhea,[[Clostridium difficile colitis|''Clostridium difficile''–associated diarrhea]]
CDC,Centers for Disease Control and Prevention,[[Centers for Disease Control and Prevention]]
CDH,congenital dislocated hip,congenital [[Dislocation of hip|dislocated hip]]
CDI,central diabetes insipidus,[[central diabetes insipidus]] 
CDI,Clostridium difficile infection, [[Clostridium difficile colitis|''Clostridium difficile'' infection]] 
CDI,"cool, dry, intact (when referring to incision/surgical sites)"," cool, dry, intact (when referring to incision/surgical sites)"
CDMR,caesarean delivery on maternal request,[[caesarean delivery on maternal request]]
CDP,cytosine diphosphate,[[cytosine]] diphosphate
CDR,cutaneous drug reaction,[[adverse drug reaction|cutaneous drug reaction]]
CEA,carcinoembryonic antigen,[[carcinoembryonic antigen]] 
CEA,carotid endarterectomy, [[carotid endarterectomy]] 
CEA,cost-effectiveness analysis, [[cost-effectiveness analysis]]
CEIOL,cataract extraction with intraocular lens placement,[[cataract extraction]] with [[intraocular lens]] placement
CF,cystic fibrosis,[[cystic fibrosis]]
CFA,complement-fixing antibody,complement-fixing antibody 
CFA,colonization factor antigen, colonization factor antigen
CFIDS,chronic fatigue immune dysfunction syndrome,[[chronic fatigue immune dysfunction syndrome]]
CFR,case fatality rate,case fatality rate
CFS,chronic fatigue syndrome,[[chronic fatigue syndrome]]
CFT,complement fixation test,[[complement fixation test]] 
CFT,capillary filling time, [[capillary refill|capillary filling time]]
CFTR,cystic fibrosis transmembrane conductance regulator,[[cystic fibrosis transmembrane conductance regulator]]
CFU,colony-forming unit,[[colony-forming unit]]
CGD,chronic granulomatous disease,[[chronic granulomatous disease]]
CGI,Clinical Global Impression,"[[Clinical Global Impression]] (including subscales such as CGI-BP, CGI-C, CGI-E, CGI-I, CGI-S)"
cGMP,cyclic guanosine monophosphate,[[cyclic guanosine monophosphate]]
CGN,chronic glomerulonephritis,chronic [[glomerulonephritis]]
CH,congenital hypothyroidism,[[congenital hypothyroidism]]
CHD,chronic heart disease,chronic [[heart disease]] 
CHD,congenital heart defect, [[congenital heart defect]] 
CHD,coronary heart disease, [[coronary heart disease]]
ChE,cholinesterase,[[cholinesterase]]
CHEM-7,"a group of blood tests, commonly called a basic metabolic panel","a group of [[blood test]]s, commonly called a [[basic metabolic panel]] ([[blood urea nitrogen]], carbon dioxide, [[creatinine]], [[blood sugar|glucose]], serum chloride, serum potassium, serum sodium)"
CHEM-20,{{anchor|CHEM-20}} a group of blood tests,"{{anchor|CHEM-20}} a group of [[blood test]]s ([[albumin]], [[alkaline phosphatase]], [[alanine transaminase]], [[aspartate transaminase|aspartate aminotransferase]], [[blood urea nitrogen]], [[calcium]] – serum, serum [[chloride]], carbon dioxide, [[creatinine]], direct bilirubin, [[gamma-glutamyl transpeptidase]], glucose test, [[lactate dehydrogenase]], [[phosphorus]] – serum, [[potassium]] test, serum [[sodium]], total [[bilirubin]], total [[cholesterol]], total [[protein]], [[uric acid]])"
CHE,cholinesterase,[[cholinesterase]]
CHF,congestive heart failure,[[congestive heart failure]]
CHO,carbohydrate,[[carbohydrate]]
CHOP,"cyclophosphamide, doxorubicin, vincristine, prednisone","[[cyclophosphamide]], [[doxorubicin]] (a.k.a. [[hydroxydaunorubicin]]), [[vincristine]](a.k.a. [[Oncovin]]), [[prednisone]] (chemotherapy regimen)"
Chol,cholesterol,[[cholesterol]]
CHS,cannulated hip screw,[[internal fixation|cannulated hip screw]]
CHT,congenital hypothyroidism,[[congenital hypothyroidism]]
CI,confidence interval,[[confidence interval]] 
CI,cardiac index, [[cardiac index]]
CIB,cibus (food),cibus (food)
CICU,cardiac intensive care unit,cardiac [[intensive care unit]]
CIDP,chronic inflammatory demyelinating polyneuropathy,[[chronic inflammatory demyelinating polyneuropathy]]
CIMF,chronic idiopathic myelofibrosis,[[chronic idiopathic myelofibrosis]]
CIN,cervical intraepithelial neoplasia,[[cervical intraepithelial neoplasia]]
CINV,Chemotherapy-induced nausea and vomiting,[[Chemotherapy-induced nausea and vomiting]]
Circ,circumcision,[[circumcision]] 
Circ,circulation, [[circulatory system|circulation]]
CIS,carcinoma in situ,[[carcinoma in situ]]
CIVI,continuous intravenous infusion,[[intravenous therapy|continuous intravenous infusion]]
CIWA,Clinical Institute Withdrawal Assessment for Alcohol,[[Alcohol withdrawal syndrome|Clinical Institute Withdrawal Assessment for Alcohol]]
CJD,Creutzfeldt–Jakob disease,[[Creutzfeldt–Jakob disease]]
CK,creatine kinase,[[creatine kinase]] (formerly CPK)
CKD,chronic kidney disease,[[chronic kidney disease]]
CKMB,MB isoenzyme of creatine kinase,MB isoenzyme of [[creatine kinase]]
Cl,chlorine,[[chlorine]] 
Cl,clearance, [[clearance (medicine)|clearance]]
CLARE,contact lens acute red eye,contact lens acute red eye
CLL,chronic lymphocytic leukemia,[[chronic lymphocytic leukemia]]
CLN,cervical lymph node,[[cervical lymph nodes|cervical lymph node]]
CLND,cervical lymph node dissection,[[lymph node dissection|cervical lymph node dissection]] 
CLND,complete lymph node dissection, [[lymph node dissection|complete lymph node dissection]]
CLP,cleft lip and palate,[[cleft lip and palate]]
CLS,capillary leak syndrome,[[capillary leak syndrome]]
CM,"Chirurgiae Magister, Master of Surgery","Chirurgiae Magister, [[Master of Surgery]] (British and Commonwealth countries medical degree)"
CM,Caucasian male,[[white people|Caucasian male]]
CMD,cystic medial degeneration,[[cystic medial degeneration]]
CME,continuing medical education,[[continuing medical education]]
CML,"chronic myelogenous leukemia, also called chronic myeloid leukaemia","[[chronic myelogenous leukemia]], also called chronic myeloid leukaemia"
CMML,chronic myelomonocytic leukemia,[[chronic myelomonocytic leukemia]]
CMO,comfort measures only,comfort measures only ([[palliative care]] or [[hospice]])
CMP,complete metabolic profile,complete metabolic profile (a [[blood panel]]) 
CMP,cytosine monophosphate, [[cytosine]] monophosphate
CMS,Centers for Medicare and Medicaid Services,[[Centers for Medicare and Medicaid Services]] 
CMS,chronic mountain sickness, [[chronic mountain sickness]]
CMT,cervical motion tenderness,[[cervical motion tenderness]]
CMV,cytomegalovirus,[[cytomegalovirus]]
CN,cranial nerves,[[cranial nerves]]
CNS,central nervous system,[[central nervous system]] 
CNS,Clinical nurse specialist, [[Clinical nurse specialist]] 
CNS,Crigler-Najjar syndrome, [[Crigler-Najjar syndrome]]
CNVM,Choroidal Neovascular Membranes,Choroidal Neovascular Membranes
C/O or c/o,complains of...,[[presenting problem|complains of...]]
CO,cardiac output,[[cardiac output]] 
CO,carbon monoxide, [[carbon monoxide]] 
CO,complains of..., [[presenting problem|complains of...]]
COAD,chronic obstructive airways disease,[[chronic obstructive pulmonary disease|chronic obstructive airways disease]]
COCP,combined oral contraceptive pill,[[combined oral contraceptive pill]]
COH,controlled ovarian hyperstimulation,[[controlled ovarian hyperstimulation]]
COLD,chronic obstructive lung disease,[[chronic obstructive lung disease]]
Comp,compound,[[compounding|compound]]
Conj,conjunctiva,[[conjunctiva]]
COP,cryptogenic organizing pneumonitis,[[cryptogenic organizing pneumonitis]]
COPD,chronic obstructive pulmonary disease,[[chronic obstructive pulmonary disease]]
COX-1,cyclooxygenase 1,[[cyclooxygenase 1]]
COX-2,cyclooxygenase 2,[[cyclooxygenase 2]]
COX-3,cyclooxygenase 3,[[COX-3|cyclooxygenase 3]]
CP,cerebral palsy,[[cerebral palsy]] 
CP,chest pain, [[chest pain]] 
CP,constrictive pericarditis, constrictive pericarditis
CPAP,continuous positive airway pressure,[[continuous positive airway pressure]]
CPC,clinical–pathological conference,[[clinic]]al–[[Pathology|pathological]] conference
CPCR,"cardiopulmonary-cerebral resuscitation, a version of CPR","cardiopulmonary-cerebral resuscitation, a version of [[cardiopulmonary resuscitation|CPR]]"
CPD,cephalopelvic disproportion,cephalopelvic disproportion
CPE,Clostridium perfringens enterotoxin,''[[Clostridium perfringens]]'' enterotoxin 
CPE,cardiogenic pulmonary edema, [[cardiogenic pulmonary edema]] 
CPE,Carbapenemase producing Enterobacteriaceae, [[Carbapenemase producing ''Enterobacteriaceae'']]
CPG,clinical practice guideline,[[clinical practice guideline]]
CPK,creatine phosphokinase,[[creatine phosphokinase]]
CPKMB,creatine phosphokinase heart,[[creatine phosphokinase]] heart
CPP,cerebral perfusion pressure,[[cerebral perfusion pressure]]
CPPD,calcium pyrophosphate,[[calcium pyrophosphate]] 
CPR,cardiopulmonary resuscitation,[[cardiopulmonary resuscitation]]
CPT,Current Procedural Terminology,[[Current Procedural Terminology]]
CR,complete remission,[[remission (medicine)|complete remission]] (complete response) 
CR,controlled release, [[controlled release]]
Cr,creatinine,[[creatinine]]
CRC,colorectal cancer,[[colorectal cancer]]
CrCl,creatinine clearance,[[creatinine]] clearance 
CRD,chronic renal disease,[[chronic kidney disease|chronic renal disease]] 
CRD,circadian rhythm disorder, [[circadian rhythm sleep disorder|circadian rhythm disorder]]
CRE,carbapenem-resistant Enterobacteriaceae,[[carbapenem-resistant Enterobacteriaceae]]
Creat,creatinine,[[creatinine]]
CREST,"calcinosis, Raynaud esophagus, sclerosis, teleangiectasiae","[[CREST syndrome|calcinosis, Raynaud esophagus, sclerosis, teleangiectasiae]]"
CRF,chronic renal failure,[[chronic renal failure]] 
CRF,corticotropin-releasing factor, [[corticotropin-releasing factor]]
CrGN,crescentic glomerulonephritis,[[crescentic glomerulonephritis]]
CRH,corticotropin-releasing hormone,[[corticotropin-releasing hormone]]
CRI,chronic renal insufficiency,[[chronic renal insufficiency]]
Crike,Cricothyrotomy,[[Cricothyrotomy]]
CRISPR,clustered regularly interspaced short palindromic repeats,[[CRISPR|clustered regularly interspaced short palindromic repeats]]
Crit,hematocrit,[[hematocrit]]
CRL,crown-rump length,[[crown-rump length]]
CRNA,certified registered nurse anesthetist,[[certified registered nurse anesthetist]]
CRO,contract research organization,[[contract research organization]]
CRP,C-reactive protein,[[C-reactive protein]]
CRPC,castration-resistant prostate cancer,[[castration-resistant prostate cancer]]
CRPS,complex regional pain syndrome,[[complex regional pain syndrome]]
CRRT,continuous renal replacement therapy,[[continuous renal replacement therapy]]
CRS,congenital rubella syndrome,[[congenital rubella syndrome]]
CRSD,circadian rhythm sleep disorder,[[circadian rhythm sleep disorder]]
CRT,cardiac resynchronization therapy,cardiac resynchronization therapy ([[artificial pacemaker]]) 
CRT,chemoradiotherapy, [[chemoradiotherapy]] 
CRT,conformal radiotherapy (irradiated zone conforms to boundaries), conformal radiotherapy (irradiated zone conforms to boundaries) 
CRT,cathode ray tube, [[cathode ray tube]] 
CRT,capillary refill time, [[capillary refill|capillary refill time]] 
CRT,central retinal thickness, central [[retina]]l thickness
CRTx,chemoradiotherapy,[[chemoradiotherapy]]
CS,caesarean section,[[caesarean section]] 
CS,compartment syndrome, [[compartment syndrome]] 
CS,culture sensitivity, culture sensitivity 
CS,Churg-Strauss syndrome, [[eosinophilic granulomatosis with polyangiitis|Churg-Strauss syndrome]]
C/S,Caesarean section,[[Caesarean section]]
C&S,culture and sensitivity,culture and sensitivity ([[antibiogram]])
CsA,cyclosporin A,[[cyclosporin]] A
CSA,Controlled Substances Act,[[Controlled Substances Act]]
C-section,cesarean section,[[cesarean section]]
CSF,cerebrospinal fluid,[[cerebrospinal fluid]] 
CSF,colony-stimulating factor, [[colony-stimulating factor]]
CSME,clinically significant macular edema,clinically significant [[macular edema]]
CSOM,chronic suppurative otitis media,[[chronic suppurative otitis media]]
CSPC,community specialist palliative care,[[community specialist palliative care]]
C-spine,cervical spine,[[cervical spine]]
CSR,cumulative survival rate,[[survival rate|cumulative survival rate]]
C-SSRS,Columbia Suicide Severity Rating Scale,[[Columbia Suicide Severity Rating Scale]]
CSU,catheter specimen of urine,catheter specimen of urine
CST,contraction stress test,contraction stress test
CT,computed tomography,[[computed tomography]] 
CT,cervicothoracic, [[cervicothoracic]]
CTA,clear to auscultation,clear to [[auscultation]] 
CTA,computed tomography angiography, [[computed tomography angiography]]
CTAP,CT during arterial portography,CT during arterial [[portography]]
CTCAE,Common Terminology Criteria for Adverse Events,[[Common Terminology Criteria for Adverse Events]]
CTD,connective tissue disease,[[connective tissue disease]]
CTE,chronic traumatic encephalopathy,[[chronic traumatic encephalopathy]] 
CTE,coefficient of thermal expansion, [[coefficient of thermal expansion]]
CTO,chronic total occlusion,[[chronic total occlusion]] 
CTO,Community Treatment Order (psychiatric term for forced drugging outside hospital context), Community Treatment Order (psychiatric term for forced drugging outside hospital context)
CTP,cytosine triphosphate,[[Cytosine|cytosine triphosphate]] 
CTP,cytidine triphosphate, [[cytidine triphosphate]] 
CTP,Child-Turcotte-Pugh score, [[Child-Pugh score|Child-Turcotte-Pugh score]] 
CTP,clear to percussion, clear to [[percussion (medicine)|percussion]]
CTPA,computed tomographic pulmonary angiography,computed tomographic [[pulmonary angiography]]
CTPE,CT scan for pulmonary embolii,[[X-ray computed tomography|CT scan]] for [[pulmonary embolism|pulmonary embolii]]
CTR,carpal tunnel release,[[carpal tunnel surgery|carpal tunnel release]]
CTS,computed tomography scan,[[computed tomography]] scan  
CTS,Carpal Tunnel Syndrome, [[Carpal Tunnel Syndrome]]
CTU,cancer treatment unit,[[management of cancer|cancer treatment unit]]
CTx,chemotherapy,[[chemotherapy]]
CTX,ceftriaxone,[[ceftriaxone]] (a third-generation [[cephalosporin]] antibiotic) 
CTX,contractions, contractions 
CTX,chemotherapy, [[chemotherapy]]
CTZ,Chemoreceptor trigger zone,[[Chemoreceptor trigger zone]]
CUC,chronic ulcerative colitis,chronic [[ulcerative colitis]]
CV,cardiovascular,[[cardiovascular]]
CVA,cerebrovascular accident,[[Stroke|cerebrovascular accident]] 
CVA,costovertebral angle, [[costovertebral angle]]
CVAD,central venous access device,[[central venous access device]]
CVAT,costovertebral angle tenderness,[[costovertebral angle]] tenderness
CVC,central venous catheter,[[central venous catheter]] 
CVC,chronic venous congestion, [[chronic venous congestion]]
CVD,cardiovascular disease,[[cardiovascular disease]]
CVI,cerebrovascular incident,[[cerebrovascular incident]]
CVL,central venous line,[[central venous catheter|central venous line]]
CVP,central venous pressure,[[central venous pressure]]
CVS,chorionic villus sampling,[[chorionic villus sampling]] 
CVS,cardiovascular system, [[cardiovascular system]]
CVID,common variable immunodeficiency,[[common variable immunodeficiency]]
c/w,consistent with,consistent with
CWP,coal worker's pneumoconiosis,[[coal worker's pneumoconiosis]]
Cx,microbiological culture,[[microbiological culture]]
Cx,cervix,[[cervix]]
CXR,chest x-ray,chest x-ray ([[chest radiograph]])
D5,5% dextrose,5% [[Glucose|dextrose]]
D25,25% dextrose injections,25% [[Glucose|dextrose]] injections
D4T,stavudine,stavudine
D5W,5% dextrose in water - IV fluids for intravenous therapy,5% [[Glucose|dextrose]] in water - [[Intravenous therapy#IV fluids|IV fluids for intravenous therapy]]
d,day(s),day(s)
DA,dopamine,[[dopamine]]
DAEC,diffusely adherent Escherichia coli,diffusely adherent ''[[Escherichia coli]]''
DAF,decay accelerating factor,decay accelerating factor
DAI,diffuse axonal injury,[[diffuse axonal injury]]
DALY,disability-adjusted life year,[[disability-adjusted life year]]
DAPT,dual anti-platelet therapy,[[Management of acute coronary syndrome|dual anti-platelet therapy]]
DBP,diastolic blood pressure,[[diastolic blood pressure]]
DBS,deep brain stimulation,[[deep brain stimulation]]
D&C,dilatation and curettage,[[dilatation and curettage]]
D/C,discharge,discharge 
D/C,discontinue, discontinue
DCBE,double contrast barium enema,[[Contrast medium#Negative Contrast Media|double contrast barium enema]]
DCD,donation after cardiac death,donation after cardiac death
DCCV,direct current cardioversion,direct current cardioversion
DCIS,ductal carcinoma in situ,[[ductal carcinoma]] in situ
DCM,dilated cardiomyopathy,[[dilated cardiomyopathy]]
DD,differential diagnosis,[[differential diagnosis]]
DDAVP,desmopressin acetate,desmopressin acetate
DDC,zalcitabine,zalcitabine
DDD,daily defined doses,[[daily defined doses]] 
DDD,Degenerative disk disease, Degenerative disk disease
DDH,developmental hip dysplasia,developmental hip dysplasia
DDI,didanosine,didanosine
DDx,differential diagnosis,[[differential diagnosis]]
D&E,dilatation and evacuation,[[Dilation and evacuation|dilatation and evacuation]]
DES,diethylstilbestrol,[[diethylstilbestrol]] 
DES,Drug-Eluting stent,[[Drug-Eluting stent]]
DEXA,Dual energy X-ray absorptiometry,[[Dual energy X-ray absorptiometry]]
DH,developmental history,developmental history 
DH,"Department of Health, a branch of government"," [[Department of Health (United Kingdom)]], a branch of government"
DHE,dihydroergotamine,[[dihydroergotamine]]
DHEA-S,dehydroepiandrosterone sulphate,[[Dehydroepiandrosterone|dehydroepiandrosterone sulphate]]
DHF,decompensated heart failure,decompensated [[heart failure]]
DHR,dihydrorhodamine,dihydrorhodamine
DHT,dihydrotestosterone,dihydrotestosterone
DHT,Dobhoff Tube,[[Nasogastric intubation|Dobhoff Tube]]
DI,diabetes insipidus,[[diabetes insipidus]]
DIB,dead in bed,[[dead in bed]] 
DIB,difficulty in breathing, [[difficulty in breathing]]
DIC,disseminated intravascular coagulation,[[disseminated intravascular coagulation]]
DICVP,"Diplomat, International College of Veterinary Pharmacy","Diplomat, International College of Veterinary Pharmacy"
Di-Di,dichromatic diamnionic twins,dichromatic diamnionic twins
DIL,drug-induced lupus,drug-induced lupus
DILI,drug-induced liver injury,drug-induced [[liver]] injury
DiPerTe,diphtheria-pertussis-tetanus,[[diphtheria]]-[[pertussis]]-[[tetanus]] (combined vaccination)
Dis,dislocation,dislocation
Disch,discharge,discharge
DiTe,diphtheria-tetanus,[[diphtheria]]-[[tetanus]] (combined vaccination)
DIU,death in utero,death [[Uterus|in utero]] ([[stillbirth]])
DJD,degenerative joint disease,degenerative joint disease ([[osteoarthritis]])
DKA,diabetic ketoacidosis,[[diabetic ketoacidosis]]
dl,deciliter,deciliter
dL,deciliter,deciliter
DLB,dementia with Lewy bodies,[[dementia with Lewy bodies]]
DLCO,diffusing capacity of the lung for carbon monoxide,[[DLCO|diffusing capacity of the lung for carbon monoxide]]
DLE,disseminated lupus erythematosus,disseminated lupus erythematosus ([[systemic lupus erythematosus]])
DLI,donor lymphocyte infusion,[[donor lymphocyte infusion]]
DM,"diabetes mellitus, Dermatomyositis","[[diabetes mellitus]], Dermatomyositis"
DM2,"Type two diabetes mellitus, formerly known as Non-Insulin Dependent Diabetes Mellitus.","Type two [[diabetes mellitus]], formerly known as Non-Insulin Dependent Diabetes Mellitus (NIDDM)."
DMARD,disease-modifying antirheumatic drug,[[disease-modifying antirheumatic drug]]
DMD,Duchenne muscular dystrophy;,[[Duchenne muscular dystrophy]]; 
DMD,"Dentariae Medicinae Doctor, that is, Doctor of Dental Medicine"," [[Doctor of Dental Medicine|Dentariae Medicinae Doctor, that is, Doctor of Dental Medicine]]"
DMPA,depot medroxyprogesterone acetate,depot medroxyprogesterone acetate
DMSA,dimercaptosuccinic acid,dimercaptosuccinic acid
DMT,dimethyltryptamine,dimethyltryptamine
DNA,deoxyribonucleic acid,[[DNA|deoxyribonucleic acid]]
DNACPR,do not attempt cardiopulmonary resuscitation,do not attempt cardiopulmonary resuscitation
DNI,do not intubate,[[do not resuscitate|do not intubate]]
DNR,do not resuscitate,[[do not resuscitate]]
DNAR,do not attempt resuscitation,[[do not resuscitate|do not attempt resuscitation]]
DO,Doctor of Osteopathic Medicine,[[Doctor of Osteopathic Medicine]]
D/O,"died of, disorder","died of, disorder"
DOA,dead on arrival,[[dead on arrival]] 
DOA,drugs of abuse, drugs of abuse
DOB,difficulty of breathing,difficulty of breathing 
DOB,Date of birth, [[Date of birth]]
DOE,dyspnea on exertion,[[dyspnea on exertion]]
DOH,Department of Health,Department of Health
DOL,day of life,day of life
DOS,date of service,date of service
DOSS,docusate sodium; from the chemical name dioctyl sodium sulfosuccinate,[[docusate sodium]]; from the chemical name dioctyl sodium sulfosuccinate
DP,dorsalis pedis,[[dorsalis pedis]]
DPH,diphenylhydantoin,[[Phenytoin|diphenylhydantoin]]
DPL,diagnostic peritoneal lavage,[[diagnostic peritoneal lavage]]
DPLD,diffuse parenchymal lung disease,[[interstitial lung disease|diffuse parenchymal lung disease]]
DPM,Doctor of Podiatric Medicine,[[Doctor of Podiatric Medicine]]
DPT,diphtheria-pertussis-tetanus,[[diphtheria]]-[[pertussis]]-[[tetanus]] ([[DPT vaccine]])
DRE,Digital Rectal Examination,[[Rectal examination|Digital Rectal Examination]]
DRPLA,Dentatorubral-Pallidoluysian Atrophy,[[Dentatorubral-pallidoluysian atrophy|Dentatorubral-Pallidoluysian Atrophy]]
DRT,dead right there,dead right there
DS,disease,[[disease]] 
DS,Down syndrome, [[Down syndrome]] (trisomy 21)
DSA,digital subtraction angiography,[[digital subtraction angiography]] 
DSA,Donor specific antibody, Donor specific antibody
DSD,dry sterile dressing,dry sterile [[Dressing (medical)|dressing]]
Dsg,dressing,[[Dressing (medical)|dressing]]
DSM,Diagnostic and Statistical Manual of Mental Disorders,[[Diagnostic and Statistical Manual of Mental Disorders]]
dsRNA,double-stranded RNA,double-stranded [[RNA]]
DT,diphtheria-tetanus,[[diphtheria]]-[[tetanus]] (combined vaccination) 
DT,delirium tremens, [[delirium tremens]]
D/T,due to,due to
DTA,descending thoracic aorta,descending [[thoracic aorta]]
DTaP,diphtheria–tetanus–acellular pertussis,[[diphtheria]]–[[tetanus]]–acellular [[pertussis]] (combined vaccination)
DTP,diphtheria-tetanus-pertussis,[[diphtheria]]-[[tetanus]]-[[pertussis]] (combined vaccination)
DTR,deep tendon reflex,deep tendon [[reflex]]
DTs,delirium tremens,[[delirium tremens]]
