LF1|LF2|Synonym
cross-polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|cross polarisation magic-angle-spinning nuclear magnetic resonance spectroscopy|
American Society of Anesthesiologists grade 5|American Society of Anaesthesiology Grade 5|
transforming growth factor-beta type II receptor|type II transforming growth factor-beta receptor|
G protein βγ subunit|G protein β-γ subunit|
anti-beta-2-glycoprotein I antibody|anti-β2-glycoprotein-I antibody|
death associated protein kinase|death-associated protein-kinase|
anti-beta(2)-glycoprotein 1 antibody|anti-beta (2)-glycoprotein I antibody|
peroxisome-proliferator-activated receptor γ coactivator-1 α|peroxisome proliferator-activated receptor γ co-activator-1 α|
days post inoculation|days postinfection|
Toll-interleukin 1 receptor domain-containing adapter-inducing interferon beta|toll/interleukin-1 receptor domain-containing adapter-inducing interferon beta|
anti-beta2 glycoprotein-I antibody|anti-β2 glycoprotein-I antibody|
Toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|Toll-interleukin 1 receptor domain-containing adapter-inducing interferon-beta|
anti-beta2 glycoprotein I antibody|anti-β 2-glycoprotein I antibody|
multifluor fluorescence in situ hybridization|multicolour fluorescence in situ hybridisation|
3β-hydroxy steroid dehydrogenase deficiency|3-beta-hydroxysteroid dehydrogenase deficiency|
cross-polarization magic-angle spinning nuclear magnetic resonance|cross-polarization magic angle spinning nuclear magnetic resonance|
New Delhi metallo-β-lactamase-2|New Delhi metallo-β-lactamase 2|
Wechsler Intelligence Scale for Children-3rd Edition|Wechsler Intelligence Scale for Children, 3rd Edition|
acetyl-leucinyl-leucinyl-methional|acetyl-leucyl-leucyl-methional|
T-cell-receptor β-chain variable region|T cell receptor β chain variable region|
toll-interleukin 1 receptor domain-containing adapter-inducing interferon beta|toll-interleukin-1 receptor domain-containing adaptor inducing IFN-beta|
antiherpes simplex virus type 1|anti-herpes simplex virus type 1|
p-nitrophenyl phosphate|nitrophenylphosphate|
interleukine 2 receptor α-chain|interleukin 2 receptor α-chain|
3beta-hydroxy steroid-dehydrogenase deficiency|3-beta-hydroxysteroid dehydrogenase deficiency|
inhibitor-κB-α|inhibitor κ-B α|
ERβ knock out mouse|ER β knock-out mouse|
insulin-like growth factor II mRNA-binding protein-2|insulin-like growth factor-II messenger RNA binding protein-2|
interleukin 2 receptor common γ chain|interleukine-2 receptor common γ-chain|
Rho-guanine nucleotide dissociation inhibitor 1|Rho-guanine nucleotide dissociation inhibitor-1|
latent transforming growth factor beta-binding protein 1|latent transforming growth factor β binding protein-1|
crosspolarization/magic angle spinning nuclear magnetic resonance spectroscopy|cross polarization/magic-angle spinning nuclear magnetic resonance spectroscopy|
anti-β2 glycoprotein I antibody|anti-beta-2 glycoprotein-1 antibody|
Epstein-Barr virus immortalized cell|Epstein-Barr virus-immortalised cell|
transforming growth factor-beta receptor type I|transforming growth factor-β receptor 1|
Toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|toll-interleukin 1 receptor domain-containing adapter-inducing interferon β|
α-2 macroglobulin|α 2-macroglobulin|
anti-T-cell receptor-α/β monoclonal antibody|anti-T-cell receptor α β monoclonal antibody|
insulin-like growth factor-II messenger RNA binding protein 2|insulin-like growth factor II messenger RNA-binding protein-2|
β 2 glycoprotein I|β-2-glycoprotein 1|
dinitrogen|di-nitrogen|
iodine 123-labelled|iodine-123-labeled|
neuronal precursor cell-expressed developmentally downregulated 4|neural-precursor-cell-expressed developmentally downregulated 4|
phospholipase C-γ2|phospholipase Cgamma-2|
T cell receptor γδ-positive|T-cell-receptor γ δ-positive|
toll-interleukin1 receptor domain-containing adapter-inducing interferon β|toll-interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
platelet-derived growth factor-B chain|platelet-derived growth factor B chain|
interleukine 13 receptor α 2 chain|interleukine 13 receptor α2-chain|
American Society of Anaesthesiologists Class 1|American Society of Anesthesiologists Status 1|
cross polarization/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarization magic angle spinning nuclear magnetic resonance spectroscopy|
G protein β-γ subunit|G protein βgamma subunit|
glial cell derived neurotrophic factor|glial cell line derived neurotrophic factor|
cytosolic phospholipase A(2)-α|cytosolic phospholipase A(2)alpha|
galactorrhea-amenorrhœa hyperprolactinaemia syndrome|galactorrhea-amenorrhea hyperprolactinæmia syndrome|
interleukin 13 receptor-α 2 subunit|interleukin-13 receptor α2 subunit|
β APP-cleaving enzyme 2|beta-APP-cleaving enzyme-2|
gamma-aminobutyric acid A-benzodiazepine receptor complex|gamma-aminobutyric acid A/benzodiazepine receptor complex|
polymerase-λ|polymerase λ|
American Society of Anesthesiology Grade 1|American Society of Anaesthesiology class I|
American Society of Anesthesiology Class 1|American Society of Anesthesiologists Grade 1|
β-amyloid precursor protein-cleaving enzyme-1|beta-amyloid precursor protein-cleaving enzyme 1|
anti-T-cell receptor α/β monoclonal antibody|anti-T-cell receptor alpha/beta monoclonal antibody|
luteinising-hormone-releasing-hormone|luteinizing hormone releasing hormone|
toll-interleukin1 receptor domain-containing adapter-inducing interferon-beta|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
anti-β(2) glycoprotein I antibody|anti-β2-glycoprotein-I antibody|
anti-tubercular therapy|anti-tuberculosis therapy|
procollagen I C-terminal peptide|procollagen I C-terminal propeptide|
dimethylaminophenol|4-Dimethylaminophenol|
interleukine-13 receptor alpha1 chain|interleukin-13 receptor α1-chain|
latent transforming growth factor-beta binding protein 1|latent transforming growth factor β-binding protein-1|
anti-β-2 glycoprotein-1 antibody|anti-beta(2)-glycoprotein 1 antibody|
American Society of Anaesthesiologists class 2|American Society of Anesthesiologists class II|
growth-hormone releasing hormone|growth hormone-releasing hormone|
beta site amyloid precursor protein cleaving enzyme 1|beta-amyloid precursor protein cleaving enzyme-1|
forkhead box class O1|forkhead box O-1|
anti-β 2 glycoprotein 1 antibody|anti-beta2-glycoprotein-I antibody|
retinoic acid receptor-related orphan receptor γT|retinoic acid receptor-related orphan receptor γ-t|
pre-interleukin-1α|pre-interleukin-1 α|
Non-weight-bearing|nonweightbearing|
anti-β (2)-glycoprotein I antibody|anti-β2 glycoprotein I antibody|
stromal-derived factor-1 α|stromal derived factor 1 α|
β2-glycoprotein I|β 2 glycoprotein 1|
anti-β (2)-glycoprotein I antibody|anti-β(2) glycoprotein-I antibody|
anti-beta-2 glycoprotein-I antibody|anti-β2-glycoprotein-I antibody|
L-Dopa induced dyskinesia|l-DOPA induced dyskinesia|
anti-β-2-glycoprotein-1 antibody|anti-β-2-glycoprotein I antibody|
CC chemokine receptor 3|C-C chemokine receptor 3|
American Society of Anesthesiologists grade 5|American Society of Anaesthesiologists physical status 5|
retinoic acid receptor-related orphan receptor γ-t|retinoic acid receptor-related orphan receptor gammat|
antiIL-3 antibody|anti-IL-3 antibody|
multilocus variable number tandem repeat analysis|multi-locus variable-number tandem-repeat analysis|
extracellular signal-regulated kinases|extracellular signal-regulated kinase-1 and -2|
cross polarisation/magic-angle-spinning nuclear magnetic resonance|cross-polarization magic angle spinning nuclear magnetic resonance|
interleukin 7 receptor α subunit|interleukine 7 receptor α chain|
Toll-interleukin1 receptor domain-containing adapter inducing interferon beta|toll/interleukin 1 receptor domain-containing adapter-inducing interferon beta|
American Society of Anesthesiologists grade 4|American Society of Anaesthesiologists physical status 4|
T-cell receptor gamma delta-positive|T-cell receptor-gammadelta-positive|
tumor necrosis factor-α|tumor necrosis factor α|
anti-β 2 glycoprotein 1 antibody|anti-beta 2-glycoprotein I antibody|
oestrogen receptor-α knock out|estrogen receptor-α knock-out|
cerebrovascular disease|cerebrovascular disorder|
glycosyl-phosphatidyl inositol anchored|glycosylphosphatidylinositol anchored|
retinoic-acid-receptor-related orphan receptor gamma-T|retinoic-acid-receptor-related orphan receptor γ t|
ferredoxin-NADP(+) oxidoreductase|ferredoxin NADPH reductase|
interleukine-13 receptor α1|interleukine-13 receptor alpha1|
Toll/interleukin-1 receptor domain-containing adaptor inducing IFN-beta|Toll-interleukin1 receptor domain-containing adapter-inducing interferon beta|
anti-β2-glycoprotein-1 antibody|anti-beta 2-glycoprotein I antibody|
T-cell-receptor γ δ cell|T-cell receptor γ δ cell|
IL-2 receptor α chain|IL2 receptor α-chain|
phospho-glycogen synthase kinase 3beta|phospho-glycogen synthase kinase 3β|
no observed effect level|no-observed-effect levels|
beta-amyloid precursor protein-cleaving enzyme|β-amyloid precursor protein-cleaving enzyme|
beta site APP-cleaving enzyme 1|β site APP cleaving enzyme 1|
interleukine-13 receptor α 2 chain|interleukin-13 receptor α2 subunit|
phosphorylated glycogen synthase kinase-3 β|phosphorylated glycogen synthase kinase 3β|
anti-beta (2)-glycoprotein I antibody|anti-β 2-glycoprotein I antibody|
Toll/interleukin 1 receptor domain-containing adapter-inducing interferon-β|Toll-interleukin 1 receptor domain-containing adapter-inducing interferon β|
T-cell-receptor-γδ-positive|T-cell-receptor-γ δ-positive|
peroxisome proliferator activated receptor-γ-2|peroxisome proliferator-activated receptor gamma 2|
beta site amyloid precursor protein cleaving enzyme 1|beta-site amyloid precursor protein-cleaving enzyme 1|
beta amyloid precursor protein cleaving enzyme-1|beta-amyloid precursor protein-cleaving enzyme-1|
latent TGFβ binding protein-1|latent TGF-β binding protein-1|
peroxisome proliferator-activated receptor-gamma|peroxisome proliferator-activated receptor γ|
American Society of Anesthesiology class II|American Society of Anesthesiology Class II|
anti-beta (2)-glycoprotein-I antibody|anti-beta(2)-glycoprotein 1 antibody|
β-2 microglobulin|β (2) microglobulin|
anti-beta2 glycoprotein-I antibody|anti-beta 2-glycoprotein-I antibody|
peroxisome-proliferator-activated receptor-gamma co-activator 1 alpha|peroxisome-proliferator-activated receptor-γ co-activator 1α|
peroxisome proliferator-activated receptor gamma 2|peroxisome proliferator-activated receptor-γ 2|
light-harvesting chlorophyll a/b protein I|light harvesting chlorophyll a/b-protein I|
T-cell-receptor gamma delta-positive|T-cell-receptor γ δ-positive|
retinoic acid receptor-related orphan receptor gamma T|retinoic acid receptor-related orphan receptor γ t|
interferon-γ-1b|interferon-γ1b|
Toll-interleukin-1 receptor domain-containing adaptor inducing IFN-beta|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon beta|
cross polarisation/magic-angle spinning nuclear magnetic resonance|cross-polarisation/magic angle spinning nuclear magnetic resonance|
anti-beta2 glycoprotein-1 antibody|anti-β-2 glycoprotein I antibody|
anti-beta(2) glycoprotein I antibody|anti-β-2-glycoprotein I antibody|
fluorine-18-labeled fluorodeoxyglucose|fluorine 18-labelled fluorodeoxyglucose|
interleukin-1β receptor|interleukine-1β receptor|
insulin-like growth factor-II mRNA binding protein-3|insulin-like growth factor-II messenger RNA-binding protein-3|
anti-T-cell receptor-α/β monoclonal antibody|anti-T cell receptor alpha/beta monoclonal antibody|
human T cell lymphotropic virus type 1-associated|human T cell lymphotropic virus type I-associated|
immunoglobulin G κ chain|immunoglobulin G kappa chain|
poly adenosine diphosphate-ribose polymerase|poly-adenosine-diphosphate-ribose polymerase|
interleukine 13 receptor α2 chain|interleukine 13 receptor-α 2 subunit|
American Society of Anesthesiology Class II|American Society of Anesthesiology Grade II|
platelet-derived growth factor-β receptor|platelet-derived growth factor beta receptor|
inhibitor κB-α|inhibitor κB α|
peroxisome-proliferator-activated receptor-gamma coactivator 1alpha|peroxisome proliferator-activated receptor-gamma co-activator 1 alpha|
video-assisted thoracoscopy|Video-assisted thoracoscopy|
peroxisome-proliferator-activated receptor-gamma co-activator 1 alpha|peroxisome proliferator-activated receptor gamma coactivator-1 alpha|
anti-proteinase 3|anti-proteinase III|
peroxisome-proliferator-activated receptor-γ coactivator-1α|peroxisome-proliferator-activated receptor gamma coactivator-1 alpha|
interferon-inducible T cell α-chemoattractant|interferon-inducible T cell alpha-chemoattractant|
tumour-necrosis factor α|tumor necrosis factor alpha|
apolipoprotein-A-I-mediated|apolipoprotein A-1-mediated|
American Society of Anesthesiologists status 4|American Society of Anesthesiology Grade IV|
anti-β(2) glycoprotein I antibody|anti-β-2-glycoprotein-I antibody|
melanoma differentiation-associated gene 5|melanoma-differentiation-associated gene 5|
interleukine-13 receptor alpha1|interleukine-13 receptor alpha1 subunit|
inhibitor-κ-B-alpha|inhibitor κB alpha|
fanbeam dual energy X-ray absorptiometry|fanbeam dual-energy X-ray absorptiometry|
anti-T-cell receptor alpha beta monoclonal antibody|anti-T-cell receptor-alpha beta monoclonal antibody|
toll-interleukin-1 receptor domain-containing adapter-inducing interferon-beta|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
phospho-glycogen synthase kinase-3β|phosphorylated glycogen synthase kinase-3β|
retinoic-acid-receptor-related orphan receptor gamma T|retinoic acid receptor-related orphan receptor gammat|
non-Hodgkin's lymphomas|nonHodgkin lymphoma|
latent transforming growth factor β binding protein-1|latent transforming growth factor-beta binding protein-1|
anti-T-cell receptor α/β antibody|anti-T-cell receptor-αβ antibody|
receptor-like protein tyrosine phosphatase-κ|receptor protein tyrosine phosphatase-κ|
Toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|toll-interleukin1 receptor domain-containing adapter-inducing interferon β|
trans-jugular intrahepatic portosystemic shunt|transjugular intra-hepatic porto-systemic shunting|
inhibitor-κB alpha|inhibitor-κ B alpha|
interleukine 7 receptor α chain|interleukine-7 receptor α-chain|
interleukin-4 receptor α subunit|interleukine 4 receptor-α subunit|
a disintegrin and metalloproteinase-29|A disintegrin and metalloprotease-29|
Ramaria flavobrunnescens|Ramaria flavo-brunnescens|
American Society of Anesthesiology Class 4|American Society of Anaesthesiologists grade 4|
GTP-binding protein βgamma-subunit|GTP-binding protein β-γ subunit|
GTP-binding protein β-γ-subunit|GTP binding protein βgamma subunit|
β 2-glycoprotein-I|β 2 glycoprotein I|
peroxisome proliferator-activated receptor-γ co-activator-1|peroxisome proliferator activated receptor gamma co-activator-1|
interferon-α-2b-induced|interferon α-2b-induced|
peroxisome-proliferator-activated receptor gamma coactivator-1alpha|peroxisome proliferator-activated receptor-gamma co-activator 1 alpha|
beta-amyloid precursor protein-cleaving enzyme-1|β amyloid precursor protein cleaving enzyme 1|
American Society of Anaesthesiology status 5|American Society of Anesthesiology class V|
American Society of Anaesthesiology Class 1|American Society of Anesthesiology Grade I|
type II transforming growth factor-beta receptor|transforming growth factor beta type II receptor|
interleukin 13 receptor α 2 subunit|interleukin 13 receptor α 2 chain|
inhibitor-κB beta|inhibitor-κ B beta|
peroxisome proliferator-activated receptor-gamma co-activator-1alpha|peroxisome-proliferator-activated receptor γ coactivator 1α|
sodium coupled neutral amino acid transporter-1|sodium coupled neutral amino acid transporter 1|
transforming growth factor beta receptor type II|transforming growth factor β receptor type II|
cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross-polarization/magic angle spinning nuclear magnetic resonance spectroscopy|
human transforming growth factor-beta 2|human transforming growth factor β2|
anti-beta-2 glycoprotein-I antibody|anti-beta 2 glycoprotein-I antibody|
alpha thalassemia/mental retardation syndrome X-linked|α-thalassemia/mental retardation syndrome X-linked|
insulin-like growth factor-I-treated|insulin-like growth factor I treated|
transforming growth factor-beta-activated kinase 1|transforming growth factor-β activated kinase-1|
ace inhibitor (angiotensin converting enzyme inhibitor)|angiotensin converting-enzyme inhibitor|
anti-β2 glycoprotein-1 antibody|anti-beta(2) glycoprotein-I antibody|
shiga-like toxin-1|shiga-like toxin-I|
programmed-temperature vapourizer|programmed temperature vaporisation|
peroxisome proliferator-activated receptor-γ co-activator-1 α|peroxisome-proliferator-activated receptor-gamma coactivator 1 alpha|
anti-β 2-glycoprotein-I antibody|anti-beta-2 glycoprotein I antibody|
toll-interleukin1 receptor domain-containing adapter inducing interferon beta|toll/interleukin1 receptor domain-containing adapter-inducing interferon-β|
peroxisome-proliferator-activated receptor gamma coactivator 1 alpha|peroxisome-proliferator-activated receptor-gamma co-activator 1alpha|
latent transforming growth factor β-binding protein 1|latent transforming growth factor β binding protein 1|
Transforming growth factor-betas|transforming growth factor-beta|
anti-TCR α/β monoclonal antibody|anti-TCR-αβ monoclonal antibody|
beta amyloid precursor protein-cleaving enzyme 1|beta-amyloid precursor protein cleaving enzyme 1|
recombinant human transforming growth factor-β2|recombinant human transforming growth factor β 2|
interleukin-13 receptor alpha1-chain|interleukine-13 receptor α-1 chain|
anti-β-2-glycoprotein-1 antibody|anti-β (2)-glycoprotein-I antibody|
phosphorylated glycogen synthase kinase-3 β|phospho-glycogen synthase kinase 3β|
inhibitor-κ B β|inhibitor κ B-β|
β amyloid precursor protein cleaving enzyme 2|β-amyloid precursor protein-cleaving enzyme-2|
interferon alpha-2b-induced|interferon-alpha2b-induced|
interleukine 13 receptor α 2 subunit|interleukine-13 receptor-α 2 subunit|
American Society of Anesthesiologists status 2|American Society of Anaesthesiologists Class 2|
peroxisome-proliferator-activated receptor gamma coactivator-1alpha|peroxisome proliferator-activated receptor-γ co-activator 1α|
T cell receptor-γδ-positive|T cell receptor γδ-positive|
α1a adrenergic receptor|alpha1A adrenergic receptor|
estrogen receptor β knock-out|oestrogen receptor β knock-out|
Ras GTPase activating protein|ras GTPase activating protein|
β-2-glycoprotein-I|β 2-glycoprotein I|
anti-β2 glycoprotein I antibody|anti-β-2-glycoprotein 1 antibody|
β-site amyloid precursor protein-cleaving enzyme 2|beta-site amyloid precursor protein-cleaving enzyme 2|
glycosylphosphatidyl inositol linked|glycophosphatidylinositol-linked|
estrogen receptor-β knock out|estrogen receptor β knock out|
cross polarisation magic-angle-spinning nuclear magnetic resonance|cross-polarisation/magic angle spinning nuclear magnetic resonance|
beta-site APP cleaving enzyme-1|β-site APP-cleaving enzyme 1|
healthcare-associated infection|healthcare acquired infection|
phospholipase Cβ(3)|phospholipase C-β3|
inhibitor κB-alpha|inhibitor-κBalpha|
neural-precursor-cell-expressed developmentally downregulated 8|neural precursor cell-expressed developmentally down-regulated 8|
anti-beta-2-glycoprotein I antibody|anti-β-2 glycoprotein-I antibody|
anti-beta-2-glycoprotein I antibody|anti-beta 2-glycoprotein I antibody|
anti-beta-2-glycoprotein-I antibody|anti-β2 glycoprotein-1 antibody|
anti-β (2)-glycoprotein I antibody|anti-beta2 glycoprotein 1 antibody|
cellular retinoic acid binding protein|retinoic acid binding protein|
3-methoxy-4-hydroxy phenylglycol|3-methoxy-4-hydroxyphenyl glycol|
anti-β 2 glycoprotein 1 antibody|anti-β-2 glycoprotein-1 antibody|
beta adrenergic receptor kinase|β adrenergic receptor kinase|
interleukin-1-beta|interleukin 1beta|
toll-interleukin1 receptor domain-containing adapter inducing interferon β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon-beta|
cause specific survival|cause-specific survival|
peroxisome proliferator-activated receptor-γ2|peroxisome proliferator activated receptor-γ-2|
glycosyl-phosphatidyl inositol-anchored|glycosylphosphatidyl-inositol-anchored|
T-cell-receptor gamma delta-positive|T cell receptor-gamma delta-positive|
chondroitinsulfate A|chondroitin-4-sulfate|
anti-β(2)-glycoprotein I antibody|anti-beta(2) glycoprotein-I antibody|
anti-β-2-glycoprotein-I antibody|anti-β-2 glycoprotein 1 antibody|
peroxisome proliferator-activated receptor γ co-activator-1α|peroxisome proliferator-activated receptor gamma co-activator 1 alpha|
anti-T-cell receptor αβ antibody|anti-T-cell receptor-α/β antibody|
matrix-assisted laser desorption ionization time of flight mass spectrometry|matrix assisted laser desorption/ionization time-of-flight mass spectrometry|
L-Dihydroxyphenylalanine|levo-dihydroxyphenylalanine|
anti-beta (2)-glycoprotein-I antibody|anti-β-2-glycoprotein I antibody|
anti-β-2-glycoprotein I antibody|anti-beta 2-glycoprotein I antibody|
anti-beta-2 glycoprotein-I antibody|anti-β (2)-glycoprotein-I antibody|
alpha-methyl-acyl-coenzyme-A racemase|alpha-methyl-acyl-coenzyme A racemase|
peroxisome proliferator activated receptor gamma 2|peroxisome proliferator activated receptor gamma-2|
peroxisome proliferator-activated receptor-γ coactivator 1 α|peroxisome proliferator-activated receptor gamma coactivator 1alpha|
polyethyleneglycol 8000|polyethyleneglycol|
American Society of Anaesthesiologists Grade II|American Society of Anaesthesiologists Status 2|
peroxisome proliferator-activated receptor-γ co-activator-1 α|peroxisome proliferator-activated receptor-gamma co-activator-1alpha|
α-tocopherol|α tocopherol|
hemoglobin S beta thalassemia|haemoglobin S/β-thalassaemia|
T cell receptor-gammadelta-positive|T-cell receptor-gamma delta-positive|
hydroxy-apatite|hydroxyapatite|
inhibitor-κ B β|inhibitor κB β|
transforming growth factor β-activated kinase 1-binding protein-1|transforming growth factor-beta-activated kinase 1-binding protein-1|
fluorine-18 labeled fluoro-deoxy-glucose|fluorine-18 labelled fluoro-deoxyglucose|
recombinant human transforming growth factor beta 3|recombinant human transforming growth factor-beta 3|
anti-β-2-glycoprotein-1 antibody|anti-beta 2-glycoprotein-I antibody|
β-2-glycoprotein-I|β 2 glycoprotein I|
corticotropin releasing hormone receptor type-2|corticotrophin-releasing-hormone receptor 2|
β 2-glycoprotein-I|β2-glycoprotein I|
bcl2 associated X protein|bcl-2-associated X protein|
anti-beta2 glycoprotein-I antibody|anti-β2 glycoprotein 1 antibody|
T-cell-receptor gamma delta-positive|T-cell receptor-gammadelta-positive|
insulin-like growth factor II messenger RNA-binding protein-2|insulin-like growth factor-II mRNA binding protein 2|
recombinant human transforming growth factor-β|recombinant human transforming growth factor-beta|
anti-beta2-glycoprotein-1 antibody|anti-β-2 glycoprotein 1 antibody|
anti-beta2 glycoprotein I antibody|anti-β-2 glycoprotein-I antibody|
recombinant human transforming growth factor β1|recombinant human transforming growth factor-β1|
choroidal endothelial cell|corneal endothelial cell|
retinoic acid receptor-related orphan receptor γ|retinoic-acid-receptor-related orphan receptor gamma|
anti-beta2 glycoprotein-1 antibody|anti-β(2)-glycoprotein 1 antibody|
ataxia-telangiectasia-mutated gene|ataxia-telangiectasia gene|
peroxisome proliferator-activated receptor-gamma co-activator 1alpha|peroxisome proliferator-activated receptor-gamma coactivator-1alpha|
toll/interleukin-1 receptor domain-containing adaptor inducing IFN-β|Toll-interleukin1 receptor domain-containing adapter-inducing interferon-beta|
alcohol dehydrogenase 1|alcohol dehydrogenase|
amyloid β1-40|amyloid β 40|
IL-2 receptor α-chain|IL2 receptor α-chain|
peroxisome proliferator-activated receptor-γ2|peroxisome proliferator activated receptor-gamma-2|
lysine epsilon-aminotransferase|L-Lysine epsilon-aminotransferase|
phospholipase C β2|phospholipase C β 2|
American Society of Anesthesiologists grade 3|American Society of Anesthesiologists class 3|
stromal-derived factor-1 α|stromal-derived factor-1α|
university-affiliated Veteran's Affairs medical center|university affiliated Veterans Administration medical center|
anti-beta2-glycoprotein-1 antibody|anti-beta(2) glycoprotein-I antibody|
estrogen receptor α knockout mouse|oestrogen receptor-α knockout mouse|
anti-beta-2 glycoprotein-1 antibody|anti-β(2)-glycoprotein-I antibody|
type-2 corticotrophin-releasing hormone receptor|corticotrophin-releasing-hormone receptor type-2|
anti-β-2 glycoprotein-1 antibody|anti-β-2 glycoprotein-I antibody|
interferon-α-2b-induced|interferon-alpha-2b-induced|
orbitofrontal cortex|orbital frontal cortex|
human adenovirus D|human adenovirus type D|
interleukin-4 receptor-alpha chain|interleukine-4 receptor α chain|
B-cell leukemia lymphoma-2|B-cell leukaemia-lymphoma 2|
interleukine-11 receptor α|interleukin 11 receptor α chain|
receptor-like protein tyrosine phosphatase-alpha|receptor-like protein tyrosine phosphatase α|
interleukin-2 receptor α-chain|interleukine 2 receptor α|
American Society of Anaesthesiologists status II|American Society of Anaesthesiology physical status 2|
X-ray repair cross complementing group 1|x-ray cross-complementing group 1|
anti-human T cell lymphotropic virus type 1 antibody|anti-human T cell lymphotropic virus type I antibody|
interleukin 2 receptor α|interleukin 2 receptor-α|
retinoic-acid-receptor-related orphan receptor gammaT|retinoic acid receptor-related orphan receptor γ T|
ortho-phenylenediamine|o-phenylene diamine|
Toll-interleukin1 receptor domain-containing adapter-inducing interferon-beta|Toll-interleukin-1 receptor domain-containing adapter-inducing interferon beta|
IL-2 receptor α-chain|IL-2 receptor α|
interleukine-13 receptor α1 subunit|interleukine-13 receptor α1 chain|
platelet-derived-growth-factor β-receptor|platelet-derived growth factor beta-receptor|
tumor-necrosis factor α|tumor necrosis factor α|
oestrogen receptor α knock out|estrogen receptor-α knockout|
transforming growth factor β-1|transforming growth factor-β1|
inhibitor-κ B β|inhibitor-κB beta|
peroxisome proliferator-activated receptor γ coactivator 1 α|peroxisome-proliferator-activated receptor γ coactivator-1α|
ERβ knock out mouse|ERβ knock-out mouse|
anti-beta2-glycoprotein-1 antibody|anti-beta(2)-glycoprotein-I antibody|
cross polarisation magic-angle spinning nuclear magnetic resonance|cross-polarization magic-angle-spinning nuclear magnetic resonance|
glycogen synthase kinase 3alpha|glycogen synthase kinase 3α|
cytotoxic T lymphocyte antigen-2β|cytotoxic T lymphocyte antigen 2β|
interleukin 12 receptor β1 chain|interleukin-12 receptor β1 chain|
non-high density lipoprotein cholesterol|non-high-density-lipoprotein cholesterol|
inhibitor-κB-α|inhibitor-κB-alpha|
trans-oesophageal echocardiogram|transesophageal echocardiography|
N-ethyl maleimide|N-ethylmaleimide|
phospholipase C beta3|phospholipase Cbeta(3)|
chemokine receptor 2|CC chemokine receptor 2|
American Society of Anaesthesiologists Grade IV|American Society of Anaesthesiology status 4|
oculo-auriculo-vertebral|oculo-auricolo-vertebral|
anti-β(2)-glycoprotein 1 antibody|anti-beta2-glycoprotein 1 antibody|
cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross-polarisation magic-angle-spinning nuclear magnetic resonance spectroscopy|
peroxisome proliferator-activated receptor γ co-activator-1α|peroxisome proliferator-activated receptor gamma coactivator 1alpha|
IL-4R α chain|IL-4Rα chain|
IL-4 receptor α chain|IL4 receptor alpha chain|
polyethylene glycol-interferon alfa-2a|polyethylene glycol-interferon alpha-2a|
American Society of Anaesthesiologists Grade II|American Society of Anaesthesiologists grade 2|
T cell receptor γδ-positive|T-cell receptor-γ δ-positive|
anti-gelatine immunoglobulin G|antigelatin immunoglobulin G|
quasiphase-matched|quasi-phase-matched|
human transforming growth factor β1|human transforming growth factor-β(1)|
transforming growth factor-β-1|transforming growth factor beta 1|
fluorine-18 labelled fluorodeoxyglucose|fluorine 18 fluoro-deoxyglucose|
2-amino-3-methylimidazo [4,5-f]quinoline|2-amino-3-methylimidazo[4,5-f]-quinoline|
human T-cell leukemia virus type 1-infected|human T cell leukemia virus type-I-infected|
chondro-myxoid fibroma|chondromyxoid fibroma|
insulin-like growth factor 1 deficient|insulin-like growth factor 1-deficient|
interleukine 13 receptor α2-chain|interleukin-13 receptor α2-chain|
a disintegrin and metalloprotease-7|A disintegrin and metalloprotease-7|
inhibitor-κB|inhibitor-κ B|
anti-beta2 glycoprotein-1 antibody|anti-β (2)-glycoprotein-I antibody|
interleukine 2 receptor α-subunit|interleukine 2 receptor α chain|
T-cell receptor gamma delta-positive|T-cell-receptor-gamma delta-positive|
beta site amyloid precursor protein cleaving enzyme-1|beta-site amyloid precursor protein-cleaving enzyme 1|
recombinant human interleukin-1 β|recombinant human interleukin 1β|
peroxisome-proliferator-activated receptor-γ coactivator 1α|peroxisome proliferator-activated receptor-γ coactivator 1 α|
peroxisome proliferator-activated receptor gamma co-activator-1alpha|peroxisome proliferator-activated receptor-γ co-activator-1α|
anti-human T cell lymphotropic virus type I antibody|anti-human T-cell lymphotrophic virus type-1 antibody|
phospholipase Cγ1|phospholipase Cγ-1|
adducted thumb club foot syndrome|adducted thumb-clubfoot syndrome|
injection drug user|injecting drug user|
corticotropin releasing hormone receptor 2|corticotropin-releasing hormone receptor type-2|
T-cell receptor V α|T cell receptor V α|
carboxybenzyl-leucyl-leucyl-leucine vinyl sulphone|carboxybenzyl-leucyl-leucyl-leucine vinyl sulfone|
