LF1|LF2|Synonym
ribosomal protein gene|ribosomal protein L41|
neural-precursor cell-expressed developmentally down-regulated 9|neural precursor cell expressed, developmentally down-regulated 1|
cellular FADD-like IL-1beta-converting enzyme-like inhibitory protein|cellular FADD-like IL-1β-converting enzyme-like inhibitory protein|
Certified Medical Assistant|Certified Dental Assistant|
invariant T cell receptor Vα-14|invariant T-cell receptor Vα14|
mitogen activated protein kinase kinase 4|mitogen-activated protein kinase upstream kinase|
anti-Cyn d I monoclonal antibody|anti-IL-15 monoclonal antibody|
human immunodeficiency virus prevention program|human immunodeficiency virus risk reduction program|
Kruppel-like factor-3|kruppel-like factor-6|
anti-interleukin-12 monoclonal antibody|anti-IL-12 monoclonal antibody|
laceration|lactation|
subminimum inhibitory concentration|minimum inhibition concentration|
estradiol receptor tyrosine kinase|cKit receptor tyrosine kinase|
cluster of differentiation antigen 46|cluster of differentiation 11|
interleukin-3 receptor-α|interleukine-18 receptor-alpha|
enterochromaffin-like|enterochromaffin|
insulin-like growth factor-II messenger RNA binding protein|insulin-like growth factor II mRNA-binding protein-2|
a disintegrin and metalloprotease 11|A disintegrin and metalloprotease-23|
adenovirus type 5 E1B|adenovirus type 4|
phospholipase-Cβ|phospholipase Cγ1|
transient receptor potential vanilloid 6|transient receptor potential-like|
human adenovirus type 17|human adenovirus 51|
interleukine 13 receptor α2 chain|interleukine-3 receptor α chain|
5-hydroxytryptamine1B|5-hydroxytryptophane|
locking compression plate|Locking Compression Plate|
Mycobacterium phlei|Mycobacterium leprae|
potassium-chloride co-transporter|potassium chloride co-transporter 1|
colony-forming unit-granulocyte macrophage|colony-forming units-granulocyte-macrophage|
endothelial monocyte activating polypeptide-II|endothelial monocyte activating polypeptide 2|
cluster of differentiation antigen 89|cluster of differentiation antigen 36|
Exercise-induced anaphylaxis|exercise-induced anaphylaxis|
calcyclin binding protein|calcium binding protein|
interleukin-4 receptor-alpha chain|interleukine-2 receptor γ chain|
bone-marrow derived stem cell|bone marrow derived stem cell|
anti-interleukin-18 antibody|antiinterleukin 12 antibody|
pregnancy-specific β1-glycoprotein|pregnancy-specific β 1 glycoprotein|
anti-interleukin-10 receptor antibody|anti-interleukin-10 receptor monoclonal antibody|
transcutaneous electrical stimulation|transcutaneous electric nerve stimulation|
B-cell lymphoma 2 binding component-3|B-cell lymphoma-2 binding component 3|
Rab3 interacting molecule 1 α|Rab3-interacting molecule 1alpha|
heparin induced thrombocytopaenia syndrome|heparin induced thrombocytopenia|
muscle RING finger protein 1|muscle RING finger 1|
Kruppel-like factor-4|kruppel-like factor 8|
Phytophthora capsici|Phytophthora brassicae|
right gluteal|right lateral|
phosphorylcholine|phosphocholine|
fat saturation|saturation|
toxic equivalency factor|toxic equivalency|
β 2 glycoprotein I|glycoprotein IIb|
γ-aminobutyric acid C receptor|γ-aminobutyric acid type C receptor|
core oligosaccharide|fructooligosaccharide|
cGMP-dependent protein kinase Iβ|cyclic AMP dependent protein kinase|
sry-box-containing gene-9|Sry-box-containing gene-9|
cardiac computed tomography angiography|3-dimensional computed tomography-angiography|
free insulin-like growth factor-II|proinsulin-like growth factor-II|
transforming growth factor-β-inducible gene-H3|transforming growth factor-beta-induced gene|
somatotropin-releasing hormone|thyrotropin-releasing-hormone|
eucaryotic elongation factor 1 alpha 2|eucaryotic elongation factor 1alpha|
human enterovirus D|human adenovirus F|
Charcot-Marie-Tooth disease type 1A|Charcot-Marie-Tooth disease type 2D|
Fas-associated death domain-like interleukin-1 beta-converting enzyme-inhibitory protein|cellular Fas-associated death domain-like interleukin-1-beta converting enzyme-inhibitory protein|
inter-professional education|interprofessional learning|
arginine metabolism regulator III|arginine metabolism regulator I|
neural precursor cell expressed developmentally downregulated 5|neural-precursor-cell-expressed, developmentally downregulated 2|
protein kinase C β II|protein kinase C-γ|
G protein βγ subunit|G protein α q subunit|
American Society of Anesthesiology Class I|American Society of Anaesthesiology status V|
high-sensitivity C-reactive protein|high sensitivity C-reactive protein|
dorsolateral prostate|dorsolateral striatum|
protein D|protein II|
β-APP-cleaving enzyme|β-APP cleaving enzyme 1|
anti-cluster of differentiation antigen 30|cluster of differentiation antigen 59|
matrix-assisted laser desorption ionisation time-of-flight mass spectrometry|surface-assisted laser desorption ionisation time-of-flight mass spectrometry|
electrothermal atomic absorption spectroscopy|electrothermal atomic absorption spectrometry|
beta site APP cleaving enzyme 1|β-site APP-cleaving enzyme-1|
bone formation rate|formation rate|
recombinant human interferon α A/D|recombinant human interferon α-2b|
cell carcinoma|islet cell carcinoma|
mitogen-activated protein kinase kinase 4|mitogen-activated protein kinase kinase-3|
alpha 1-anti-chymotrypsin|alphachymotrypsin|
extracellular fluid|intracellular fluid|
intra-venously|intra-cavernous|
replication associated protein|death associated protein|
stretch-activated ion channels|stretch-activated channel|
anti-T-cell receptor α/β antibody|anti-T cell receptor α/β monoclonal antibody|
interleukin 11 receptor α-chain|interleukin 11 receptor alpha|
endoplasmic reticulum-associated protein degradation|endoplasmic reticulum associated degradation|
adenovirus 5 E2|adenovirus 12 E1A|
tubular basement membrane|basement membrane|
corticotropin-releasing-hormone receptor-2|corticotropin releasing hormone receptor type 2|
Acanthobothrium microcephalum|Acanthobothrium paulum|
antiglomerular basement membrane antibody|glomerular basement membrane|
inhibitor-of-apoptosis protein|cellular inhibitor-of-apoptosis protein-1|
chronic ulcerative colitis|non-specific ulcerative colitis|
receptor protein-tyrosine phosphatase-β|receptor-like protein-tyrosine phosphatase|
with no lysine kinase 3|with no lysine kinase 1|
recombinant human tumor necrosis factor|recombinant human tumour necrosis factor β|
IL-12-receptor beta 1 chain|IL12 receptor β 1 chain|
leptin-deficient|myelin-deficient|
mismatch repair system|mismatch repair gene|
coronary artery disease|coronary artery stenosis|
interleukine-4 receptor-α chain|interleukine-6 receptor α chain|
interleukin 12 receptor β2 chain|interleukin-5 receptor α chain|
actin binding protein|kainate binding protein|
post-transplantation lympho-proliferative disease|posttransplant lymphoproliferative disease|
β amyloid precursor protein cleaving enzyme-2|β site amyloid precursor protein-cleaving enzyme-1|
recombinant murine interleukin 13|recombinant human interleukin 7|
T-cell receptor-α/β|T-cell receptor Vα|
Drosophila cyclic AMP response element-binding protein 2-b|phosphorylated cyclic AMP response element-binding protein|
human transforming growth factor-β(1)|human transforming growth factor β 3|
protein kinase Mζ|protein kinase C α|
interleukin-18 receptor α chain|interleukine 13 receptor α 2-chain|
non-st segment myocardial infarction|non-st segment elevation myocardial infarction|
Krüppel-like factor 9|Krüppel-like factor-9|
ultra-filtration|ultrafiltrate|
Toll-interleukin1 receptor domain-containing adapter-inducing interferon-β|toll-interleukin-1 receptor domain-containing adaptor inducing IFN-beta|
interpeak interval|inter-beat interval|
mitogen-activated protein kinase kinase kinase|mitogen activated protein kinase kinase kinase 3|
interleukine-13 receptor α 1|interleukine 1β receptor|
steroid 5-α-reductase type 1|steroid 5-alpha-reductase type II|
human adenovirus type 43|human adenovirus serotype 13|
kruppel-like factor-9|kruppel-like factor 3|
peritoneal lavage|peritoneal clearance|
human immunodeficiency virus-induced|human immunodeficiency virus receptor|
Ralph H Johnson Veterans' Administration Medical Center|Salt Lake City Veterans' Administration Medical Center|
American Physical Therapy Association|American Occupational Therapy Association|
immunofluorescent assay|immunofluorescence assay|
a disintegrin and metalloprotease with thrombospondin motif-19|a disintegrin and metalloproteinase with thrombospondin motif-13|
anti-IL 3 antibody|antiIL-6R antibody|
a disintegrin and metalloproteinase 12|A disintegrin and metalloprotease-3|
myosin heavy chain isoform|myosin heavy chain|
interleukin-11 receptor α-chain|interleukin-15 receptor alpha|
American Society of Anaesthesiology status 1|American Society of Anaesthesiology class 2|
fluorescence in-situ hybridisation|fluorescence in situ hybridization|
serum vascular endothelial growth factor level|vascular endothelial growth factor mRNA|
inhibitor-κB α|inhibitor-κ B beta|
GATA binding protein 3|TNF binding protein|
immunoglobulin G κ chain|immunoglobulin mu chain|
acellular dermal matrix|human acellular dermal matrix|
surface-enhanced laser desorption ionisation time-of-flight mass spectrometry|laser desorption/ionisation time of flight mass spectrometry|
diabetic macular edema|diffuse diabetic macular edema|
amygdalo-ventromedial hypothalamus|ventromedial hypothalamus|
insulinlike growth factor 1|insulinlike growth factor 1 receptor|
Rosenberg Self-Esteem Scale|Rosenberg Self-Esteem scale|
scanning electron micrograph|scanning electron microscopic|
aminomethylbenzoic acid|p-aminobenzoic acid|
prenatal restraint stress|water restraint stress|
human adenovirus 34|human adenovirus 23|
A disintegrin and metalloprotease-12|A disintegrin and metalloproteinase 9|
galactorrhoea amenorrhœa hyperprolactinemia syndrome|galactorrhoea-amenorrhœa hyperprolactinaemia syndrome|
para-chloromercuriphenylsulfonate|p-chloromercuriphenyl sulfonate|
bradykinin B1 receptor|bradykinin 2 receptor|
apohorseradish peroxidase|horseradish peroxidase|
a disintegrin and metalloprotease 13|A disintegrin and metalloprotease-10|
antihamster immunoglobulin G|antiurease immunoglobulin G|
guanylate cyclase inhibitor|adenylate cyclase inhibitor|
MDR-related protein 1|actin-related protein 1|
sulphobutyl ether β-cyclodextrin|sulphobutyl ether beta-cyclodextrin|
computerized axial tomography|computerised tomograph|
neural precursor cell expressed, developmentally downregulated 5|neural-precursor-cell-expressed developmentally down-regulated 4|
micellar electrokinetic chromatography|micellar electrokinetic capillary chromatography|
glycosyl-phosphatidyl-inositol anchored protein|glycosylphosphatidylinositol anchored|
TBP associated factor 6|TBP-associated factor 6|
prostaglandin G/H synthase 2|prostaglandin F synthase|
mitogen-activated protein kinase kinase kinase 3|mitogen-activated protein kinase protein|
Drosophila cyclic AMP response element-binding protein|phosphorylated cyclic AMP response element-binding protein|
oral facial digital syndrome type II|orofaciodigital syndrome type V|
GTP-binding protein βγ subunit|GTP binding protein α-subunit|
microtubule-associated protein-2c|microtubule associated protein 2C|
American Society of Anesthesiology class II|American Society of Anesthesiologists physical status II|
interleukine-13 receptor α1|interleukine-3 receptor alpha|
mitogen activated protein kinase-activated protein kinase-2|mitogen activated protein kinase activated protein kinase|
formamidopyrimidine DNA glycosylase|formamidopyrimidine DNA N-glycosylase|
universal newborn hearing screening|newborn hearing screening|
Anti-interleukin-2 receptor|interleukine-4 receptor-α|
TATA binding protein associated factor|TATA-binding protein-associated factor 4|
nonhemagglutinating|non-hemagglutinating|
corticotrophin-releasing hormone|corticotropin-releasing-hormone|
subendo-cardial|sub-endocardial|
a disintegrin and metalloproteinase with thrombospondin motifs-13|a disintegrin and metalloprotease with thrombospondin motifs-20|
acto-subfragment 1 ATPase|actosubfragment 1|
Kruppel-like factor 13|Kruppel-like factor 10|
galactorrhœa-amenorrhoea hyperprolactinæmia syndrome|galactorrhœa amenorrhoea hyperprolactinemia syndrome|
anti-T cell receptor α/β monoclonal antibody|anti-T-cell receptor-α/β antibody|
valyl-phenylalanyl-leucyl-arginyl-phenylalaninamide|phenylalanyl-methionyl-arginyl-phenylalaninamide|
N-nitroso-N-methylurea|N-nitrozo-N-methylbiuret|
cluster of differentiation 11|cluster of differentiation antigen 53|
anti-toll-like receptor-4 monoclonal antibody|anti-IL6 receptor monoclonal antibody|
colony-forming unit-granulocyte|colony forming unit-granulocyte/macrophage|
Ras-related GTP-binding protein 7|ras-related GTP-binding protein 3B|
5-hydroxytryptamine2|5-hydroxytryptamine-1A|
beta amyloid precursor protein-cleaving enzyme-2|beta-site amyloid precursor protein-cleaving enzyme 1|
neural-precursor-cell-expressed developmentally down-regulated 2|neural-precursor cell-expressed, developmentally downregulated 2|
insulin-like growth factor II|insulinlike growth factor 1 protein|
angiotensin converting-enzyme|serum angiotensin converting enzyme|
bi-lateral|bilateral|
anti-TCR-α β monoclonal antibody|anti-IL 2 monoclonal antibody|
CC chemokine receptor 6|C-C motif chemokine receptor 2|
transforming growth factor β 2|transforming growth factor-alpha|
adisintegrin and metalloprotease|a disintegrin and metalloprotease-19|
beta APP-cleaving enzyme-1|beta APP-cleaving enzyme 2|
β site APP-cleaving enzyme|β-site APP-cleaving enzyme 2|
American Society of Anesthesiologists Class 1|American Society of Anaesthesiologists Grade II|
receptor protein-tyrosine phosphatase ψ|receptor-like protein-tyrosine phosphatase-eta|
interleukine-6 receptor α chain|interleukin-5 receptor α chain|
American Society of Anaesthesiology class III|American Society of Anesthesiology status 1|
cross-polarization magic-angle spinning nuclear magnetic resonance spectroscopy|cross polarisation magic-angle-spinning nuclear magnetic resonance spectroscopy|
junctional adhesion molecule B|junctional adhesion molecule 4|
synaptosomal associated protein-25 kDa|synaptosomal associated protein|
toll-interleukin-1 receptor domain-containing adapter-inducing interferon β|toll/interleukin1 receptor domain-containing adapter-inducing interferon-beta|
immunoglobulin M|immunoglobulin Y|
myocardial blush grade|myocardial blush grade 1|
Bcl2-associated X protein|BCL-2-associated X-protein|
retinoic-acid-receptor-related orphan receptor gamma-T|retinoic-acid-receptor-related orphan receptor-γ|
anti-IL-13 monoclonal antibody|anti-IL1 alpha monoclonal antibody|
phospholipase-C β 1|phospholipase C-β4|
American Society of Anesthesiology physical status 5|American Society of Anaesthesiology Class II|
American Society of Anesthesiologists status IV|American Society of Anesthesiologists grade III|
2-methylthioadenosine triphosphate|methylene adenosine triphosphate|
coronary artery ligation|coronary artery calcification|
cytochrome P-450 17|cytochrome P450 2C19|
src homology 2 domain-containing protein-tyrosine phosphatase substrate 1|Src homology-2 domain-containing protein tyrosine phosphatase 2|
phosphorylated extracellular signal regulated kinase-2|phosphorylated extracellular signal-regulated kinase 1|
T helper-1/T helper-2 balance|T helper 1/T helper 2 balance|
intra-medial preoptic area|medial preoptic area|
human adenovirus type E|human adenovirus type 42|
complement-mediated cytolysis|complement-mediated cytotoxicity|
WW-domain-containing oxidoreductase|WW domain-containing oxidoreductase|
transcription factor IIS|transcription factor II-I|
Burden of disease|died of disease|
non-structural protein-5|non-structural protein 4|
p38α mitogen-activated protein kinase|mitogen-activated protein kinase kinase|
Kruppel-like factor-4|Krüppel-like factor-2|
matrix-assisted laser desorption-ionisation mass spectrometry|matrix-assisted laser desorption/ionisation time of flight mass spectrometry|
American Society of Anesthesiologists physical status 1|American Society of Anaesthesiology physical status 1|
human adenovirus type 23|human adenovirus serotype A|
A disintegrin and metalloprotease 4|a disintegrin and metalloprotease 9|
Von Hippel-Lindau tumour-suppressor protein|von Hippel-Lindau tumor-suppressor protein|
anti-interleukin 10 antibody|anti-interleukin 13 monoclonal antibody|
histamine N-methyltransferase|Thiopurine S-methyltransferase|
recombinant human interferon-β|recombinant human interferon β|
olive mill waste|olive mill wastewater|
A disintegrin and metalloprotease-33|a disintegrin and metalloproteinase-19|
precordial lead position 6|precordial lead position 4|
human ovarian microvascular endothelial cell|lung microvascular endothelial cells|
platelet derived growth factor-β receptor|platelet derived growth factor receptor β|
fluorine-18-fluoro-deoxyglucose|fluorine-18-labeled fluoro-deoxy-glucose|
American Society of Anaesthesiologists grade|American Society of Anaesthesiologists Grade 4|
spinocerebellar ataxia type 6|spinocerebellar ataxia type 1|
American Society of Anesthesiology class 2|American Society of Anaesthesiology grade 3|
American Society of Anaesthesiology status 2|American Society of Anesthesiologists physical status 2|
anti-IL13 antibody|anti-IL 8 antibody|
American Society of Anaesthesiology status I|American Society of Anaesthesiologists status 5|
Vibrio cholerae El-Tor|Vibrio cholerae eltor|
transforming growth factor β-induced gene|transforming growth factor-beta-inducible gene-H3|
a disintegrin and metalloproteinase with thrombospondin motifs-20|a disintegrin and metalloprotease with thrombospondin motifs-15|
human T cell leukemia virus type 1|human T cell lymphotropic virus type 1|
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell-expressed developmentally downregulated 9|
ribosomal protein L39|ribosomal protein S16|
dopamine D3 receptor gene|dopamine 2 receptor|
computed tomography angiogram|computed tomography cisternogram|
non-muscle myosin heavy-chain-A|non-muscle myosin heavy-chain A|
1-palmitoyl-2-oleoyl-sn-glycero-3-phosphoglycerol|1-stearoyl-2-oleoyl-sn-glycero-3-phosphocholine|
retinoic-acid-receptor-related orphan receptor γ-t|retinoic acid receptor-related orphan receptor α|
Philadelphia chromosome 1|Philadelphia chromosome negative|
pulsed-electric field|pulsed electric field|
insulin-like growth factor-II mRNA binding protein 1|insulin-like growth factor-II messenger RNA-binding protein 2|
a disintegrin and metalloproteinase-3|A disintegrin and metalloprotease 12|
A disintegrin and metalloproteinase-9|a disintegrin and metalloprotease 9|
receptor-like protein-tyrosine phosphatase-α|receptor protein tyrosine phosphatase α|
American Society of Anesthesiology class 5|American Society of Anesthesiologists Class 2|
interleukin-15 receptor-α|interleukin-18 receptor-alpha|
phosphodiesterase 3|phosphodiester|
corticotrophin releasing factor receptor 1|corticotropin releasing factor type-2 receptor|
American Society of Anesthesiologists Status II|American Society of Anaesthesiologists class 3|
multifluor fluorescence in-situ hybridization|immunofluorescence in situ hybridization|
metabotropic glutamate receptor 2|metabotropic glutamate receptor type 6|
receptor-type protein-tyrosine phosphatase-beta|receptor-like protein-tyrosine phosphatase eta|
interleukine 13 receptor α2 chain|interleukine 13 receptor α 2 subunit|
American Society of Anaesthesiologists physical status 3|American Society of Anesthesiologists physical status 5|
American Society of Anaesthesiologists Grade II|American Society of Anaesthesiology grade 4|
cytochrome P4502A6|cytochrome P45017|
3rd sacral vertebra|sacral vertebra 3|
anti-beta2-glycoprotein-1 antibody|anti-β-2-glycoprotein I antibody|
anti-cluster of differentiation antigen 30|cluster of differentiation antigen 73|
insulin-like growth factor II binding|insulin-like growth factor II mRNA-binding protein|
anti-matrix metalloproteinase 2 antibody|anti-matrix metalloproteinase-7 antibody|
5-(2-Chloroethyl)-2'-deoxyuridine|5-(2-fluoroethyl)-2'-deoxyuridine|
cGMP-dependent protein kinase Iβ|DNA-dependent protein kinase|
levo-dopa-induced dyskinesia|L-dopa induced dyskinesia|
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists physical status|
postnatal day|postnatal day 14|
interferon-β receptor|interferon γ receptor 2|
beta-site amyloid precursor protein-cleaving enzyme|β site amyloid precursor protein-cleaving enzyme 2|
anti-IL-12 monoclonal antibody|anti-MIF monoclonal antibody|
enhanced green fluorescent protein|enhanced cyan fluorescent protein|
myelin associated glycoprotein|myelin-associated glycoprotein|
American Society of Anaesthesiology status 4|American Society of Anaesthesiology class|
tumor necrosis factor α production|tumor necrosis factor alpha protein|
NIMA-related kinase 6|NIMA-related kinase-7|
thermoluminescent|thermo-luminescent|
insulin-like growth factor-I|insulin-like growth factor I-deficient|
Recinus communis agglutinin 1|Ricinus Communis Agglutinin I|
src-suppressed C kinase substrate|src suppressed C kinase substrate|
vacuolar protein sorting 13A|vacuolar protein sorting 1|
fluorescent treponemal antibody absorption test|fluorescent leprosy antibody absorption|
oestrogen receptor β knock-out mouse|estrogen receptor α knock out|
IL-3 receptor alpha chain|IL3 receptor α chain|
American Society of Anesthesiologists status 1|American Society of Anesthesiologists physical status V|
retinoic acid receptor γ|retinoic acid receptor β|
apolipoprotein H|apolipoprotein AI|
phospholipase D|phospholipase Cbeta|
glycoprotein 1|β2-glycoprotein I|
interleukine-6 receptor α|interleukin-3 receptor α|
neural-precursor cell-expressed, developmentally down-regulated 9|neural-precursor cell-expressed developmentally downregulated 5|
bronchiolitis obliterans and organising pneumonitis|bronchiolitis obliterans organising pneumonia syndrome|
Krüppel-like factor-11|krüppel-like factor-6|
uncoordinated protein 5|uncoordinated protein 119|
ferredoxin-NADP(+) oxidoreductase|ferredoxin:NADP(+) oxidoreductase|
beta hydroxybutyrate dehydrogenase|α hydroxybutyrate dehydrogenase|
combination chemotherapy|combination therapy|
flavine-containing monooxygenase|flavin containing mono-oxygenase 1|
recombinant human interferon α 2a|recombinant human interleukin 1α|
cortico-basal ganglionic degeneration|corticobasal degeneration|
interleukin 5 receptor alpha chain|interleukin-5 receptor α chain|
interleukin-15 receptor α chain|interleukin-5 receptor-α|
phospholipase C-γ1|phospholipase Cβ1|
intra-cerebral haematoma|intra-cranial hematoma|
killer-cell immunoglobulin-like receptor|leukocyte immunoglobulin-like receptor 1|
neural precursor cell-expressed developmentally down-regulated 8|neural-precursor-cell-expressed developmentally downregulated 9|
Guanylate cyclase-activating protein 1|guanylyl cyclase-activating protein 2|
TBP associated factor-10|TBP-associated factor 4|
American Society of Anaesthesiology grade II|American Society of Anaesthesiology class II|
A disintegrin and metalloprotease-23|a disintegrin and metalloprotease 9|
neural precursor cell expressed developmentally downregulated 1|neural-precursor cell-expressed developmentally down-regulated 8|
inositol hexaphosphate|inositol hexakisphosphate|
glycosyl phosphatidyl inositol linked|glycophosphatidylinositol-linked protein|
insulin-like growth factor-1-stimulated|insulin-like growth factor-1 level|
adipocyte differentiation related protein|adipose differentiation related protein|
fast spoiled gradient echo sequence|fast spoiled gradient-echo sequence|
anti-interleukin-6 receptor monoclonal antibody|antiinterleukin 7 monoclonal antibody|
γ-aminobutyric acid|γ amino-butyric acid|
recombinant human interferon α 2a|recombinant human interferon gamma|
after-depolarization|afterhyperpolarisation|
American Society of Anesthesiology status II|American Society of Anesthesiology Class 2|
American Society of Anesthesiology Grade I|American Society of Anesthesiology grade 3|
American Society of Anaesthesiology status III|American Society of Anaesthesiologists status II|
precursor messenger ribonucleic acid|precursor transfer ribonucleic acid|
anti-IL 13 monoclonal antibody|anti-IL-4 monoclonal antibody|
bronchial provocation test|nasal provocation test|
histone deacetylase|histone deacetylase 1|
interleukine-6 receptor alpha-chain|interleukin 3 receptor alpha chain|
cyclase-activating protein|guanylyl cyclase activating protein|
A disintegrin and metalloproteinase-8|a disintegrin and metalloproteinase 12s|
benzo(a)pyrene diol epoxide-DNA adduct level|benzo[a]pyrene diol-epoxide DNA adduct level|
ribosomal protein L12|ribosomal protein L3|
cytochrome P4502A6|cytochrome P450 2C19|
membrane-associated RING-CH I|membrane-associated RING-CH protein V|
glucose transporter protein|glucose transporter 11|
microtubule associated protein-tau|microtubule associated protein light-chain 3|
anti-varicella-zoster virus|varicella zoster virus|
electro-olfactography|electropalatography|
disintegrin and metalloproteinase|A disintegrin and metalloprotease 13|
interleukin-13 receptor α2 subunit|interleukin-13 receptor α2 chain|
interleukin-18 receptor α chain|interleukin 12 receptor β2 chain|
American Society of Anaesthesiologists Status 1|American Society of Anaesthesiologists status III|
interleukine 3 receptor α-chain|interleukin 7 receptor α|
T cell receptor-β|T cell receptor Vα|
mitogen-activated protein kinase kinase|mitogen-activated protein kinases|
Regulators of G-protein signalling|regulator of G-protein signaling-2|
Ste20-related proline alanine rich kinase|ste-20-related proline alanine rich kinase|
adherent lymphokine-activated killer|adherent lymphokine-activated killer cells|
antisoluble liver antigen|anti-soluble egg antigen|
interleukin-13 receptor alpha 1-subunit|interleukin 5 receptor α subunit|
New Zealand White|New Zealand White rabbit|
complementary deoxyribonucleic acid|complementary deoxyribonucleic acid sequence|
cross polarization magic angle spinning|cross-polarization/magic-angle spinning NMR|
Chinese hamster ovary|Chinese hamster ovary K1|
human adenovirus type 5|human adenovirus 50|
receptor protein-tyrosine phosphatase δ|receptor-like protein tyrosine phosphatase-η|
src homology 2 domain-containing protein-tyrosine phosphatase|src homology 2 domain containing protein tyrosine phosphatase 2|
peroxidase-antiperoxidase complex|peroxidase anti-peroxidase complex|
American Society of Anesthesiologists Status 2|American Society of Anesthesiologists Grade 1|
anti-interleukin-4 monoclonal antibody|anti-interleukin 15 monoclonal antibody|
high molecular weight cytokeratin|high molecular weight keratin|
American Society of Anaesthesiology grade 1|American Society of Anesthesiologists class V|
tumor necrosis factor receptor superfamily member 21|tumor necrosis factor receptor superfamily 1A|
staphylococcal enterotoxin I|Staphylococcus enterotoxin B|
interpeduncular nucleus|entopeduncular nucleus|
American Society of Anaesthesiologists physical status I|American Society of Anesthesiologists Class 3|
sporulation protein IIIE|sporulation protein IIID|
β-site amyloid precursor protein-cleaving enzyme 2|beta site amyloid precursor protein-cleaving enzyme|
phospholipase B|lysophospholipase|
sex determining region Y, box 8|sex determining region Y-box 1|
human immunodeficiency virus negative|human immunodeficiency virus-positive|
optical microscopy|optical microscope|
recombinant human interferon alpha A/D|recombinant human interferon alfa2b|
casein kinase 1 δ|casein kinase I δ|
immunoglobulin gamma2|immunoglobulin β|
[3H]inositol monophosphate|[3H]inositol phosphate|
interleukin-12 receptor β2 chain|interleukine-15 receptor α chain|
American Society of Anaesthesiology status 2|American Society of Anesthesiologists grade V|
American Society of Anaesthesiology class I|American Society of Anaesthesiology physical status V|
granulocyte-macrophage colony-stimulating factor receptor α chain|granulocyte-macrophage colony-stimulating factor|
Bos taurus autosome 11|Bos taurus autosome 21|
kruppel-like factor-11|kruppel-like factor 15|
receptor protein tyrosine phosphatase γ|receptor-like protein-tyrosine phosphatase psi|
T-cell receptor α/β|T-cell receptor α|
A disintegrin and metalloproteinase 4|A disintegrin and metalloproteinase 21|
neural precursor cell expressed developmentally downregulated 9|neural precursor cell expressed, developmentally down-regulated 4|
fatty acid oxidation|fatty acid β-oxidation|
American Society of Anaesthesiologists class V|American Society of Anaesthesiology class V|
kruppel-like factor-8|krüppel-like factor 12|
interleukine-13 receptor α 2 subunit|interleukine 13 receptor α2 chain|
interleukin-5 receptor α-chain|interleukine-15 receptor alpha|
endoplasmic-reticulum associated|endoplasmic-reticulum-retained|
purine nucleotide|one nucleotide|
corticotrophin-releasing factor receptor 1|corticotropin releasing hormone receptor 1|
prostaglandin E receptor 4|prostaglandin E receptor|
vasoactive intestinal peptide immunoreactive|vasoactive intestinal peptide immunoreactive nerve fiber|
cross-polarization magic-angle-spinning NMR|cross-polarization/magic-angle spinning NMR|
never in mitosis, gene A-related kinase 3|never-in-mitosis gene A-related kinase|
cytochrome P-450 2B1|cytochrom P450|
a disintegrin and metalloprotease-22|A disintegrin and metalloprotease-8|
oxidised low density lipoprotein level|oxidised low-density lipoprotein receptor-1|
transforming growth factor-beta protein|transforming growth factor-beta activated kinase 1|
sterol regulatory element binding protein 1|sterol regulatory element binding protein-2|
right ventricular index|right ventricular pacing|
anti-IL 2R alpha monoclonal antibody|anti-TCR alpha beta monoclonal antibody|
phospholipase A(1)|phospholipase C β(2)|
accumulation associated protein|cyclase associated protein|
human adenovirus serotype 49|human adenovirus type 14|
laevonorgestrel-releasing intrauterine system|laevonorgestrel releasing intrauterine device|
human embryonic kidney 293 cell|human embryonic kidney-293|
glycosyl-phosphatidyl-inositol anchored|glycosylphosphatidylinositol linked|
American Society of Anesthesiology Grade III|American Society of Anaesthesiologists grade 4|
American Society of Anesthesiologists Status III|American Society of Anesthesiologists class|
cytochrome P4503A4|cytochrome P450 7A1|
interleukin-15 receptor alpha chain|interleukine-3 receptor alpha subunit|
ε sarcoglycan|sarcoglycan|
interleukin-4 receptor α chain|interleukine-13 receptor α-1 chain|
anti-CD33 monoclonal antibody|anti-schizont monoclonal antibody|
recombinant interleukine-1β|recombinant interleukin 1|
platelet derived growth factor receptor β|platelet derived growth factor|
interleukin 6 receptor|interleukin 5 receptor|
human adenovirus type 27|human adenovirus serotype 45|
peroxisome proliferator-activated receptor γ 2|peroxisome proliferator-activated receptor-gamma1|
human adenovirus type 51|human adenovirus type 28|
situ polymerase chain reaction|multiplex polymerase chain reaction|
receptor-like protein tyrosine phosphatase ψ|receptor-like protein tyrosine phosphatase-zeta|
human adenovirus type 8|human adenovirus 46|
corticotrophin releasing hormone|thyrotropin-releasing hormone|
streptococcal pyrogenic exotoxin B|streptococcal pyrogenic exotoxin G|
flattening-filter free|flattening filter free beam|
tumor-associated surface antigen|tumour-associated foetal antigen|
helix-loop-helix|basic helix-loop-helix|
enzyme-linked-immunosorbant assay|enzyme-linked immunoreceptor assay|
interleukin-7 receptor α-chain|interleukine-13 receptor alpha1 chain|
dilauroylphosphatidylethanolamine|dioleoylphosphatidylethanol|
peroxisome-proliferator-activated receptor-γ co-activator-1α|peroxisome proliferator-activated receptor-gamma coactivator 1alpha|
