LF1|LF2|Synonym
platelet derived growth factor beta receptor|platelet-derived growth factor beta receptor|
interleukine-6 receptor alpha subunit|interleukine-6 receptor alpha chain|
2-mercaptopropionylglycine|mercaptopropionylglycine|
β2-glycoprotein-I|β(2)-glycoprotein I|
anti-asialo-GM-1 antibody|antiasialo-GM(1) antibody|
anti-β(2)-glycoprotein I antibody|anti-β(2)-glycoprotein 1 antibody|
RAS-related GTP-binding protein 7|Ras-related GTP binding protein 7|
anti-beta-2-glycoprotein-I antibody|anti-beta(2)-glycoprotein 1 antibody|
energy dispersive X-ray spectroscopy|energy-dispersive x-ray spectroscopy|
anti-beta(2) glycoprotein I antibody|anti-β-2 glycoprotein-1 antibody|
type beta transforming growth factor|type β transforming growth factor|
transforming growth factor beta receptor type II|transforming growth factor-beta receptor type 2|
neutral metallo-proteinase|neutral metalloproteinase|
human transforming growth factor-β1|human transforming growth factor-β(1)|
anti-β2-glycoprotein I antibody|anti-beta-2 glycoprotein 1 antibody|
fluorescent-activated cell sorting|fluorescent-activated cell sorter|
interleukine-15 receptor alpha-chain|interleukine-15 receptor-α|
American Society of Anaesthesiologists Class V|American Society of Anaesthesiology grade V|
anti-β2-glycoprotein I antibody|anti-beta(2)-glycoprotein 1 antibody|
aminopeptidase M|amino-peptidase M|
mitogen-activated protein kinase activated protein kinase-1|mitogen activated protein kinase activated protein kinase-1|
toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|toll/interleukin1 receptor domain-containing adapter-inducing interferon-beta|
beta amyloid precursor protein-cleaving enzyme|beta-amyloid precursor protein cleaving enzyme|
spectral broadening index|spectral-broadening index|
MAPK-activated protein kinase 2|MAPK-activated protein kinase-2|
anti-T-cell receptor-αβ antibody|anti-T-cell receptor-α β antibody|
cyclic AMP response element binding protein binding protein|cAMP-response-element-binding protein-binding protein|
aminolevulinic acid dehydratase|δ aminolevulinic acid dehydratase|
antiinterleukin 5 monoclonal antibody|anti-interleukin-5 monoclonal antibody|
Toll-interleukin-1 receptor domain-containing adapter-inducing interferon β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|
American Society of Anesthesiology Class II|American Society of Anesthesiologists Class 2|
inhibitor-κ B α|inhibitor κBα|
β site APP-cleaving enzyme|beta-site APP-cleaving enzyme 1|
human T-cell leukemia virus type I-infected|human T cell leukaemia virus type-1-infected|
inhibitor-κB-α|inhibitor-κ-B-α|
β site amyloid precursor protein-cleaving enzyme-1|beta amyloid precursor protein-cleaving enzyme-1|
peroxisome-proliferator-activated receptor-gamma co-activator 1alpha|peroxisome-proliferator-activated receptor-gamma coactivator-1 alpha|
β2-glycoprotein-1|β-2 glycoprotein 1|
phospholipase C-β(4)|phospholipase Cbeta(4)|
thyrotropin releasing hormone receptor 1|thyrotropin releasing hormone receptor type 1|
ER-α knock-out mouse|ER α knock out mouse|
fluorine-18-labeled fluoro-deoxy-glucose|fluorine 18-labelled fluorodeoxyglucose|
toll-interleukin-1 receptor domain-containing adapter-inducing interferon-β|Toll-interleukin1 receptor domain-containing adapter inducing interferon beta|
anti-β2 glycoprotein-1 antibody|anti-beta2-glycoprotein-1 antibody|
inhibitory κ B kinase-β|inhibitory κ B kinase β|
interleukin 13 receptor alpha2 subunit|interleukine 13 receptor α2 subunit|
high resolution magic-angle-spinning nuclear magnetic resonance|high resolution magic-angle spinning nuclear magnetic resonance|
anti-interleukin-1alpha monoclonal antibody|antiinterleukin 1alpha monoclonal antibody|
American Society of Anaesthesiologists Grade II|American Society of Anesthesiology Class II|
β-site APP cleaving enzyme-2|β-site APP-cleaving enzyme 2|
American Society of Anaesthesiologists physical status III|American Society of Anesthesiologists status III|
anti-β(2)-glycoprotein-I antibody|anti-β2-glycoprotein-1 antibody|
interferon α receptor 1|interferon-α receptor-1|
estrogen receptor β knock out|estrogen receptor-β knock out|
American Society of Anesthesiology physical status II|American Society of Anaesthesiology physical status 2|
α-1-antitrypsin|α-one-anti-trypsin|
topo-isomerase 2|topo-isomerase-II|
fiberoptic trans-illumination|fiber optic trans-illumination|
glycolipoprotein|glyco-lipoprotein|
anti-β-2-glycoprotein 1 antibody|anti-beta 2 glycoprotein 1 antibody|
American Society of Anesthesiologists grade II|American Society of Anaesthesiology status 2|
intracellular Ca2+ concentration|intracellular Ca(2+) concentration|
interferon alpha2b-induced|interferon-alpha-2b-induced|
peroxisome-proliferator-activated receptor-γ co-activator-1 α|peroxisome proliferator-activated receptor-γ coactivator-1 α|
γ-aminobutyric acid A-benzodiazepine receptor complex|gamma-aminobutyric acidA-benzodiazepine receptor complex|
IL13 receptor α 2|IL13 receptor α 2-chain|
IL-13 receptor α 2 chain|IL-13 receptor α2-chain|
serum β-2-microglobulin value|serum β2-microglobulin value|
anti-β 2 glycoprotein 1 antibody|anti-β2-glycoprotein-I antibody|
γ-aminobutyric acidB receptor|γ-amino butyric acid-B receptor|
T cell receptor γδ cell|T-cell receptor γ δ cell|
cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|crosspolarization magic-angle spinning nuclear magnetic resonance spectroscopy|
anti-beta2 glycoprotein-1 antibody|anti-beta2 glycoprotein-I antibody|
cross polarisation magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarization magic angle spinning nuclear magnetic resonance spectroscopy|
cross polarisation magic angle spinning nuclear magnetic resonance|cross polarization/magic angle spinning nuclear magnetic resonance|
pegylated interferon alfa-2b|pegylated interferon-alfa-2b|
parafluoro-hexahydrosiladiphenidol|para-fluorohexahydrosiladiphenidol|
Toll/interleukin 1 receptor domain-containing adapter-inducing interferon-β|Toll-interleukin-1 receptor domain-containing adapter-inducing interferon β|
interleukin-13 receptor α 2 chain|interleukin-13 receptor α2-chain|
toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|Toll-interleukin-1 receptor domain-containing adapter-inducing interferon beta|
peroxisome proliferator-activated receptor-gamma coactivator-1alpha|peroxisome proliferator-activated receptor-γ co-activator 1 α|
American Society of Anaesthesiologists Grade II|American Society of Anesthesiology class 2|
matrix γ-carboxyglutamic acid protein|matrix gamma-carboxyglutamic acid protein|
anti-human T cell lymphotrophic virus type-1 antibody|anti-human T cell lymphotrophic virus 1 antibody|
transforming growth factor-beta receptor II|transforming growth factor β receptor II|
interleukin-15 receptor α-chain|interleukin-15 receptor α subunit|
anti-β2-glycoprotein 1 antibody|anti-β-2 glycoprotein 1 antibody|
GTP-binding protein βgamma-subunit|GTP-binding protein βγ subunit|
GTP binding protein beta subunit|G protein beta subunit|
transforming growth factor-beta receptor I|transforming growth factor-beta receptor 1|
Home- and community-based services|home and community-based services|
cross polarization/magic-angle-spinning nuclear magnetic resonance|cross polarization/magic angle spinning nuclear magnetic resonance|
inhibitor-κB alpha|inhibitor κ-B alpha|
BCL-2-associated X-protein|BCL-2 associated X protein|
lysophosphatidylcholine|lyso-phosphatidylcholine|
casein kinase II-α|casein kinase IIα|
β-2 glycoprotein I|β-2-glycoprotein-1|
stromal derived factor-1α|stromal derived factor 1α|
similar to mothers against decapentaplegic homolog 7|small mothers against decapentaplegic 7|
toll/interleukin1 receptor domain-containing adapter-inducing interferon β|Toll-interleukin-1 receptor domain-containing adapter-inducing interferon-β|
intra-cerebral haematoma|intracerebral hematoma|
anti-beta (2)-glycoprotein I antibody|anti-β-2 glycoprotein 1 antibody|
T cell receptor γ δ-positive|T-cell-receptor γδ-positive|
amyloid-β-42|amyloid β1-42|
T-cell receptor gammadelta-positive|T-cell-receptor gamma delta-positive|
18fluorodeoxyglucose|fluoro-deoxy-glucose|
American Society of Anaesthesiologists Status 1|American Society of Anaesthesiologists Class 1|
α-smooth muscle actin positive|α smooth muscle actin positive|
estrogen receptor-α knock-out|estrogen receptor-α knockout mouse|
p38α mitogen-activated protein kinase|p38alpha mitogen-activated protein kinase|
intrinsic bursting neuron|intrinsic bursting neurone|
interleukine-3 receptor α-chain|interleukin-3 receptor-α|
recombinant human interferon alpha|recombinant human interferon α|
G-protein α(i) subunit|G protein α(i) subunit|
anti-matrix metallopeptidase-1 antibody|anti-matrix metalloproteinase 1 antibody|
mitogen activated protein kinase activated protein kinase 2|mitogen-activated protein kinase activated protein kinase-2|
oestrogen receptor β knock-out mouse|estrogen receptor β knock out mouse|
carbon 14 labeled|carbon-14-labeled|
colony-stimulating factor-1|colony stimulating factor 1|
interleukin-13 receptor α 2 subunit|interleukine-13 receptor α2 chain|
peroxisome proliferator-activated receptor-gamma1|peroxisome proliferator-activated receptor gamma-1|
anti-β(2)-glycoprotein 1 antibody|anti-β-2-glycoprotein-I antibody|
guanosinetriphosphatase-activating protein 1|guanosine triphosphatase activating protein-1|
receptor protein tyrosine phosphatase σ|receptor protein-tyrosine phosphatase σ|
ER β knock out mouse|ER-β knock-out mouse|
nuclear factor-κ B|nuclear factor kappaB|
American Society of Anaesthesiologists Status III|American Society of Anaesthesiology status III|
Src homology 2 domain-containing protein tyrosine phosphatase substrate 1|src homology 2 domain-containing protein-tyrosine phosphatase substrate 1|
cross polarisation/magic-angle-spinning nuclear magnetic resonance|cross polarization/magic angle spinning nuclear magnetic resonance|
IL-13 receptor α 2-chain|IL13 receptor α2 chain|
anti-β2 glycoprotein I antibody|anti-beta2 glycoprotein-I antibody|
p38 α MAP kinase|p38-α MAP kinase|
American Society of Anaesthesiologists Status IV|American Society of Anesthesiologists grade IV|
β2-glycoprotein 1|β2 glycoprotein-1|
Toll-interleukin 1 receptor domain-containing adapter-inducing interferon β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon beta|
IL7 receptor alpha chain|IL-7 receptor α chain|
retinoic-acid-receptor-related orphan receptor γT|retinoic acid receptor-related orphan receptor γ-T|
anti-beta-2-glycoprotein-I antibody|anti-β-2-glycoprotein-1 antibody|
toll-interleukin1 receptor domain-containing adapter-inducing interferon-β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|
T-cell receptor-γδ-positive|T-cell-receptor γ δ-positive|
non-structural proteins|nonstructural protein|
[35S]-t-butylbicyclophosphorothionate|tert-butylbicyclophosphorothionate|
sexually-transmitted disease|sexually transmitted disease|
β2-glycoprotein I|β2 glycoprotein-I|
interferon-α-2b-induced|interferon-α2b-induced|
American Society of Anaesthesiologists physical status I|American Society of Anaesthesiologists physical status 1|
American Society of Anaesthesiologists grade I|American Society of Anesthesiologists Status I|
hairy and enhancer of split 1|hairy enhancer of split1|
IL-5 receptor-α|IL5 receptor-α|
anti-β(2)-glycoprotein I antibody|anti-beta (2)-glycoprotein I antibody|
β2 glycoprotein I|β2-glycoprotein-I|
anti-β2 glycoprotein I antibody|anti-beta 2 glycoprotein 1 antibody|
T-cell-receptor gamma delta-positive|T cell receptor-gamma delta-positive|
IL-4 receptor alpha-chain|IL4 receptor α-chain|
β2-glycoprotein-1|β-2-glycoprotein 1|
polarized-light microscopy|polarised-light microscopy|
anti-asialo GM1 antibody|antiasialo GM(1) antibody|
antiIL-6R monoclonal antibody|anti-IL6 receptor monoclonal antibody|
Floating Harbour syndrome|floating harbour syndrome|
American Society of Anaesthesiology class 5|American Society of Anaesthesiologists Class 5|
transforming growth factor β receptor type II|type II transforming growth factor β receptor|
insulin-like growth factor II messenger RNA binding protein|insulin-like growth factor-II messenger RNA-binding protein|
dexamethasone sodiumphosphate|dexamethasone phosphate|
anti-β(2)-glycoprotein I antibody|anti-beta-2-glycoprotein-1 antibody|
β 2 glycoprotein I|β2 glycoprotein-I|
cross-polarisation magic angle spinning|cross-polarisation/magic-angle spinning|
anti-β 2-glycoprotein-I antibody|anti-β2-glycoprotein-I antibody|
transforming growth factor-beta receptor type 2|type II transforming growth factor-beta receptor|
casein kinase I α|casein kinase Iα|
interleukine 2 receptor α-subunit|interleukine 2 receptor-α|
kruppel-like factor-12|krüppel-like factor-12|
American Society of Anaesthesiologists Grade IV|American Society of Anesthesiologists status 4|
anti-beta2 glycoprotein-I antibody|anti-β(2)-glycoprotein-I antibody|
phosphorylated cyclic AMP responsive element-binding protein|phosphorylated cyclic AMP responsive element binding protein|
anti-beta2 glycoprotein 1 antibody|anti-β2 glycoprotein 1 antibody|
adenosine-5'-triphosphate|adenosine-5-triphosphate|
interleukine 11 receptor α chain|interleukin-11 receptor α chain|
anti-T-cell receptor-α β monoclonal antibody|anti-T-cell receptor-alpha beta monoclonal antibody|
crosspolarisation magic-angle-spinning nuclear magnetic resonance spectroscopy|cross-polarisation/magic-angle spinning nuclear magnetic resonance spectroscopy|
cross-polarisation/magic-angle spinning NMR|cross-polarisation/magic-angle-spinning NMR|
anti-beta2 glycoprotein I antibody|anti-beta-2 glycoprotein 1 antibody|
inhibitor κB β|inhibitor-κB-β|
man-made mineral fiber|man made mineral fibre|
insulin-like growth factor-II mRNA binding protein-3|insulin-like growth factor II mRNA binding protein 3|
anti-β(2) glycoprotein I antibody|anti-beta 2 glycoprotein I antibody|
cytotoxic T lymphocyte antigen 2 β|cytotoxic T-lymphocyte antigen 2β|
human chorionic gonadotropin associated factor|human chorionic gonadotropin-associated factor|
beta-site amyloid precursor protein cleaving enzyme 2|beta site amyloid precursor protein-cleaving enzyme-2|
inhibitor κBα|inhibitor-κ-B-α|
interleukin-13 receptor α 2 chain|interleukine-13 receptor α 2 subunit|
inhibitory κB protein|inhibitory κ-B protein|
interleukin-5 receptor α-subunit|interleukin-5 receptor α|
peroxisome-proliferator-activated receptor-γ co-activator-1 α|peroxisome proliferator-activated receptor-gamma co-activator-1 alpha|
G protein γ-like domain|G-protein gamma-like domain|
antiinterleukin-12 neutralizing antibody|antiinterleukin-12 neutralising antibody|
low socio-economic status|low socioeconomic status|
anti-interleukin 12 antibody|anti-interleukin-12 antibody|
intra-cranial tumor|intracranial tumor|
stromal-derived factor 1|stromal cell derived factor-1|
sex determining region Y box 3|sex determining region Y, box 3|
anti-β-2 glycoprotein-1 antibody|anti-beta(2) glycoprotein-I antibody|
interleukin-13 receptor alpha-1 chain|interleukine-13 receptor alpha1 chain|
elongation factor-1α|elongation factor 1α|
anti-beta(2)-glycoprotein 1 antibody|anti-β2-glycoprotein-I antibody|
Toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|toll-interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
GTP-binding protein β-γ-subunit|GTP-binding protein βγ subunit|
transmitral flow|trans-mitral flow|
enzyme linked immuno sorbant assay|enzyme-linked-immunosorbent-assay|
phospholipase C-δ 1|phospholipase-C δ1|
receptor-type protein-tyrosine phosphatase-beta|receptor-type protein-tyrosine phosphatase-β|
peroxisome-proliferator-activated receptor-γ co-activator 1 α|peroxisome proliferator-activated receptor γ co-activator-1 α|
interleukin 13 receptor α2 chain|interleukin-13 receptor α2 chain|
GTP binding protein β-subunit|GTP-binding protein β subunit|
phospholipase Cβ1|phospholipase C β(1)|
Friend leukemia virus integration 1|Friend leukæmia integration-1|
American Society of Anaesthesiologists Class 3|American Society of Anaesthesiologists class III|
anti-β (2)-glycoprotein I antibody|anti-beta(2) glycoprotein-I antibody|
phospholipase-C δ1|phospholipase-C δ 1|
peroxisome proliferator-activated receptor-gamma co-activator-1 alpha|peroxisome proliferator-activated receptor-gamma coactivator 1alpha|
inhibitor κ B beta|inhibitor-κB-beta|
interleukine-5 receptor-α chain|interleukin 5 receptor alpha chain|
receptor-like protein tyrosine phosphatase kappa|receptor protein-tyrosine phosphatase-κ|
GTP binding protein βgamma-subunit|GTP-binding protein β-γ subunit|
anti-β(2) glycoprotein I antibody|anti-β(2)-glycoprotein 1 antibody|
transforming growth factor-beta receptor I|transforming growth factor-beta receptor 1|
interleukin 13 receptor alpha2 subunit|interleukine-13 receptor-α2 subunit|
Toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|Toll-interleukin1 receptor domain-containing adapter-inducing interferon-beta|
grade 2 cervical intraepithelial neoplasia|cervical intraepithelial neoplasia grade 2|
peroxisome-proliferator-activated receptor gamma coactivator 1 alpha|peroxisome proliferator-activated receptor-γ co-activator 1 α|
cross-polarisation magic angle spinning nuclear magnetic resonance spectroscopy|crosspolarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|
inhibitor κB beta|inhibitor-κB-beta|
human T-cell leukaemia virus type-I-infected|human T cell leukemia virus type 1-infected|
surface enhanced laser desorption ionization time of flight mass spectrometry|surface-enhanced laser desorption/ionisation time-of-flight mass spectrometry|
peptide transporter 1|oligopeptide transporter|
recombinant human interferon-β|recombinant human interferon β|
ER-α knock out mouse|ERα knock out mouse|
prostaglandin F-2 α|prostaglandin F-2 alpha|
phospholipase C beta3|phospholipase Cbeta(3)|
anti-β-2-glycoprotein I antibody|anti-beta-2-glycoprotein-1 antibody|
transforming growth factor-β signalling pathway|transforming growth factor beta signalling pathway|
transforming growth factor β type II receptor|transforming growth factor-β type II receptor|
anti-beta (2)-glycoprotein-I antibody|anti-β-2 glycoprotein-1 antibody|
Pituitary adenylate cyclase-activating polypeptide|pituitary adenylate cyclase-activating peptide|
toll/interleukin 1 receptor domain-containing adapter-inducing interferon-beta|toll/interleukin1 receptor domain-containing adapter-inducing interferon-β|
T cell receptor γδ-positive|T cell receptor γ δ-positive|
anti-beta (2)-glycoprotein-I antibody|anti-beta2-glycoprotein-I antibody|
pro-islet amyloid polypeptide|proislet amyloid polypeptide|
G protein βγ subunit|G protein β-γ subunit|
sterol response element-binding protein 1-c|sterol response element binding protein 1-c|
transforming growth factor-beta receptor type I|transforming growth factor beta receptor type 1|
IL-2 receptor α|IL-2 receptor α chain|
huntingtin interacting protein 1|huntingtin-interacting protein 1|
peroxisome proliferator-activated receptor-gamma co-activator-1alpha|peroxisome-proliferator-activated receptor γ coactivator-1α|
plasmin α2-plasmin inhibitor complex|plasmin α 2 plasmin inhibitor complex|
anti-beta (2)-glycoprotein-I antibody|anti-β(2) glycoprotein-I antibody|
Transforming growth factor-betas|transforming growth factor type beta|
anti-beta2 glycoprotein-I antibody|anti-beta-2-glycoprotein 1 antibody|
peroxisome proliferator-activated receptor-γ coactivator-1α|peroxisome proliferator-activated receptor-gamma coactivator 1 alpha|
β-site APP cleaving enzyme-1|beta site APP cleaving enzyme-1|
corticotropin-releasing hormone receptor 1|corticotropin releasing hormone receptor-1|
cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarisation/magic angle spinning nuclear magnetic resonance spectroscopy|
mitochondrial ATP-sensitive K(+)|mitochondrial ATP-sensitive potassium|
anti-asialo GM-1 antibody|anti-asialo GM1 antibody|
American Society of Anesthesiologists Class I|American Society of Anaesthesiologists Grade I|
ω-conotoxin|Ω conotoxin|
estrogen receptor-β knock-out mouse|estrogen receptor β knock out mouse|
T cell receptor-gammadelta-positive|T cell receptor gamma delta-positive|
beta-amyloid precursor protein-cleaving enzyme|beta-amyloid precursor protein cleaving enzyme|
American Society of Anaesthesiologists Grade IV|American Society of Anaesthesiologists grade 4|
anti-β 2 glycoprotein 1 antibody|anti-β 2-glycoprotein I antibody|
insulin-like growth factor II messenger RNA binding protein 3|insulin-like growth factor-II mRNA-binding protein 3|
anti-β2-glycoprotein-1 antibody|anti-β (2)-glycoprotein-I antibody|
phosphorylated glycogen synthase kinase 3 beta|phosphorylated glycogen synthase kinase 3 β|
protein kinase C-related kinase-1|protein-kinase-C-related kinase-1|
anti-β2-glycoprotein 1 antibody|anti-β2 glycoprotein-I antibody|
fast marching method|fast-marching method|
anti-matrix metalloproteinase 3 antibody|anti-matrix metalloproteinase-3 antibody|
cross polarisation magic-angle spinning nuclear magnetic resonance|cross-polarization/magic-angle spinning nuclear magnetic resonance|
inhibitor-κB alpha|inhibitor κB-alpha|
urine free cortisol level|urine free cortisol|
interleukine-3 receptor α|interleukin 3 receptor α|
mitochondrial targeting sequence|Mitochondrial targeting sequence|
frontier molecular orbital|fragment molecular orbital|
β2 glycoprotein 1|β-2-glycoprotein 1|
cross polarisation magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarisation magic angle spinning nuclear magnetic resonance spectroscopy|
American Society of Anesthesiology Class 4|American Society of Anesthesiologists Status 4|
cyclophosphamide/methotrexate/5-fluorouracil|cyclophosphamide, methotrexate, and 5-fluorouracil|
alpha-methylacyl-coenzyme-A racemase|alpha-methyl-acyl-coenzyme A racemase|
anti-IL1alpha antibody|anti-IL-1alpha antibody|
standardized mortality ratio|Standardized mortality rates|
insulin-like growth factor-II mRNA binding protein-1|insulin-like growth factor II mRNA-binding protein 1|
peroxisome-proliferator-activated receptor gamma coactivator 1 alpha|peroxisome proliferator-activated receptor-γ coactivator-1 α|
three dimensional time of flight magnetic resonance angiography|3-dimensional time-of-flight magnetic resonance angiography|
interferon alpha-2b-induced|interferon-alpha2b-induced|
toll-interleukin1 receptor domain-containing adapter-inducing interferon β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon-beta|
peroxisome-proliferator-activated receptor gamma coactivator 1 alpha|peroxisome proliferator-activated receptor gamma coactivator 1alpha|
gamma-aminobutyric acid type B receptor|gamma-aminobutyric acid B receptor|
interleukin-6 receptor α chain|interleukin-6 receptor alpha chain|
truncated-glucagon-like peptide 1|truncated glucagon like peptide-1|
fluorescence in situ hybridization technique|fluorescence in situ hybridisation|
interleukine 13 receptor α2 chain|interleukine-13 receptor α2-chain|
antiIL-1alpha monoclonal antibody|anti-interleukin-1 alpha monoclonal antibody|
IL-12-receptor beta1 chain|IL12 receptor beta1 chain|
peroxisome-proliferator-activated receptor-γ co-activator-1α|peroxisome proliferator-activated receptor γ co-activator 1α|
3beta-hydroxy steroid-dehydrogenase deficiency|3β-hydroxy steroid dehydrogenase deficiency|
prebeta1-high-density lipoprotein|prebeta-1 high-density lipoprotein|
beta-APP cleaving enzyme-1|beta-APP cleaving enzyme 1|
interleukin 3 receptor α-chain|interleukin-3 receptor α-chain|
excision repair cross complementation 1|excision repair cross-complementing-group 1|
receptor protein tyrosine phosphatase-δ|receptor-like protein tyrosine phosphatase-delta|
macrophage activating lipopeptide-2|macrophage-activating lipopeptide 2|
interleukine-4 receptor-α chain|interleukine-4 receptor alpha chain|
interleukine 13 receptor α 2 chain|interleukin-13 receptor α2 chain|
hypoxia inducible factor 1β|hypoxia-inducible factor-1β|
anti-hamster immunoglobulin M|antihamster immunoglobulin M|
T-cell-receptor-gammadelta-positive|T cell receptor gamma delta-positive|
anti-β(2) glycoprotein-I antibody|anti-beta-2 glycoprotein-I antibody|
beta-amyloid precursor protein cleaving enzyme 2|β amyloid precursor protein-cleaving enzyme 2|
α 2 macroglobulin|α2 macroglobulin|
anti-β 2-glycoprotein-I antibody|anti-β-2-glycoprotein 1 antibody|
oestrogen receptor-α knock out|estrogen receptor-α knockout|
stromal-derived factor-1α|stromal-derived factor 1-alpha|
γ-glutamyltranspeptidase|γglutamyl transpeptidase|
Cytochrome P-4501A1|cytochrome P-450 1A1|
cytosolic phospholipase A2-α|cytosolic phospholipase A(2)alpha|
G protein-coupled oestrogen receptor-1|G protein-coupled estrogen receptor 1|
interleukin 13 receptor α2 chain|interleukine 13 receptor α 2-chain|
GTP binding protein βgamma-subunit|GTP-binding protein βgamma subunit|
recombinant human transforming growth factor-β 2|recombinant human transforming growth factor beta2|
multi-fluor fluorescence in situ hybridization|multifluor fluorescence in situ hybridisation|
G protein βγ-subunit|G protein βγ subunit|
vesicular monoamine transporter|vesicular monoamine transporter 2|
Fc gamma-receptor-mediated|Fc-gamma-receptor-mediated|
counterimmunoelectrophoresis|Crossed immunoelectrophoresis|
anti-β-2-glycoprotein-I antibody|anti-beta2-glycoprotein 1 antibody|
interleukin-13 receptor α 2 chain|interleukine-13 receptor α2 chain|
5-bromo-2'-deoxyuridine|bromo-deoxyuridine|
GTP-binding protein β-subunit|GTP binding protein β-subunit|
anti-T-cell receptor α/β monoclonal antibody|anti-T cell receptor alpha/beta monoclonal antibody|
cold-smoked salmon|cold smoked salmon|
anti-beta 2 glycoprotein I antibody|anti-beta2 glycoprotein-I antibody|
insulinlike growth factor-I-stimulated|insulinlike growth factor I-stimulated|
anti-β(2)-glycoprotein I antibody|anti-beta-2 glycoprotein 1 antibody|
electroencephalography|electro-encephalogram|
American Society of Anaesthesiologists Class IV|American Society of Anesthesiologists status 4|
anti-beta 2 glycoprotein I antibody|anti-β-2-glycoprotein I antibody|
American Society of Anaesthesiology grade III|American Society of Anesthesiology Class III|
interleukin-6 receptor alpha-chain|interleukine-6 receptor α-chain|
anti-β-2-glycoprotein I antibody|anti-beta-2 glycoprotein-I antibody|
anti-beta(2) glycoprotein I antibody|anti-beta2 glycoprotein I antibody|
peroxisome proliferator-activated receptor-gamma coactivator-1alpha|peroxisome-proliferator-activated receptor-γ coactivator-1 α|
a disintegrin and metalloprotease 28|A disintegrin and metalloproteinase 28|
toll/interleukin-1 receptor domain-containing adaptor inducing IFN-beta|Toll/interleukin1 receptor domain-containing adapter-inducing interferon-beta|
anti-T-cell receptor α β monoclonal antibody|anti-T cell receptor-α/β monoclonal antibody|
Src homology 2 domain-containing protein tyrosine phosphatase|Src homology 2 domain containing protein tyrosine phosphatase|
peroxisome-proliferator-activated receptor-γ coactivator-1 α|peroxisome-proliferator-activated receptor-gamma co-activator-1alpha|
Na+/H+ exchanger regulatory factor 1|Na+/H+ exchanger regulatory factor-1|
anti-β-2-glycoprotein I antibody|anti-beta 2-glycoprotein I antibody|
cross-polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarisation/magic-angle spinning nuclear magnetic resonance spectroscopy|
interferon-alpha2b-induced|interferon-α2b-induced|
university-affiliated Veteran's Affairs medical center|university affiliated Veterans Administration medical center|
insulin-like growth factor II messenger RNA-binding protein-1|insulin-like growth factor II mRNA binding protein 1|
phospholipase C-β2|phospholipase C β2|
insulin-like growth factor-I-mediated|insulinlike growth factor I-mediated|
stromal derived factor 1 α|stromal-derived factor 1-alpha|
beta site amyloid precursor protein cleaving enzyme-2|β-site amyloid precursor protein cleaving enzyme 2|
beta APP cleaving enzyme|β-APP cleaving enzyme-1|
TATA-binding protein-associated factor-8|TATA-binding protein associated factor 8|
aortoenteric fistula|aorto-enteric fistula|
toll-interleukin1 receptor domain-containing adapter-inducing interferon beta|toll-interleukin 1 receptor domain-containing adapter-inducing interferon-beta|
tri-ortho-tolyl phosphate|triorthotolyl phosphate|
pre-interleukin-1alpha|pre-interleukin 1alpha|
T cell receptor-γδ-positive|T-cell-receptor γ δ-positive|
A disintegrin and metalloproteinase-11|A disintegrin and metalloproteinase 11|
α-methyl-acyl-coenzyme-A racemase|α-methylacyl coenzyme-A racemase|
mitogen-activated protein kinase activated protein kinase-3|mitogen activated protein kinase activated protein kinase 3|
GTP-binding protein βγ-subunit|GTP binding protein βγ subunit|
insulin-like growth factor II messenger RNA-binding protein 3|insulin-like growth factor-II messenger RNA binding protein 3|
toll-interleukin-1 receptor domain-containing adapter-inducing interferon-β|toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|
bovine papillomavirus|bovine papillomavirus type 1|
anti-β(2) glycoprotein I antibody|anti-β-2 glycoprotein 1 antibody|
electron-probe micro-analyser|electron probe microanalyser|
anti-T cell receptor alpha beta monoclonal antibody|anti-T-cell receptor-alpha beta monoclonal antibody|
T-cell receptor γδ-positive|T-cell receptor gammadelta-positive|
anti-beta2-glycoprotein-I antibody|anti-β(2) glycoprotein-I antibody|
interleukin 5 receptor α subunit|interleukine 5 receptor α|
interferon-stimulated gene factor-3 alpha|interferon-stimulated gene factor 3alpha|
pre-beta 1-high density lipoprotein|pre-β 1 high-density lipoprotein|
anti-beta-2-glycoprotein I antibody|anti-beta2-glycoprotein-1 antibody|
corticotrophin-releasing-hormone receptor-2|corticotropin-releasing-hormone receptor type-2|
malonic acid|malic acid|
peroxisome proliferator activated receptor γ 2|peroxisome proliferator-activated receptor γ-2|
β amyloid precursor protein cleaving enzyme-2|β-amyloid precursor protein-cleaving enzyme 2|
β-2 glycoprotein I|β(2) glycoprotein-I|
