LF1|LF2|Synonym
cytochrome P450, family 3, subfamily A, polypeptide 2|cytochrome P450, family 2, subfamily C, polypeptide 6|N
stromal-derived factor-1 α|stromal derived factor 1|N
American Society of Anaesthesiologists Grade|American Society of Anaesthesiology class 3|N
phosphokinase C|phospholipase Cδ1|N
toxic advanced glycation end product|serum advanced glycation endproduct|N
sex determining region of the Y|sex determining region Y box 8|N
1-deamino-8-d-arginine-vasopressin|1-desamino-8-D-arginine-vasopressin|Y
IL-12-receptor beta1|IL-12 receptor beta 2|N
receptor-like protein tyrosine phosphatase zeta|receptor-like protein-tyrosine phosphatase-psi|N
American Society of Anesthesiologists Class 1|American Society of Anesthesiologists Status I|Y
American Society of Anesthesiologists status II|American Society of Anesthesiology class|N
transforming growth factor-β receptor II|transforming growth factor-β receptor 1|N
predictive value negative|predictive value positive|N
neural precursor cell expressed, developmentally down-regulated 8|neural-precursor cell-expressed, developmentally downregulated 5|N
lymphotoxin|lymphotoxin-α|N
beta(3)-adrenergic receptor|β-adrenergic receptor|N
American Orthopaedic Foot and Ankle Society ankle-hindfoot score|American Orthopedic Foot and Ankle Society Hallux Score|N
receptor protein-tyrosine phosphatase-σ|receptor-like protein tyrosine phosphatase δ|N
anti-interleukin 4 antibody|anti-interleukin 6 antibody|N
cluster of differentiation 147|cluster of differentiation antigen 81|N
kruppel-like factor-15|krüppel-like factor 8|N
cancer stem cell|cancer stem cell model|N
Electrically evoked auditory brainstem responses|electrical auditory brainstem response|Y
T cell receptor δ|T-cell receptor-α|N
insulin-like growth factor I-stimulated|insulin-like growth factor II-binding|N
thermoluminescence dosimetry|thermoluminescence dosemeters|Y
Fcγ receptor IIIb|Fc γ receptor II|N
computed tomographic|Computed tomography|Y
protein kinase Cγ|protein kinase M-ζ|N
aminopurine|diaminopurine|N
fractional tubular reabsorption|proximal tubular reabsorption|N
cluster of differentiation antigen 94|cluster of differentiation 44|N
soluble interleukine-6 receptor-α|soluble interleukin 2 receptor α|N
GTP-binding protein α subunit|GTP binding protein alpha(i2) subunit|N
corticotropin-releasing factor receptor-1|corticotrophin-releasing-factor receptor|N
inositol trisphosphate|inositol 5-phosphatase|N
Seattle Veteran's Affairs Medical Center|Nashville Veteran's Affairs Medical Center|N
cytochrome P-450 2B-10|cytochrome P-4501A|N
color flow Doppler sonography|color Doppler ultrasonography|Y
interleukine 5 receptor α-chain|interleukin-2 receptor γ-chain|N
corticotrophin-releasing hormone receptor type-2|type-2 corticotrophin releasing hormone receptor|Y
N-acetyltransferases|O-methyltransferases|N
American Society of Anesthesiologists Class II|American Society of Anesthesiologists Status 4|N
interleukine-2 receptor-α|interleukin-4 receptor α|N
human adenovirus type 13|human adenovirus type E|N
phosphorylated Akt|phosphorylated Src|N
human transforming growth factor beta 2|human transforming growth factor-β2|Y
American Society of Anaesthesiology class IV|American Society of Anesthesiology grade 1|N
interleukin-13 receptor alpha1-chain|interleukin-13 receptor alpha 1-subunit|Y
leucocyte migration inhibition factor|leucocyte migration inhibition assay|N
apolipoprotein A|apolipoprotein E-III|N
distolingual|disto-lingual|Y
no-observed-effect concentration|lowest observed effect concentration|N
type-β transforming growth factor|transforming growth factor-beta|Y
prostaglandin D2|prostaglandin E(2)|N
toll-like receptor 1|toll-like receptor 5|N
adenosine diphosphate ribosylation factor|adenosine diphosphate-ribosylation factor 6|N
interleukine-6 receptor α chain|interleukin-13 receptor α1-chain|N
fibroblast growth factor acidic|fibroblast growth factor-10|N
anti-interleukin-12 antibody|anti-interleukin-18 antibody|N
ras-related GTP-binding protein 9A|ras-related GTP-binding protein 11b|N
G protein gamma-subunit-like domain|G protein γ-subunit like domain|Y
ras-related GTP-binding protein 5|ras-related GTP-binding protein 6A|N
Spearman correlation coefficient|concordance correlation coefficient|N
ubiquitin carboxyl-terminal hydrolase-L1|ubiquitin carboxyterminal hydrolase L1|Y
receiver-operating-characteristic curve analysis|receiver operator characteristic curve analysis|Y
methyl cytosine-phosphate-guanosine binding domain 1|methyl cytidine-phosphate-guanosine binding protein 1|Y
methyl cytidine-phosphate-guanosine binding domain protein|methyl cytidine-phosphate-guanosine binding domain 5|N
glutamate transporter|glutamate-aspartate transporter|N
platelet-derived growth factor BB|platelet-derived growth factor A-chain|N
trans-membrane|transmembrane|Y
anti-IL 7 antibody|anti-IL12 antibody|N
retinoic-acid-receptor-related orphan receptor γ t|retinoic-acid-receptor-related orphan receptor-γ|Y
fluorescence endoscopy|fluorescence microscopy|N
San Miguel sea lion virus type 2|San Miguel sea lion virus type 8|N
cytochrome P450 3A|cytochrome P-450 2B1|N
1,1,2-trichloroethylene|cis-1,2-dichloroethylene|N
placental ribonuclease inhibitor|ribonuclease inhibitor|N
human papillomavirus test result|human papillomavirus DNA test|Y
macrophage colony stimulating factor|granulocyte macrophage colony-stimulating factor|N
phonocardiogram|phonocardiographic|Y
intercellular adhesion molecule (ICAM)-1|intracellular adhesion molecule|N
anti-IL-15 antibody|anti-IL8 antibody|N
cyclic guanosine monophosphate-dependent protein kinase Iα|cyclic guanosine monophosphate-dependent protein kinase Ibeta|N
C-C chemokine ligand|CXC chemokine ligand 12|N
immuno-fluorescence test|indirect immunofluorescence test|N
enddiastolic volume|end diastolic volume index|N
gamma-glutamyltranspeptidase|Gamma Glutamyltranspeptidase|Y
deoxy-guanosine|8-oxodeoxyguanosine|N
hemoglobin G-Taegu|haemoglobin G-Taegu|Y
American Society of Anaesthesiology Class III|American Society of Anesthesiology class IV|N
TATA-binding protein associated factor 9|TATA-binding protein-associated factor 17|N
American Society of Anesthesiology physical status IV|American Society of Anesthesiologists status III|N
leucotriene B(4)|leukotriene A(4)|N
1-palmitoyl-2-arachidonoyl-phosphatidylethanolamine|1-palmitoyl-2-oleoyl-phosphatidylcholine|N
American Society of Anaesthesiologists Grade III|American Society of Anesthesiologists status I|N
cluster of differentiation antigen 90|cluster of differentiation 163|N
intravascular coagulation|intravascular blood coagulation|Y
angiotensin II subtype 1 receptor|angiotensin II type 2 receptor|N
male Sprague-Dawley|Hannover Sprague-Dawley|N
estrogen receptor α knockout|oestrogen receptor-β knock out mouse|N
peroxisome proliferator activated receptor-gamma 2|peroxisome proliferator-activated receptor gamma-2|Y
protein kinase Bβ|protein kinase D1|N
bovine growth hormone-releasing factor|growth hormone releasing factor|N
ventromedial nucleus of the hypothalamus|ventrobasal nucleus of the thalamus|N
American Society of Anaesthesiology status 5|American Society of Anesthesiology Grade V|Y
methyl cytidine-phosphate-guanosine binding domain protein|methyl cytosine-phosphate-guanosine binding domain protein|Y
American Society of Anaesthesiologists physical status I|American Society of Anaesthesiologists Status IV|N
phosphatase and tensin homolog deleted on chromosome 10 protein|phosphatase and tensin homolog deleted on chromosome ten|N
low sodium|low-sodium|Y
pregnancy-specific β-1 glycoprotein|pregnancy-specific glycoprotein 4|N
tumor necrosis factor receptor-associated factor|tumor necrosis factor receptor-associated death domain protein|N
oral-facial-digital syndrome type I|orofaciodigital syndrome type V|N
high-resolution magic angle spinning nuclear magnetic resonance|cross-polarization/magic-angle-spinning nuclear magnetic resonance|N
recombinant interleukin 4|recombinant interferon|N
cluster of differentiation antigen 30|cluster of differentiation 28|N
first order suppressor T cell|third order T suppressor cell|N
interleukin-2 receptor α subunit|interleukin-7 receptor α chain|N
phospholipase-Cβ|phospholipase C-β|Y
centre of foot pressure|centre of pressure|N
tumor necrosis factor receptor|soluble tumor necrosis factor receptor 1|N
2 vessel coronary artery disease|single vessel coronary artery disease|N
adisintegrin and metalloprotease|A disintegrin and metalloproteinase 3|N
cytochrome P-450 2D6|cytochrome P450 3A4|N
human transforming growth factor-β(1)|human transforming growth factor-beta2|N
hand-assisted laparoscopic surgery|robot-assisted laparoscopic surgery|N
anti-T cell receptor-alpha beta antibody|anti-T-cell receptor-alpha/beta antibody|Y
peroxisome proliferator activated receptor γ1|peroxisome proliferator activated receptor gamma 1|Y
surface-enhanced laser desorption/ionization time-of-flight mass spectrometry|matrix-assisted laser desorption ionization time of flight mass spectrometry|N
cross polarisation/magic angle spinning nuclear magnetic resonance|cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|N
human adenovirus type 32|human adenovirus type 12|N
ventral postero-medial thalamic nucleus|ventral postero-lateral thalamic nucleus|N
chloroaluminum sulphonated phthalocyanine|aluminium sulfonated phthalocyanine|N
anti-granulocyte-macrophage colony-stimulating-factor antibody|human granulocyte-macrophage colony stimulating factor|N
insulin-like growth factor-2 receptor|insulinlike growth factor 2|N
pre-ornithine carbamyl transferase|serum ornithine carbamyltransferase|N
American Society of Anaesthesiology status 2|American Society of Anesthesiologists class I|N
ribosomal protein S16|ribosomal protein|N
localised surface plasmon resonance|electrochemical surface plasmon resonance|N
mouse beta-defensin 3|mouse β-defensin-3|Y
ultra performance liquid chromatography/electrospray ionisation tandem mass spectrometry|ultraperformance liquid chromatography tandem mass spectrometry|N
gonadotrophin releasing-hormone|gonadotrophin releasing hormone antagonist|N
microtubule-associated protein-1|microtubule-associated proteins|N
spinocerebellar ataxia 1|spinocerebellar ataxia type 16|N
uncoordinated protein 7|uncoordinated protein 11|N
Long interspersed nuclear elements|Long Interspersed Nucleotide Elements|Y
collagen type 6 α 2|collagen type I α 2|N
cluster of differentiation antigen 11c|cluster of differentiation antigen 117|N
anti-Cyn d I monoclonal antibody|antiIL-12 monoclonal antibody|N
American Society of Anesthesiologists grade IV|American Society of Anaesthesiology Class 1|N
hydroxymethyl-glutaryl-CoA reductase|3-hydroxy-3-methyl-glutaryl-CoA reductase|Y
Toll/interleukin-1 receptor domain-containing adaptor inducing IFN-beta|Toll-interleukin 1 receptor domain-containing adapter-inducing interferon-beta|Y
hydromorphone|dihydromorphine|N
multidetector computed tomography-coronary angiography|computed tomography coronary angiography|N
glycoprotein 64|glycoprotein Ibα|N
a disintegrin and metalloprotease-13|a disintegrin and metalloproteinase 4|N
neural precursor cell-expressed, developmentally down-regulated 1|neuronal precursor cell-expressed developmentally downregulated 4-2|N
nasopharyngeal adenoid cystic carcinoma|salivary adenoid cystic carcinoma|N
haemoglobin Roseau-Pointe-a-Pitre|haemoglobin Roseau Pointe-à-Pitre|Y
beta-site APP cleaving enzyme|beta site APP-cleaving enzyme|Y
prostaglandin F1-α|prostaglandin J2|N
gonadotrophin releasing hormone analogue|gonadotrophin-releasing hormone analog|Y
Mitogen-activated protein kinase|mitogen-activated protein kinase kinase-3|N
fibroblast growth factor 7|fibroblast growth factor receptor 3|N
cluster of differentiation 13|cluster of differentiation antigen 46|N
insulinlike growth factor binding protein-2|insulin-like growth factor-II messenger RNA binding protein-2|N
mitogen-activated protein kinase/ERK kinase 1|mitogen activated protein kinase kinase kinase 3|N
pre-colony forming unit spleen|colony-forming unit-spleen|N
solid fat content|liver fat content|N
myelocytomatosis oncogene|viral myelocytomatosis oncogene|N
porcine surfactant protein D|prosurfactant protein C|N
a disintegrin and metalloprotease-4|a disintegrin and metalloprotease 33|N
bio-artificial liver support system|extracorporeal bio-artificial liver support system|N
human leucocyte antigen-matched|human leucocyte antigen D|N
proteinase|proteinase K|N
intracranial hæmatoma|intracerebral hæmatoma|Y
human papillomavirus type 16 E5 protein|human papillomavirus type 31|N
interleukin 1α|interleukin 17|N
mouse cationic amino acid transporter 2|human cationic amino acid transporter 1|N
sulphobutylether beta-cyclodextrin|sulfobutylether-cyclodextrin|N
phospholipase D1|phospholipase C-γ1|N
β-secretase-2|β secretase-1|N
human rhinovirus 14|human rhinovirus 16|N
outer membrane protein 2|major membrane protein II|N
American Society of Anesthesiology status V|American Society of Anaesthesiologists Grade 1|N
interleukin 9|interleukin-1 α|N
human adenovirus type 24|Canine adenovirus type 2|N
micturating cystourethrogram|micturating cystogram|N
regulator of G protein signaling 7|regulator of G protein signaling-2|N
anti-IL-15 antibody|anti-IL5 antibody|Y
glycosylphosphatidyl inositol anchored protein|glycophosphatidylinositol-anchored protein|Y
collagen type 6 α-3|collagen type I α2|N
maximum carbon dioxide assimilation rate|maximum carbon assimilation rate|N
soluble interleukine-6 receptor alpha|soluble interleukin-2 receptor-α|N
American Society of Anesthesiology class 2|American Society of Anesthesiology grade 4|N
receptor protein tyrosine phosphatase kappa|receptor-like protein-tyrosine phosphatase-δ|N
American Society of Anaesthesiologists Status 2|American Society of Anesthesiology class 4|N
peroxisome proliferator-activated receptor beta|peroxisome proliferator-activated receptor-gamma co-activator-1|N
artificial circulation|artificial respiration|N
neural-precursor cell-expressed, developmentally downregulated 2|neural precursor cell expressed developmentally downregulated 4|N
chloramphenicol acetyltransferase gene|chloramphenicol acyltransferase|N
A disintegrin and metalloproteinase 19|a disintegrin and metalloproteinase 9|N
intraperitoneal|intraperitoneal volume|N
matrix assisted laser desorption/ionisation mass spectrometry|matrix-assisted laser desorption ionisation mass spectrometry imaging|Y
recombinant human tumor necrosis factor beta|recombinant human tumor necrosis factor β|Y
tumour associated surface antigen|tumour-associated foetal antigen|N
sex determining region Y, box 7|sex-determining region Y-box 10|N
receptor-interacting protein-3|receptor-interacting protein-1|N
human adenovirus type 13|human adenovirus type 22|N
β site amyloid precursor protein cleaving enzyme|β-amyloid precursor protein cleaving enzyme|Y
interferon α-2a|interferon-τ|N
receptor-like protein-tyrosine phosphatase-δ|receptor-like protein tyrosine phosphatase alpha|N
American Orthopedic Foot and Ankle Society hallux score|American Orthopaedic Foot and Ankle Society forefoot score|N
NIMA-related kinase 3|NIMA-related kinase 6|N
intravascular bronchioloalveolar tumor|intravascular bronchioalveolar tumor|Y
collagen type 8 α 2|collagen 8 α2|Y
interleukin-1 β-converting enzyme|interleukin-1β-converting enzyme inhibitor|N
a disintegrin and metalloproteinase 17|secreted a disintegrin and metalloprotease 28|N
laser desorption-ionization time-of-flight mass spectrometry|laser desorption ionisation time-of-flight mass spectrometry|Y
cytochrome P4501A|cytochrome P450 3A|N
kruppel-like factor-15|Krüppel-like factor-8|N
acyl coenzymeA|lactoyl coenzyme A|N
a disintegrin and metalloproteinase 10|A disintegrin and metalloprotease-21|N
human immunodeficiency virus disease|human immunodeficiency virus negative|N
cluster of differentiation 11|cluster of differentiation antigen 29|N
phospholipase D|phospholipase C-γ1|N
polyunsaturated fatty acid|omega3 polyunsaturated fatty acid|N
alpha-feto-protein level|α-feto-protein level|Y
krüppel-like factor 9|Krüppel-like factor 15|N
aγ-globulinemia|hypo-γ-globulinemia|N
RAS-related GTP binding protein 7|ras-related GTP-binding protein 7|
methyl-cytidine-phosphate-guanosine binding protein|methyl cytosine-phosphate-guanosine binding domain 5|N
cluster of differentiation antigen 79a|cluster of differentiation antigen 90|N
multilocus variable number tandem repeat analysis|multi-locus variable-number tandem-repeat analysis|Y
vitamin A deficient|vitamin A deficiency|Y
American Society of Anaesthesiologists Class II|American Society of Anaesthesiology physical status I|N
anti-interleukin-15 antibody|anti-interleukin-5 polyclonal antibody|N
procollagen type I N-terminal propeptide|pro-collagen type-III amino-terminal peptide|N
donor S-nitroso-acetyl-penicillamine|S-nitroso-N-acetyl penicillamine|N
tetrahydropalmatine|l-tetrahydropalmatine|N
accident and emergency doctor|accident and emergency patient|N
human adenovirus type E|human adenovirus 36|N
anti-human T cell lymphotropic virus type-1 antibody|anti-human T-cell lymphotropic virus I antibody|Y
A disintegrin and metalloprotease-11|a disintegrin and metalloprotease-7|N
chicken luteinising hormone releasing hormone-II|chicken luteinizing hormone-releasing hormone I|N
multi-drug resistance protein|multi-drug resistance protein 1a|N
microtubule associated protein-1 light chain-3|microtubule-associated protein 1 light chain-3|Y
a disintegrin and metalloproteinase 3|A disintegrin and metalloproteinase 4|N
γ-aminobutyric acidB receptor|γ-amino butyric acid type A receptor|N
type 1 T-helper|type 1 T helper|Y
Y1 receptor|Y2 receptor|N
A disintegrin and metalloproteinase-15|A disintegrin and metalloproteinase-10|N
ribosomal protein L2|ribosomal protein L37|N
A disintegrin and metalloproteinase 29|a disintegrin and metalloproteinase 23|N
T-cell receptor ζ|T cell receptor Vα|N
non-structural protein 2|non-structural protein 3|N
human adenovirus type 44|human adenovirus serotype 33|N
human adenovirus type 41|human adenovirus serotype 28|N
oxidised low-density lipoprotein receptor-1|oxidized low-density lipoproteins|N
mono(2-ethylhexyl)phthalate|di(2-ethylhexyl)phthalate|N
microsomal antigen|microsomal fraction|N
quantitative fluorescent polymerase chain reaction|quantitative polymerase chain reaction|N
human adenovirus type 35|human adenovirus 33|N
a disintegrin and metalloproteinase 5|a disintegrin and metalloproteinase 28|N
α-1 protease inhibitor|proteasome inhibitor|N
ribosomal protein L30|ribosomal protein L7|N
anti-matrix metallopeptidase 7 antibody|anti-matrix metalloprotease 13 antibody|N
interleukine-13 receptor α 2-chain|interleukin-4 receptor α chain|N
oculoauriculovertebral spectrum|oculoauriculovertebral syndrome|Y
cluster of differentiation 13|cluster of differentiation antigen 70|N
auditory brainstem response test|auditory brain-stem evoked response|Y
peptidase|C5a peptidase|N
a disintegrin and metalloproteinase 10|secreted a disintegrin and metalloprotease 28|N
endothelium-derived relaxant factor|endothelium-derived relaxing factor|Y
immunodiffusion test|immune diffusion test|Y
transcutaneous nerve stimulation|transcutaneous electric nerve stimulation|Y
human adenovirus type 28|human adenovirus type 41|N
phosphorylated τ protein|phosphorylated tau protein|Y
spino-cerebellar ataxia 3|spinocerebellar ataxia type 22|N
voluntary activation|voluntary contraction|N
H3 receptor|M2 receptor|N
phosphoribosyltransferase|adenosine diphosphoribosyltransferase|N
cross polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|cross-polarization magic-angle spinning nuclear magnetic resonance spectroscopy|Y
apolipoprotein E3|apolipoprotein J|N
American Society of Anesthesiology class 1|American Society of Anaesthesiologists Grade 4|N
long-terminal repeat-driven|long terminal repeat|N
spinocerebellar ataxia type 17|spino-cerebellar ataxia|N
temporal|bi-temporal|N
Pituitary adenylate cyclase-activating polypeptide|pituitary adenylate cyclase activating polypeptide-related peptide|N
interleukine 2 receptor-α|interleukin 5 receptor-α|N
interleukine-5 receptor α|interleukin 5 receptor-α|Y
anti-double-stranded deoxyribonucleic acid antibody|anti-deoxyribonucleic acid antibody|N
protein kinase N1|protein kinase D2|N
peroxisome proliferator-activated receptor gamma coactivator-1|peroxisome-proliferator-activated receptor-γ coactivator 1α|N
American Society of Anesthesiologists grade 3|American Society of Anaesthesiology class I|N
receptor protein-tyrosine phosphatase-β|receptor protein-tyrosine phosphatase β|Y
fourth transmembrane segment|fourth transmembrane domain|Y
acoustic radiation force impulse imaging|acoustic radiation force impulse|N
American Society of Anaesthesiology Class 5|American Society of Anesthesiology grade IV|N
Kruppel-like factor-11|Kruppel-like factor-3|N
Hb S-beta thalassemia|Hb S/beta-thalassemia|Y
intensity modulation radiotherapy|intensity-modulated radiotherapy|Y
American Society of Anesthesiologists status V|American Society of Anesthesiologists Grade 3|N
intention to treat analysis|intention-to-treat basis|N
Fer-CIP4 homology-BAR protein|Fer-CIP4 homology-BAR domain|N
interleukin-7 receptor α|interleukin 12 receptor β2|N
transforming growth factor beta type I receptor|transforming growth factor-β type II receptor|N
American Society of Anaesthesiologists Grade IV|American Society of Anaesthesiologists status IV|Y
lympho-vascular space involvement|lymphvascular space invasion|N
adult T cell leukemia derived factor|Adult T-cell leukemia-derived factor|Y
enzyme linked immuno-sorbent assay|enzyme linked immuno-absorbent assay|Y
anti-intercellular adhesion molecule-1|circulating intercellular adhesion molecule-2|N
bilin binding protein|antigen binding protein|N
a disintegrin and metalloprotease-3|A disintegrin and metalloproteinase-5|N
6-thioguanine|6 thioguanine|Y
American Society of Anaesthesiologists physical status III|American Society of Anesthesiology status 5|N
anti-IL-1alpha antibody|anti-IL 13 antibody|N
human adenovirus 43|human adenovirus type 39|N
cytokine response element|hypoxia response element|N
sporulation protein IIGA|sporulation protein IIID|N
platelet-derived growth factor receptor β|platelet-derived growth factor|N
metabolic clearance rate|metabolic clearance|N
denaturing high-performance liquid chromatography|nano high performance liquid chromatography|N
7-ethoxyresorufin O-deethylase|methoxy-resorufin O-dealkylase|N
phospholipase D2|phospholipase C δ1|N
neonatal diabetes mellitus|transient neonatal diabetes mellitus|N
sterol response element binding protein|cAMP response element binding protein|N
Transforming growth factor|Transforming growth factor-beta|N
interleukin-13 receptor alpha1 subunit|interleukin-13 receptor alpha1 chain|Y
beta site amyloid precursor protein cleaving enzyme|β amyloid precursor protein cleaving enzyme 1|N
human adenovirus 22|human adenovirus 24|N
interleukin 12 receptor β 2|interleukin-12 receptor β1|N
peroxisome proliferator-activated receptor-γ coactivator-1 α|peroxisome proliferator-activated receptor γ co-activator-1α|Y
phospholipase B|phospholipase C-β 1|N
American Society of Anesthesiology grade V|American Society of Anesthesiology score|N
multiple endocrine neoplasia 2A syndrome|multiple endocrine neoplasia type 2|N
liquid chromatography-ion trap-mass spectrometry|liquid chromatography-ion-trap mass spectrometry|N
copper zinc superoxide dismutase|copper zinc superoxide dismutase 2|N
American Society of Anaesthesiology class 2|American Society of Anesthesiologists grade 5|N
extra-renal Wilm's tumour|extra-renal Wilms tumor|Y
rapid-eye-movement-off|nonrapid-eye-movement|N
human immunodeficiency virus risk behavior|human immunodeficiency virus risk|N
human papillomavirus type 16|human papillomavirus type 11|N
interleukine-13 receptor α2 subunit|interleukine-11 receptor α|N
type II interleukin 4 receptor|interleukin 7 receptor|N
β site amyloid precursor protein cleaving enzyme-2|β amyloid precursor protein-cleaving enzyme|N
leucocyte immunoglobulin-like receptor-1|leukocyte immunoglobulin-like receptor 1|Y
Toll-interleukin-1 receptor domain-containing adapter-inducing interferon β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon-β|Y
IL13 receptor α 2-chain|IL-11 receptor α-chain|N
cytosine monophosphate|cytidine monophosphatase|N
forkhead related activator-4|forkhead-related activator-8|N
human adenovirus type 48|human adenovirus type 36|N
neuropeptide Y5 receptor|neuropeptide tyrosine Y2 receptor|N
simian T lymphotropic virus|simian T cell lymphotropic virus type 1|N
antiepidermal growth factor receptor|human epidermal growth factor receptor|N
Toll-interleukin-1 receptor domain-containing adapter-inducing interferon β|toll-interleukin-1 receptor domain-containing adaptor inducing IFN-β|Y
Na-K-Cl co-transporter 2|Na-K-2Cl co-transporter 1|N
American Society of Anesthesiologists Status II|American Society of Anaesthesiologists Class II|Y
tumor 1-histopathologic grade 3|histopathologic grade 2|N
5-hydroxytryptamine 3|5 hydroxytryptamine|N
transforming growth factor α|human transforming growth factor α|N
American Society of Anesthesiology Grade II|American Society of Anesthesiologists Class 2|Y
interferon-alfa-2b-induced|interferon α-2b-induced|Y
γ aminobutyric acid receptor|γ-aminobutyric acid type C receptor|N
microtubule associated protein 1B-P|microtubule-associated protein 5|N
enzyme-linked immunoreceptor assay|enzyme-linked-immunosorbent-assay|Y
histone methyltransferase|sterol methyltransferase|N
methyl CpG binding domain protein|methyl CpG binding domain 2|N
heat-shock protein 90-β|heat shock protein 72|N
anti-IL 6 receptor monoclonal antibody|anti-toll like receptor-4 monoclonal antibody|N
transforming growth factor-beta(1)|transforming growth factor-β2|N
hepatopancreatoduodenectomy|after pancreatoduodenectomy|N
corticotropin releasing hormone receptor 2|corticotropin releasing factor type-2 receptor|Y
GH-releasing hormone|GH releasing hormone|Y
peroxisome-proliferator-activated receptor-γ co-activator-1 α|peroxisome proliferator-activated receptor gamma coactivator-1alpha|Y
a disintegrin and metalloproteinase with thrombospondin motif-5|a disintegrin and metalloprotease with thrombospondin motifs-15|N
receptor-like protein tyrosine phosphatase mu|receptor protein tyrosine phosphatase zeta|N
insulinlike growth factor 1 level|insulinlike growth factor 1 receptor|N
protein C|protein 53|N
superoxide dismutase A|superoxide dismutase activity|N
ribosomal protein S27|ribosomal protein S19|N
a disintegrin and metalloproteinase-9|a disintegrin and metalloproteinase 29|N
trypsin inhibitory activity|chymotrypsin inhibitor activity|N
IL-3 receptor α-chain|IL-3 receptor-α chain|Y
cluster of differentiation 103|cluster of differentiation antigen 72|N
galactorrhœa-amenorrhea hyperprolactinaemia syndrome|galactorrhoea-amenorrhoea hyperprolactinæmia syndrome|Y
extracellular signal-regulated kinase-5|extracellular regulated kinase|N
interleukin 12 receptor β2 chain|interleukin 3 receptor α chain|N
American Society of Anaesthesiology Grade V|American Society of Anesthesiologists Grade 3|N
receptor-like protein-tyrosine phosphatase|receptor-like protein tyrosine phosphatase-κ|N
extracellular Ca2+ concentrations|extracellular sodium concentration|N
gonad-inhibiting hormone|growth-inhibiting hormone|N
peroxisome proliferator-activated receptor gamma coactivator 1 alpha protein|peroxisome proliferator activated receptor gamma coactivator 1|N
vindesine sulfate|quinidine sulfate|N
Src homology 2 domain containing protein tyrosine phosphatase 2|Src homology 2 domain containing protein tyrosine phosphatase substrate 1|N
receptor-like protein-tyrosine phosphatase kappa|receptor-like protein-tyrosine phosphatase-η|N
x-ray fluorescence|X-ray fluorescence|Y
percutaneous nephrolithotripsy|percutaneous nephrostomy|N
American Society of Anesthesiologists Class 4|American Society of Anaesthesiologists grade 4|Y
electrospray ionisation|desorption electrospray ionisation|N
cyanopindolol|iodo-cyano-pindolol|N
peroxisome proliferator-activated receptor-gamma 2|peroxisome proliferator-activated receptor-alpha agonist|N
a disintegrin and metalloprotease-12|a disintegrin and metalloproteinase-8|N
American Society of Anesthesiology class 1|American Society of Anaesthesiology Class II|N
sinusoidally-amplitude modulated tone|sinusoidally amplitude-modulated tone|Y
human B lymphotropic virus|human T-cell lymphotrophic virus-I|N
multicolour fluorescence in situ hybridisation|immunofluorescence in situ hybridization|N
a disintegrin and metalloprotease-17|a disintegrin and metalloprotease 29|N
anti-GPIb antibody|anti-CP antibody|N
anti-IL 12p70 monoclonal antibody|anti-IL 15 monoclonal antibody|N
sentrin specific protease|sentrin-specific protease 2|N
immature DC|mature DC|N
human adenovirus 4|human adenovirus 50|N
glucose transporter protein|glucose transporter 2|N
receptor protein-tyrosine phosphatase-δ|receptor protein-tyrosine phosphatase-ψ|N
anti-β (2)-glycoprotein-I antibody|anti-beta 2 glycoprotein 1 antibody|Y
2 vessel coronary artery disease|1-vessel coronary artery disease|N
zeta-associated protein 70|death-associated protein 5|N
human adenovirus type E|human adenovirus 19|N
GTP cyclohydrolase|cyclohydrolase|N
transforming growth factor beta-1 level|transforming growth factor-beta 2|N
anti-interleukin-12p40 monoclonal antibody|anti-interleukin-8 receptor monoclonal antibody|N
neural precursor cell expressed developmentally downregulated 4|neural-precursor-cell-expressed, developmentally downregulated 2|N
5-hydroxytryptamine 4 receptor|5-hydroxytryptamine receptor|N
interferon-alpha-2b-induced|interferon alfa2b-induced|Y
acid-sensing ion channel 2|acid sensing ion channel-3|N
nicotinamide adenine dinucleotide phosphate oxidase 4|nicotinamide adenine dinucleotide phosphate diaphorase|N
peroxisome-proliferator-activated receptor-gamma co-activator-1 alpha|peroxisome proliferator-activated receptor γ co-activator 1α|Y
dideoxyguanosine|oxodeoxyguanosine|N
α 1 foetoprotein|α-foetoprotein|Y
excision repair cross-complementing group 1|excision repair cross complementation group 1|Y
CC chemokine ligand 11|CC chemokine ligand 2|N
Bachelor of Medical Science|Bachelor of Dental Science|N
S3 ribosomal protein|ribosomal protein L17|N
matrix assisted laser desorption ionisation mass spectrometry imaging|matrix assisted laser desorption ionization time-of-flight mass spectrometric|N
phospholipase Cγ-1|phospholipase C β 1|N
reference strand conformation analysis|reference strand-mediated conformational analysis|N
human adenovirus serotype 39|human adenovirus serotype 52|N
interleukin 12 receptor|interleukin 12 receptor β1|N
ribulose-1,5-bisphosphate carboxylase|small subunit of ribulose-1,5-bisphosphate carboxylase|N
Fcε receptor I|Fc ε receptor 2|N
anti-IL1alpha antibody|anti-IL 17 antibody|N
transient ischemic dilatation|transient ischemic dilation|Y
interleukin-3 receptor α-chain|interleukine 5 receptor α chain|N
9th thoracic vertebra|11th thoracic vertebra|N
